NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
编号	随机编号	attr编号	逻辑表编号	阵营编号	名称	称号	x轴坐标	z轴坐标	朝向	脚本编号	重生时间	分组编号	队伍编号	基础AI	AI文件	巡逻路径	商店0	商店1	商店2	商店3	名誉ID	等级	镜像组
0	10919327	784	106005	20	蒙古质子军		79.434158	59.005386	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	50	0	
1	10920037	31	106011	20	灵智上人	赵王府客卿	194.038361	83.532257	18	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
2	10920136	30	106013	20	金凤	赵王府侍女	160.539322	90.673103	24	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	2	0	
3	10920201	29	106009	20	包惜弱	赵王妃	157.807205	92.13163	35	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	2	0	
4	10920485	786	106006	20	赵王府侍卫		157.206635	96.684235	26	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
5	10920490	786	106006	20	赵王府侍卫		162.874374	96.378845	28	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
6	10920732	786	106016	20	赵王府带刀侍卫		100.803925	118.979523	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
7	10920762	786	106016	20	赵王府带刀侍卫		104.275452	130.579147	9	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
8	10920772	786	106016	20	赵王府带刀侍卫		104.412155	118.929825	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
9	10920783	786	106016	20	赵王府带刀侍卫		101.282677	130.566132	9	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
10	10920785	786	106016	20	赵王府带刀侍卫		180.994095	122.137245	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
11	10920787	786	106016	20	赵王府带刀侍卫		174.632263	122.127937	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
12	10922794	1001	-1	21	狂暴熊		74.650665	207.292633	32	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	37	0	
13	10922822	1001	-1	21	狂暴熊		80.406914	201.987671	0	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	37	0	
14	10922833	1001	-1	21	狂暴熊		84.013199	206.238205	0	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	37	0	
15	10922860	1001	-1	21	狂暴熊		79.063904	212.294998	0	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	37	0	
16	10922874	1001	-1	21	狂暴熊		74.6847	217.841904	0	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	37	0	
17	10922875	1001	-1	21	狂暴熊		68.332359	222.131958	0	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	37	0	
18	10922887	1001	-1	21	狂暴熊		62.272118	236.311035	0	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	37	0	
19	10922888	1001	-1	21	狂暴熊		60.976501	229.917603	0	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	37	0	
20	10922898	1001	-1	21	狂暴熊		80.179802	235.139297	0	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	37	0	
21	10922901	1001	-1	21	狂暴熊		86.446716	227.863434	0	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	37	0	
22	10922918	1001	-1	21	狂暴熊		69.37616	229.744904	0	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	37	0	
23	10922919	1001	-1	21	狂暴熊		76.563042	229.38855	0	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	37	0	
24	10922925	1001	-1	21	狂暴熊		65.899139	217.516251	0	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	37	0	
25	10922937	1001	-1	21	狂暴熊		63.46376	223.102325	0	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	37	0	
26	10922948	1001	-1	21	狂暴熊		71.357872	235.808365	0	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	37	0	
27	10923005	1001	-1	21	狂暴熊		65.447197	209.042099	22	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	37	0	
28	10923020	1001	-1	21	狂暴熊		60.507793	214.570435	0	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	37	0	
29	10922794	1001	-1	21	狂暴熊		74.650665	207.292633	32	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	37	0	
30	10922822	1001	-1	21	狂暴熊		80.406914	201.987671	0	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	37	0	
31	10922833	1001	-1	21	狂暴熊		84.013199	206.238205	0	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	37	0	
32	10922860	1001	-1	21	狂暴熊		79.063904	212.294998	0	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	37	0	
33	10922874	1001	-1	21	狂暴熊		74.6847	217.841904	0	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	37	0	
34	10922875	1001	-1	21	狂暴熊		68.332359	222.131958	0	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	37	0	
35	10922887	1001	-1	21	狂暴熊		62.272118	236.311035	0	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	37	0	
36	10922888	1001	-1	21	狂暴熊		60.976501	229.917603	0	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	37	0	
37	10922898	1001	-1	21	狂暴熊		80.179802	235.139297	0	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	37	0	
38	10922901	1001	-1	21	狂暴熊		86.446716	227.863434	0	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	37	0	
39	10922918	1001	-1	21	狂暴熊		69.37616	229.744904	0	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	37	0	
40	10922919	1001	-1	21	狂暴熊		76.563042	229.38855	0	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	37	0	
41	10922925	1001	-1	21	狂暴熊		65.899139	217.516251	0	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	37	0	
42	10922937	1001	-1	21	狂暴熊		63.46376	223.102325	0	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	37	0	
43	10922948	1001	-1	21	狂暴熊		71.357872	235.808365	0	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	37	0	
44	10923005	1001	-1	21	狂暴熊		65.447197	209.042099	22	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	37	0	
45	10923020	1001	-1	21	狂暴熊		60.507793	214.570435	0	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	37	0	
46	10923118	1005	-1	21	术虎高琪	中军统制	128.294006	32.696701	24	-1	1000	-1	-1	6	0	-1	-1	-1	-1	-1	-1	36	0	
47	10923885	1007	-1	21	奇袭营金兵		225.38176	40.667999	22	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	36	0	
48	10923887	1007	-1	21	奇袭营金兵		219.020309	35.09959	27	-1	1000	-1	-1	6	0	-1	-1	-1	-1	-1	-1	36	0	
49	10923958	1007	-1	21	奇袭营金兵		215.591751	46.821095	22	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	36	0	
50	10924084	1006	-1	21	中军护卫营金兵		110.972542	39.58202	9	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
51	10924088	1006	-1	21	中军护卫营金兵		120.65123	42.008057	9	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
52	10924114	1006	-1	21	中军护卫营金兵		102.22007	33.722313	21	-1	1000	-1	-1	6	0	-1	-1	-1	-1	-1	-1	35	0	
53	10924116	1006	-1	21	中军护卫营金兵		136.155975	43.59705	9	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
54	10924142	1006	-1	21	中军护卫营金兵		104.254997	41.530224	21	-1	1000	-1	-1	6	0	-1	-1	-1	-1	-1	-1	35	0	
55	10924150	1006	-1	21	中军护卫营金兵		134.61908	47.208912	9	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
56	10924162	1006	-1	21	中军护卫营金兵		111.218575	32.767723	9	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
57	10924164	1006	-1	21	中军护卫营金兵		119.425514	28.437325	9	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
58	10924174	1006	-1	21	中军护卫营金兵		117.159332	37.272587	9	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
59	10924176	1006	-1	21	中军护卫营金兵		118.564964	53.730789	25	-1	1000	-1	-1	6	0	-1	-1	-1	-1	-1	-1	35	0	
60	10924178	1006	-1	21	中军护卫营金兵		111.06823	50.4641	25	-1	1000	-1	-1	6	0	-1	-1	-1	-1	-1	-1	35	0	
61	10924186	1006	-1	21	中军护卫营金兵		126.463333	55.209301	29	-1	1000	-1	-1	6	0	-1	-1	-1	-1	-1	-1	35	0	
62	10924189	1006	-1	21	中军护卫营金兵		141.409058	32.908634	9	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
63	10924193	1006	-1	21	中军护卫营金兵		136.499084	30.8888	9	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
64	10924196	1006	-1	21	中军护卫营金兵		127.326103	47.406197	9	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
65	10924212	1006	-1	21	中军护卫营金兵		126.843605	40.548134	9	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
66	10924213	1006	-1	21	中军护卫营金兵		136.404968	36.161144	9	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
67	10924296	1007	-1	21	奇袭营金兵		224.337357	43.132248	32	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	36	0	
68	10924632	1008	-1	21	乌月营金兵		194.342865	32.095585	32	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	37	0	
69	10924635	1008	-1	21	乌月营金兵		190.863861	46.096577	0	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	37	0	
70	10924677	1008	-1	21	乌月营金兵		198.836136	33.918819	32	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	37	0	
71	10924685	1008	-1	21	乌月营金兵		197.106216	40.461857	32	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	37	0	
72	10924689	1008	-1	21	乌月营金兵		190.652908	39.855606	32	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	37	0	
73	10924691	1008	-1	21	乌月营金兵		181.476028	35.834385	32	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	37	0	
74	10924701	1008	-1	21	乌月营金兵		173.510391	50.414894	28	-1	1000	-1	-1	6	0	-1	-1	-1	-1	-1	-1	37	0	
75	10924707	1008	-1	21	乌月营金兵		109.572731	142.060364	0	-1	1000	-1	-1	6	0	-1	-1	-1	-1	-1	-1	37	0	
76	10924712	1008	-1	21	乌月营金兵		193.768982	50.79015	28	-1	1000	-1	-1	6	0	-1	-1	-1	-1	-1	-1	37	0	
77	10924716	1008	-1	21	乌月营金兵		126.450996	137.445999	18	-1	1000	-1	-1	6	0	-1	-1	-1	-1	-1	-1	37	0	
78	10924720	1008	-1	21	乌月营金兵		109.709137	135.936768	0	-1	1000	-1	-1	6	0	-1	-1	-1	-1	-1	-1	37	0	
79	10924724	1008	-1	21	乌月营金兵		61.027756	163.216644	27	-1	1000	-1	-1	6	0	-1	-1	-1	-1	-1	-1	37	0	
