NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
编号	随机编号	attr编号	逻辑表编号	阵营编号	名称	称号	x轴坐标	z轴坐标	朝向	脚本编号	重生时间	分组编号	队伍编号	基础AI	AI文件	巡逻路径	商店0	商店1	商店2	商店3	名誉ID	等级	镜像组
0	14512917	2102	117001	-1	郭宝玉	西征军副统帅	155.383713	219.541214	18	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	88	0	
1	14512933	2119	117027	-1	图特阿海	西征将军	152.027298	222.701996	9	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	88	0	
2	14512936	2119	117028	-1	罕失剌	西征将军	152.610474	215.275406	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	88	0	
3	14512938	2120	117029	-1	虎儿台	西征将军	149.753326	215.658112	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	88	0	
4	14512941	2120	117030	-1	赫尔温	西征将军	148.862701	222.984024	9	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	88	0	
5	14512954	1152	117000	-1	钥匙老人		147	211	22	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	88	0	
6	14513184	2118	-1	-1	蒙古勇士		138.192261	216.79129	9	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	88	0	
7	14513186	2118	-1	-1	蒙古勇士		135.005798	216.73317	9	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	88	0	
8	14513187	2118	-1	-1	蒙古勇士		131.880554	216.202347	9	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	88	0	
9	14513190	2118	-1	-1	蒙古勇士		139.650085	213.493011	9	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	88	0	
10	14513192	2118	-1	-1	蒙古勇士		136.155701	212.829117	9	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	88	0	
11	14513194	2118	-1	-1	蒙古勇士		132.20192	212.775803	9	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	88	0	
12	14513196	2118	-1	-1	蒙古勇士		139.785431	209.971725	9	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	88	0	
13	14513198	2118	-1	-1	蒙古勇士		132.829224	210.101837	9	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	88	0	
14	14513231	2121	117013	-1	昔班	西征军前锋统帅	136.666168	207.810776	9	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	88	0	
15	14513400	2127	117012	-1	苏德延吉儿	西征军大萨满	132	201	12	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	88	0	
16	14577342	212	117011	-1	伯颜	西征军元帅	81.528694	86.320602	33	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	88	0	
17	14577443	2104	117005	-1	艾尔莎	立陶宛大公	140	45	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	88	0	
18	14577834	2122	-1	-1	莫斯科站岗士兵		163.968506	135.711197	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	88	0	
19	14577837	2122	-1	-1	莫斯科站岗士兵		172.664215	135.733383	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	88	0	
20	14577851	2122	-1	-1	莫斯科站岗士兵		173.694611	119.251465	21	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	88	0	
21	14577853	2122	-1	-1	莫斯科站岗士兵		163.460114	119.278366	0	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	88	0	
22	14578315	2122	-1	-1	莫斯科站岗士兵		121.117691	76.40506	9	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	88	0	
23	14578347	2122	-1	-1	莫斯科站岗士兵		121.452026	70.098816	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	88	0	
24	14578374	2122	-1	-1	莫斯科站岗士兵		106.989311	69.182556	18	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	88	0	
25	14578376	2122	-1	-1	莫斯科站岗士兵		106.942612	77.620964	18	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	88	0	
26	14578884	2113	-1	21	莫斯科亲卫军		198.708054	84.399353	0	-1	1000	-1	-1	6	0	-1	-1	-1	-1	-1	-1	88	0	
27	14578889	2113	-1	21	莫斯科亲卫军		204.065857	85.346916	18	-1	1000	-1	-1	6	0	-1	-1	-1	-1	-1	-1	88	0	
28	14578897	2134	-1	21	朱可夫斯基	莫斯科大公将领	201.3	85.5	9	-1	1000	-1	-1	6	0	-1	-1	-1	-1	-1	-1	88	0	
29	14662661	2114	-1	21	亚米尼亚士兵		198.835312	141.947479	18	-1	1000	-1	-1	6	-1	-1	-1	-1	-1	-1	-1	88	0	
30	14662663	2114	-1	21	亚米尼亚士兵		199.522141	149.101318	18	-1	1000	-1	-1	6	-1	-1	-1	-1	-1	-1	-1	88	0	
31	14662665	2114	-1	21	亚米尼亚士兵		199.912064	156.711655	18	-1	1000	-1	-1	6	-1	-1	-1	-1	-1	-1	-1	88	0	
32	14662672	2114	-1	21	亚米尼亚士兵		206.586029	157.251694	18	-1	1000	-1	-1	6	-1	-1	-1	-1	-1	-1	-1	88	0	
33	14662673	2114	-1	21	亚米尼亚士兵		206.300613	150.615097	18	-1	1000	-1	-1	6	-1	-1	-1	-1	-1	-1	-1	88	0	
34	14662675	2114	-1	21	亚米尼亚士兵		205.900711	143.619415	18	-1	1000	-1	-1	6	-1	-1	-1	-1	-1	-1	-1	88	0	
35	14662683	2114	-1	21	亚米尼亚士兵		212.328415	158.835403	16	-1	1000	-1	-1	6	-1	-1	-1	-1	-1	-1	-1	88	0	
36	14662684	2114	-1	21	亚米尼亚士兵		212.087418	150.457733	18	-1	1000	-1	-1	6	-1	-1	-1	-1	-1	-1	-1	88	0	
