NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
编号	随机编号	attr编号	逻辑表编号	阵营编号	名称	称号	x轴坐标	z轴坐标	朝向	脚本编号	重生时间	分组编号	队伍编号	基础AI	AI文件	巡逻路径	商店0	商店1	商店2	商店3	名誉ID	等级	镜像组
0	13440326	1152	102040	20	钥匙老人	剧场传送人	100.230766	182.780212	22	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
1	11078341	498	102000	20	郭靖		124.759132	160.325409	12	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	5	0	
2	11078390	33	102001	20	桑昆	王汗之子	128.149261	156.912125	16	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	5	0	
3	11078427	32	102002	20	拖雷	铁木真之子	118.181992	159.191559	6	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	5	0	
4	11078488	58	102003	20	华筝	铁木真爱女	123.895828	161.075546	12	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	5	0	
5	11080023	48	102004	20	王汗	铁木真义父	97.075165	149.543976	4	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
6	11095615	92	102008	20	李萍	郭靖之母	114.218903	162.007889	0	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
7	11096636	91	102009	20	阔阔出	萨满	82.294609	168.756531	4	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
8	11097352	60	102010	20	月伦夫人	铁木真的母亲	76.699608	153.057358	34	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
9	11097406	62	102011	20	豁黑	女佣	76.486916	150.87648	34	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
10	11097686	46	102012	20	别勒古台	铁木真之弟	75.514816	155.003464	0	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
11	11098794	87	102013	20	帖古察	马夫	78.159927	145.165268	31	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
