NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
编号	随机编号	attr编号	逻辑表编号	阵营编号	名称	称号	x轴坐标	z轴坐标	朝向	脚本编号	重生时间	分组编号	队伍编号	基础AI	AI文件	巡逻路径	商店0	商店1	商店2	商店3	名誉ID	等级	镜像组
0	20	2146	120200	20	腓特烈	法兰西选帝侯	29.067616	35.459648	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	98	0	
1	22	2136	120201	20	亨利	英格兰选帝侯	33.768173	30.186085	24	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	98	0	
2	39	1381	120202	20	汉斯	罗马选帝侯	189.409424	147.188538	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	98	0	
3	55	1380	120203	20	弗朗克	罗马选帝侯	189.432007	103.495003	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	98	0	
4	2	2135	120206	20	法兰西骑士		233.970108	213.549271	28	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	98	0	
5	6	2135	120206	20	法兰西骑士		235.405441	224.27684	10	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	98	0	
6	7	2135	120206	20	法兰西骑士		232.025558	32.267109	27	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	98	0	
7	8	2135	120206	20	法兰西骑士		231.86969	43.58997	9	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	98	0	
8	9	2135	120206	20	法兰西骑士		59.381191	65.743591	32	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	98	0	
9	10	2135	120206	20	法兰西骑士		65.063065	96.777313	32	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	98	0	
10	11	2135	120206	20	法兰西骑士		67.602608	93.604301	32	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	98	0	
11	12	2135	120206	20	法兰西骑士		42.674335	51.321041	32	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	98	0	
12	13	2135	120206	20	法兰西骑士		36.622372	45.138046	14	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	98	0	
13	14	2135	120206	20	法兰西骑士		48.886635	55.972973	14	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	98	0	
14	15	2135	120206	20	法兰西骑士		20.095078	47.621105	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	98	0	
15	17	2135	120206	20	法兰西骑士		26.424776	71.224098	4	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	98	0	
16	18	2135	120206	20	法兰西骑士		31.536104	84.759659	4	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	98	0	
17	101	2135	120206	20	法兰西骑士		48.401382	79.616478	16	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	98	0	
18	19	2135	120206	20	法兰西骑士		46.631493	64.779808	16	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	98	0	
19	28	1377	120207	20	英格兰骑士		81.463928	35.992695	20	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	98	0	
20	29	1377	120207	20	英格兰骑士		92.522217	58.589706	32	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	98	0	
21	30	1377	120207	20	英格兰骑士		44.195568	36.637489	14	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	98	0	
22	31	1377	120207	20	英格兰骑士		56.817371	45.950607	14	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	98	0	
23	32	1377	120207	20	英格兰骑士		52.057865	42.393925	32	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	98	0	
24	33	1377	120207	20	英格兰骑士		62.082069	24.428673	24	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	98	0	
25	34	1377	120207	20	英格兰骑士		73.965225	28.19499	24	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	98	0	
26	35	1377	120207	20	英格兰骑士		68.645721	55.455338	32	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	98	0	
27	36	1377	120207	20	英格兰骑士		89.246925	63.015804	32	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	98	0	
28	37	1377	120207	20	英格兰骑士		43.352283	22.598984	28	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	98	0	
29	40	1379	120208	20	罗马圣殿骑士		191.624359	137.944519	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	98	0	
30	41	1379	120208	20	罗马圣殿骑士		193.248352	169.869934	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	98	0	
31	46	1379	120208	20	罗马圣殿骑士		105.294891	131.098206	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	98	0	
32	47	1379	120208	20	罗马圣殿骑士		191.426025	149.635712	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	98	0	
33	48	1379	120208	20	罗马圣殿骑士		194.832565	161.797607	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	98	0	
34	49	1379	120208	20	罗马圣殿骑士		193.248917	165.405289	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	98	0	
35	50	1379	120208	20	罗马圣殿骑士		191.234314	144.299896	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	98	0	
36	65	1379	120208	20	罗马圣殿骑士		194.275146	141.009323	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	98	0	
37	68	1379	120208	20	罗马圣殿骑士		197.184387	134.308502	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	98	0	
38	69	1379	120208	20	罗马圣殿骑士		216.81311	148.532791	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	98	0	
39	70	1379	120208	20	罗马圣殿骑士		184.279846	132.523834	9	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	98	0	
40	74	1379	120208	20	罗马圣殿骑士		211.421158	141.401993	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	98	0	
41	75	1379	120208	20	罗马圣殿骑士		211.591644	134.238495	9	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	98	0	
42	87	1379	120208	20	罗马圣殿骑士		201.064407	134.193207	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	98	0	
43	77	1379	120208	20	罗马圣殿骑士		216.684265	155.225922	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	98	0	
44	112	1379	120208	20	罗马圣殿骑士		158.067795	132.135757	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	98	0	
45	113	1379	120208	20	罗马圣殿骑士		152.841507	132.233719	9	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	98	0	
46	114	1379	120209	20	圣彼得	罗马圣殿骑士团长	142.483551	131.42334	15	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	98	0	
47	115	1379	120208	20	罗马圣殿骑士		128.191574	134.225327	9	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	98	0	
48	116	1379	120208	20	罗马圣殿骑士		122.984589	130.709351	9	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	98	0	
49	51	1379	120208	20	罗马圣殿骑士		194.873672	156.992218	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	98	0	
50	57	1379	120208	20	罗马圣殿骑士		105.291397	124.696793	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	98	0	
51	58	1379	120208	20	罗马圣殿骑士		190.974823	100.288467	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	98	0	
52	59	1379	120208	20	罗马圣殿骑士		191.621262	111.576508	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	98	0	
53	60	1379	120208	20	罗马圣殿骑士		191.777512	107.437981	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	98	0	
54	61	1379	120208	20	罗马圣殿骑士		190.84111	89.230103	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	98	0	
55	62	1379	120208	20	罗马圣殿骑士		191.029388	95.861122	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	98	0	
56	71	1379	120208	20	罗马圣殿骑士		184.370697	123.89769	27	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	98	0	
57	72	1379	120208	20	罗马圣殿骑士		197.402466	123.100266	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	98	0	
58	66	1379	120208	20	罗马圣殿骑士		194.659348	114.972229	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	98	0	
59	67	1379	120208	20	罗马圣殿骑士		217.064758	102.535187	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	98	0	
60	76	1379	120208	20	罗马圣殿骑士		211.752533	115.3461	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	98	0	
61	78	1379	120208	20	罗马圣殿骑士		217.121887	109.443405	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	98	0	
62	73	1379	120208	20	罗马圣殿骑士		211.433533	123.162254	27	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	98	0	
63	107	1379	120208	20	罗马圣殿骑士		158.126541	124.33577	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	98	0	
