NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
±‡∫≈	ÀÊª˙±‡∫≈	attr±‡∫≈	¬ﬂº≠±Ì±‡∫≈	’Û”™±‡∫≈	√˚≥∆	≥∆∫≈	x÷·◊¯±Í	z÷·◊¯±Í	≥ØœÚ	Ω≈±æ±‡∫≈	÷ÿ…˙ ±º‰	∑÷◊È±‡∫≈	∂”ŒÈ±‡∫≈	ª˘¥°AI	AIŒƒº˛	—≤¬ﬂ¬∑æ∂	…ÃµÍ0	…ÃµÍ1	…ÃµÍ2	…ÃµÍ3	√˚”˛ID	µ»º∂	æµœÒ◊È
0	1	19102	-1	21	ª¡È		29.221058	73.624817	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
1	2	19102	-1	21	ª¡È		27.270901	81.168198	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
2	3	19102	-1	21	ª¡È		35.119614	87.30706	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
3	4	19102	-1	21	ª¡È		34.089085	83.193001	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
4	5	19102	-1	21	ª¡È		32.678383	79.214088	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
5	7	19102	-1	21	ª¡È		30.984583	84.683792	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
6	9	19102	-1	21	ª¡È		24.380762	77.684418	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
7	11	19102	-1	21	ª¡È		30.474092	90.906784	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
8	13	19102	-1	21	ª¡È		34.73365	91.207214	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
9	15	19102	-1	21	ª¡È		25.610474	84.31665	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
10	18	19108	-1	21	Õ¡¡È		86.237885	33.984783	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
11	19	19108	-1	21	Õ¡¡È		81.830513	39.30975	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
12	22	19108	-1	21	Õ¡¡È		91.161598	37.801868	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
13	23	19108	-1	21	Õ¡¡È		102.355721	38.020866	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
14	24	19108	-1	21	Õ¡¡È		98.306808	33.843697	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
15	25	19108	-1	21	Õ¡¡È		97.064026	37.704422	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
16	26	19108	-1	21	Õ¡¡È		97.883476	40.321236	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
17	30	19108	-1	21	Õ¡¡È		86.664711	45.055916	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
18	31	19108	-1	21	Õ¡¡È		91.400818	47.058102	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
19	32	19108	-1	21	Õ¡¡È		101.126595	44.611431	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
20	35	19102	-1	21	ª¡È		26.380337	27.03075	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
21	36	19102	-1	21	ª¡È		31.136553	30.954809	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
22	37	19102	-1	21	ª¡È		37.032448	34.950417	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
23	38	19102	-1	21	ª¡È		46.736359	26.10013	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
24	39	19102	-1	21	ª¡È		44.3815	33.107025	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
25	40	19102	-1	21	ª¡È		27.001776	41.344772	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
26	41	19102	-1	21	ª¡È		33.853931	44.853809	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
27	42	19102	-1	21	ª¡È		27.502903	50.813839	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
28	43	19102	-1	21	ª¡È		34.252956	56.186401	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
29	44	19102	-1	21	ª¡È		21.710756	59.585884	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
30	45	19108	-1	21	Õ¡¡È		73.50621	87.978912	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
31	46	19108	-1	21	Õ¡¡È		85.663712	82.259727	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
32	47	19108	-1	21	Õ¡¡È		87.580498	87.681252	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
33	48	19108	-1	21	Õ¡¡È		88.540146	96.882584	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
34	49	19108	-1	21	Õ¡¡È		98.62719	86.266945	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
35	50	19108	-1	21	Õ¡¡È		87.471848	69.160126	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
36	51	19108	-1	21	Õ¡¡È		92.225586	77.620918	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
37	52	19108	-1	21	Õ¡¡È		91.433403	54.960682	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
38	53	19108	-1	21	Õ¡¡È		92.50325	62.24025	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
39	54	19108	-1	21	Õ¡¡È		76.244423	76.977226	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
40	55	19108	-1	21	Õ¡¡È		78.562698	93.517403	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
41	56	19001	-1	21	«Âµ¿∑Ú		21.148422	54.967468	0	0	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
42	57	19102	-1	21	ª¡È		27.604393	48.353672	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
43	58	19102	-1	21	ª¡È		27.569839	57.001217	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
44	59	19102	-1	21	ª¡È		30.070528	51.984955	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
45	60	19102	-1	21	ª¡È		35.323498	48.615707	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
46	61	19102	-1	21	ª¡È		35.164738	42.651234	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
47	62	19102	-1	21	ª¡È		29.460964	58.767704	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
48	63	19102	-1	21	ª¡È		23.361443	46.233833	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
49	64	19102	-1	21	ª¡È		31.721325	61.107891	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
50	65	19102	-1	21	ª¡È		24.815691	61.744072	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
51	66	19102	-1	21	ª¡È		33.05975	59.447792	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
52	67	19102	-1	21	ª¡È		32.44381	95.827881	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
53	68	19102	-1	21	ª¡È		35.72554	94.721756	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
54	69	19102	-1	21	ª¡È		36.765366	90.397591	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
55	70	19102	-1	21	ª¡È		38.116867	94.824371	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
56	71	19102	-1	21	ª¡È		39.254932	91.814026	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
57	72	19102	-1	21	ª¡È		38.903629	98.469704	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
58	73	19102	-1	21	ª¡È		36.448101	81.627312	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
59	74	19102	-1	21	ª¡È		36.138626	77.014481	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
60	75	19102	-1	21	ª¡È		31.444117	71.85141	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
61	76	19102	-1	21	ª¡È		33.558067	73.694931	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
62	77	19108	-1	21	Õ¡¡È		92.342827	29.541967	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
63	78	19108	-1	21	Õ¡¡È		93.634216	31.935869	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
64	79	19108	-1	21	Õ¡¡È		92.817062	45.581661	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
65	80	19108	-1	21	Õ¡¡È		95.614609	45.337177	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
66	81	19108	-1	21	Õ¡¡È		89.551247	41.010685	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
67	82	19108	-1	21	Õ¡¡È		85.115837	40.97821	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
68	83	19108	-1	21	Õ¡¡È		82.514877	48.14463	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
69	84	19108	-1	21	Õ¡¡È		87.454544	50.048618	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
70	85	19108	-1	21	Õ¡¡È		95.195175	50.169724	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
71	86	19108	-1	21	Õ¡¡È		84.787994	53.513653	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
72	87	19108	-1	21	Õ¡¡È		85.894455	74.461037	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
73	88	19108	-1	21	Õ¡¡È		90.688705	83.656151	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
74	89	19108	-1	21	Õ¡¡È		94.927475	81.259087	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
75	90	19108	-1	21	Õ¡¡È		93.9757	89.264961	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
76	91	19108	-1	21	Õ¡¡È		88.714447	91.983093	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
77	92	19108	-1	21	Õ¡¡È		82.715149	88.230865	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
78	93	19108	-1	21	Õ¡¡È		79.200409	81.01181	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
79	94	19108	-1	21	Õ¡¡È		83.542458	77.184418	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
80	95	19108	-1	21	Õ¡¡È		87.196503	77.723854	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
81	96	19108	-1	21	Õ¡¡È		89.95475	72.930954	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
