NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
±àºÅ	Ëæ»ú±àºÅ	attr±àºÅ	Âß¼­±í±àºÅ	ÕóÓª±àºÅ	Ãû³Æ	³ÆºÅ	xÖá×ø±ê	zÖá×ø±ê	³¯Ïò	½Å±¾±àºÅ	ÖØÉúÊ±¼ä	·Ö×é±àºÅ	¶ÓÎé±àºÅ	»ù´¡AI	AIÎÄ¼þ	Ñ²ÂßÂ·¾¶	ÉÌµê0	ÉÌµê1	ÉÌµê2	ÉÌµê3	ÃûÓþID	µÈ¼¶	¾µÏñ×é
0	2	19104	-1	21	Ä¾Áé		103.710785	50.861523	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
1	3	19104	-1	21	Ä¾Áé		97.742859	48.446297	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
2	5	19104	-1	21	Ä¾Áé		81.113884	38.822063	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
3	6	19104	-1	21	Ä¾Áé		82.395309	28.57085	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
4	8	19104	-1	21	Ä¾Áé		76.135048	23.354248	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
5	9	19104	-1	21	Ä¾Áé		85.418884	26.30603	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
6	10	19104	-1	21	Ä¾Áé		89.191208	26.154705	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
7	11	19104	-1	21	Ä¾Áé		86.947639	31.906572	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
8	12	19104	-1	21	Ä¾Áé		70.107689	34.865948	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
9	13	19104	-1	21	Ä¾Áé		74.924675	29.451687	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
10	14	19104	-1	21	Ä¾Áé		76.037498	26.976274	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
11	15	19104	-1	21	Ä¾Áé		89.434441	22.813545	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
12	16	19104	-1	21	Ä¾Áé		80.877174	25.075466	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
13	17	19104	-1	21	Ä¾Áé		80.064606	31.607332	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
14	18	19104	-1	21	Ä¾Áé		57.361252	32.542755	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
15	19	19104	-1	21	Ä¾Áé		49.63026	35.6731	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
16	20	19104	-1	21	Ä¾Áé		43.294262	33.918282	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
17	22	19104	-1	21	Ä¾Áé		43.561066	37.681969	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
18	25	19110	-1	21	Ê÷Áé		25.130178	67.645035	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
19	26	19110	-1	21	Ê÷Áé		33.959023	67.573235	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
20	27	19110	-1	21	Ê÷Áé		26.594666	77.714592	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
21	28	19110	-1	21	Ê÷Áé		35.571808	73.132881	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
22	30	19110	-1	21	Ê÷Áé		35.200096	80.528221	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
23	31	19110	-1	21	Ê÷Áé		39.210392	87.275345	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
24	32	19110	-1	21	Ê÷Áé		43.272667	85.479187	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
25	33	19110	-1	21	Ê÷Áé		45.043266	85.326401	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
26	34	19110	-1	21	Ê÷Áé		33.4231	91.445747	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
27	36	19110	-1	21	Ê÷Áé		43.374554	89.847923	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
28	38	19110	-1	21	Ê÷Áé		48.846867	89.075294	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
29	40	19110	-1	21	Ê÷Áé		40.89888	94.46711	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
