NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
编号	随机编号	attr编号	逻辑表编号	阵营编号	名称	称号	x轴坐标	z轴坐标	朝向	脚本编号	重生时间	分组编号	队伍编号	基础AI	AI文件	巡逻路径	商店0	商店1	商店2	商店3	名誉ID	等级	镜像组
0	0	9894	-1	21	红毒之蛛		115	41	0	-1	14400000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	75	0	
1	1	9894	-1	21	红毒之蛛		82	112	0	-1	14400000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	75	0	
2	2	9894	-1	21	红毒之蛛		40	112	0	-1	14400000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	75	0	
3	3	9885	-1	21	冥王部将		54	36	0	-1	14400000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	75	0	
4	4	56606	-1	21			110	42	0	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
5	5	56606	-1	21			110.1	41.9	0	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
6	6	56606	-1	21			109	42	0	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
7	7	56606	-1	21			109	43	0	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
8	8	56606	-1	21			109	41	0	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
9	9	56606	-1	21			110	43	0	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
10	10	56606	-1	21			110	41	0	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
11	11	56606	-1	21			111	42	0	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
12	12	56606	-1	21			111	43	0	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
13	13	56606	-1	21			111	41	0	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
14	14	56606	-1	21			94	52	0	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
15	15	56606	-1	21			94.1	51.9	0	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
16	16	56606	-1	21			93	52	0	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
17	17	56606	-1	21			93	53	0	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
18	18	56606	-1	21			93	51	0	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
19	19	56606	-1	21			94	53	0	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
20	20	56606	-1	21			94	51	0	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
21	21	56606	-1	21			95	52	0	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
22	22	56606	-1	21			95	53	0	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
23	23	56606	-1	21			95	51	0	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
24	24	56606	-1	21			110	67	0	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
25	25	56606	-1	21			110.1	66.9	0	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
26	26	56606	-1	21			109	67	0	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
27	27	56606	-1	21			109	68	0	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
28	28	56606	-1	21			109	66	0	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
29	29	56606	-1	21			110	68	0	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
30	30	56606	-1	21			110	66	0	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
31	31	56606	-1	21			111	67	0	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
32	32	56606	-1	21			111	68	0	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
33	33	56606	-1	21			111	66	0	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
34	34	56606	-1	21			83	111	0	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
35	35	56606	-1	21			83.1	110.9	0	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
36	36	56606	-1	21			82	111	0	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
37	37	56606	-1	21			82	112	0	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
38	38	56606	-1	21			82	110	0	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
39	39	56606	-1	21			83	112	0	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
40	40	56606	-1	21			83	110	0	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
41	41	56606	-1	21			84	111	0	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
42	42	56606	-1	21			84	112	0	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
43	43	56606	-1	21			84	110	0	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
44	44	56606	-1	21			88	98	0	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
45	45	56606	-1	21			88.1	97.9	0	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
46	46	56606	-1	21			87	98	0	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
47	47	56606	-1	21			87	99	0	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
48	48	56606	-1	21			87	97	0	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
49	49	56606	-1	21			88	99	0	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
50	50	56606	-1	21			88	97	0	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
51	51	56606	-1	21			89	98	0	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
52	52	56606	-1	21			89	99	0	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
53	53	56606	-1	21			89	97	0	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
54	54	56606	-1	21			50	98	0	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
55	55	56606	-1	21			50.1	97.9	0	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
56	56	56606	-1	21			49	98	0	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
57	57	56606	-1	21			49	99	0	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
58	58	56606	-1	21			49	97	0	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
59	59	56606	-1	21			50	99	0	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
60	60	56606	-1	21			50	97	0	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
61	61	56606	-1	21			51	98	0	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
62	62	56606	-1	21			51	99	0	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
63	63	56606	-1	21			51	97	0	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
64	64	56606	-1	21			40	110	0	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
65	65	56606	-1	21			40.1	109.9	0	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
66	66	56606	-1	21			39	110	0	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
67	67	56606	-1	21			39	111	0	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
68	68	56606	-1	21			39	109	0	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
69	69	56606	-1	21			40	111	0	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
70	70	56606	-1	21			40	109	0	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
71	71	56606	-1	21			41	110	0	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
72	72	56606	-1	21			41	111	0	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
73	73	56606	-1	21			41	109	0	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
74	74	56606	-1	21			20	77	0	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
75	75	56606	-1	21			20.1	76.9	0	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
76	76	56606	-1	21			19	77	0	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
77	77	56606	-1	21			19	78	0	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
