NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
±àºÅ	Ëæ»ú±àºÅ	attr±àºÅ	Âß¼­±í±àºÅ	ÕóÓª±àºÅ	Ãû³Æ	³ÆºÅ	xÖá×ø±ê	zÖá×ø±ê	³¯Ïò	½Å±¾±àºÅ	ÖØÉúÊ±¼ä	·Ö×é±àºÅ	¶ÓÎé±àºÅ	»ù´¡AI	AIÎÄ¼þ	Ñ²ÂßÂ·¾¶	ÉÌµê0	ÉÌµê1	ÉÌµê2	ÉÌµê3	ÃûÓþID	µÈ¼¶	¾µÏñ×é
0	1	6965	-1	21	ÓÄ·ÙÖ®³Ý		55.490494	101.201118	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	55	0	
1	2	6965	-1	21	ÓÄ·ÙÖ®³Ý		60.609921	102.457474	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	55	0	
2	3	6965	-1	21	ÓÄ·ÙÖ®³Ý		48.827335	150.316635	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	55	0	
3	4	6965	-1	21	ÓÄ·ÙÖ®³Ý		72.720955	131.275818	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	55	0	
4	5	6965	-1	21	ÓÄ·ÙÖ®³Ý		57.210339	192.67807	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	55	0	
5	6	6965	-1	21	ÓÄ·ÙÖ®³Ý		150.99115	189.315704	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	55	0	
6	7	6965	-1	21	ÓÄ·ÙÖ®³Ý		109.886642	208.300323	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	55	0	
7	8	6965	-1	21	ÓÄ·ÙÖ®³Ý		109.425476	152.614014	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	55	0	
8	9	6965	-1	21	ÓÄ·ÙÖ®³Ý		107.832497	150.107361	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	55	0	
9	10	6965	-1	21	ÓÄ·ÙÖ®³Ý		108.814598	100.762154	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	55	0	
10	13	6964	-1	21	ÓÄ°µÖ®Í«		189.135468	59.158859	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
11	14	6964	-1	21	ÓÄ°µÖ®Í«		172.150085	108.254616	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
12	15	6964	-1	21	ÓÄ°µÖ®Í«		196.727722	126.725945	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
13	16	6964	-1	21	ÓÄ°µÖ®Í«		172.628235	149.635101	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
14	17	6964	-1	21	ÓÄ°µÖ®Í«		186.297104	194.260178	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
15	4	6965	-1	21	ÓÄ·ÙÖ®³Ý		72.027718	132.695602	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	55	0	
16	5	6965	-1	21	ÓÄ·ÙÖ®³Ý		56.207745	191.115768	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	55	0	
17	6	6965	-1	21	ÓÄ·ÙÖ®³Ý		148.657578	188.739655	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	55	0	
18	7	6965	-1	21	ÓÄ·ÙÖ®³Ý		110.432724	209.824188	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	55	0	
19	8	6965	-1	21	ÓÄ·ÙÖ®³Ý		108.439423	148.319305	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	55	0	
20	9	6965	-1	21	ÓÄ·ÙÖ®³Ý		146.345627	154.119034	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	55	0	
21	10	6965	-1	21	ÓÄ·ÙÖ®³Ý		108.745537	102.137108	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	55	0	
22	12	6964	-1	21	ÓÄ°µÖ®Í«		149.117386	60.704746	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
23	13	6964	-1	21	ÓÄ°µÖ®Í«		189.301147	60.12685	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
24	14	6964	-1	21	ÓÄ°µÖ®Í«		170.654831	106.281639	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
25	15	6964	-1	21	ÓÄ°µÖ®Í«		195.825317	127.637634	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
26	16	6964	-1	21	ÓÄ°µÖ®Í«		172.624344	148.40538	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
27	17	6964	-1	21	ÓÄ°µÖ®Í«		187.285263	195.576385	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
28	2	6965	-1	21	ÓÄ·ÙÖ®³Ý		57.260788	100.566727	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	55	0	
