NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
编号	随机编号	attr编号	逻辑表编号	阵营编号	名称	称号	x轴坐标	z轴坐标	朝向	脚本编号	重生时间	分组编号	队伍编号	基础AI	AI文件	巡逻路径	商店0	商店1	商店2	商店3	名誉ID	等级	镜像组
0	1	6967	-1	21	幽角之怪		96.23542	38.792755	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	65	0	
1	2	6967	-1	21	幽角之怪		95.728554	38.657421	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	65	0	
2	3	6967	-1	21	幽角之怪		133.052872	58.8437	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	65	0	
3	16	6966	-1	21	幽熔之怪		114.515404	146.250824	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	60	0	
4	1	6967	-1	21	幽角之怪		95.746887	38.040508	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	65	0	
5	3	6967	-1	21	幽角之怪		132.65509	58.535484	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	65	0	
6	6	6967	-1	21	幽角之怪		118.360764	114.575615	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	65	0	
7	7	6967	-1	21	幽角之怪		77.872345	112.293251	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	65	0	
8	8	6967	-1	21	幽角之怪		76.895126	151.658981	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	65	0	
9	10	6966	-1	21	幽熔之怪		192.234558	148.39798	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	60	0	
10	11	6966	-1	21	幽熔之怪		196.174103	187.801498	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	60	0	
11	12	6966	-1	21	幽熔之怪		125.786148	198.501465	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	60	0	
12	13	6966	-1	21	幽熔之怪		106.973305	177.565186	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	60	0	
13	1	6967	-1	21	幽角之怪		95.288261	83.361732	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	65	0	
14	3	6967	-1	21	幽角之怪		131.955994	61.510551	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	65	0	
15	4	6967	-1	21	幽角之怪		167.112747	57.577374	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	65	0	
16	5	6967	-1	21	幽角之怪		183.353775	116.404602	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	65	0	
17	6	6967	-1	21	幽角之怪		118.995735	114.260605	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	65	0	
18	7	6967	-1	21	幽角之怪		78.242371	111.571014	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	65	0	
19	8	6967	-1	21	幽角之怪		75.559448	150.666519	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	65	0	
20	10	6966	-1	21	幽熔之怪		191.336884	146.783569	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	60	0	
21	11	6966	-1	21	幽熔之怪		195.284531	187.301697	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	60	0	
22	12	6966	-1	21	幽熔之怪		145.70314	176.96228	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	60	0	
23	13	6966	-1	21	幽熔之怪		107.509071	177.99324	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	60	0	
24	16	6966	-1	21	幽熔之怪		112.001335	144.948318	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	60	0	
25	1	6967	-1	21	幽角之怪		93.349411	84.811523	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	65	0	
26	3	6967	-1	21	幽角之怪		132.886993	61.881596	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	65	0	
27	4	6967	-1	21	幽角之怪		199.399567	62.867687	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	65	0	
28	5	6967	-1	21	幽角之怪		181.588211	117.135017	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	65	0	
29	6	6967	-1	21	幽角之怪		119.645859	114.14859	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	65	0	
30	7	6967	-1	21	幽角之怪		76.037987	113.769753	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	65	0	
31	8	6967	-1	21	幽角之怪		73.729767	150.93158	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	65	0	
32	10	6966	-1	21	幽熔之怪		191.925751	147.480133	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	60	0	
33	11	6966	-1	21	幽熔之怪		194.319778	184.287735	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	60	0	
34	12	6966	-1	21	幽熔之怪		145.131348	176.366684	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	60	0	
35	13	6966	-1	21	幽熔之怪		105.693237	177.596878	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	60	0	
36	14	6966	-1	21	幽熔之怪		132.194519	149.62735	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	60	0	
37	16	6966	-1	21	幽熔之怪		112.995598	144.53035	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	60	0	
38	1	6967	-1	21	幽角之怪		96.435272	37.910118	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	65	0	
39	3	6967	-1	21	幽角之怪		131.393921	59.625771	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	65	0	
40	4	6967	-1	21	幽角之怪		199.350861	60.913761	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	65	0	
41	5	6967	-1	21	幽角之怪		184.514206	116.081642	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	65	0	
42	6	6967	-1	21	幽角之怪		118.693031	113.456367	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	65	0	
