NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
╠Ю╨е	кФ╩З╠Ю╨е	attr╠Ю╨е	бъ╪╜╠М╠Ю╨е	уСс╙╠Ю╨е	цШЁф	Ёф╨е	xжАвЬ╠Й	zжАвЬ╠Й	Ё╞оР	╫е╠╬╠Ю╨е	жьиЗй╠╪Д	╥жвИ╠Ю╨е	╤снИ╠Ю╨е	╩Ы╢║AI	AIнд╪Ч	я╡бъб╥╬╤	ил╣Й0	ил╣Й1	ил╣Й2	ил╣Й3	цШсЧID	╣х╪╤	╬╣оЯвИ
0	1	6940	-1	21	сд╨зж╝жК		42.632637	107.563385	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	30	0	
1	2	6940	-1	21	сд╨зж╝жК		69.711029	144.234543	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	30	0	
2	4	6940	-1	21	сд╨зж╝жК		66.719208	142.477631	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	30	0	
3	5	6940	-1	21	сд╨зж╝жК		88.353531	190.986176	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	30	0	
4	6	6940	-1	21	сд╨зж╝жК		145.393463	191.880692	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	30	0	
5	7	6940	-1	21	сд╨зж╝жК		114.781136	206.849838	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	30	0	
6	8	6940	-1	21	сд╨зж╝жК		143.799667	156.305649	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	30	0	
7	9	6940	-1	21	сд╨зж╝жК		55.386772	120.797264	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	30	0	
8	11	6941	-1	21	сдущж╝╥Д		97.326668	55.403961	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
9	12	6941	-1	21	сдущж╝╥Д		147.996719	59.116661	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
10	13	6941	-1	21	сдущж╝╥Д		191.085251	61.879894	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
11	14	6941	-1	21	сдущж╝╥Д		174.318863	102.107742	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
12	15	6941	-1	21	сдущж╝╥Д		194.140778	122.666138	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
13	16	6941	-1	21	сдущж╝╥Д		175.726974	139.807541	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
14	17	6941	-1	21	сдущж╝╥Д		182.962952	188.985123	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
