NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
±àºÅ	Ëæ»ú±àºÅ	attr±àºÅ	Âß¼­±í±àºÅ	ÕóÓª±àºÅ	Ãû³Æ	³ÆºÅ	xÖá×ø±ê	zÖá×ø±ê	³¯Ïò	½Å±¾±àºÅ	ÖØÉúÊ±¼ä	·Ö×é±àºÅ	¶ÓÎé±àºÅ	»ù´¡AI	AIÎÄ¼þ	Ñ²ÂßÂ·¾¶	ÉÌµê0	ÉÌµê1	ÉÌµê2	ÉÌµê3	ÃûÓþID	µÈ¼¶	¾µÏñ×é
0	2	6944	-1	21	ÓÄ°µÖ®Í«		87.649864	198.686508	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
1	3	6944	-1	21	ÓÄ°µÖ®Í«		126.190079	151.511581	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
2	4	6944	-1	21	ÓÄ°µÖ®Í«		164.286575	193.6866	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
3	5	6944	-1	21	ÓÄ°µÖ®Í«		194.322739	191.02179	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
4	6	6944	-1	21	ÓÄ°µÖ®Í«		158.074203	150.214371	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
5	7	6944	-1	21	ÓÄ°µÖ®Í«		164.582306	112.866486	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
6	8	6944	-1	21	ÓÄ°µÖ®Í«		195.616104	111.439819	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
7	9	6944	-1	21	ÓÄ°µÖ®Í«		163.078445	111.370308	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
8	10	6944	-1	21	ÓÄ°µÖ®Í«		202.712997	61.389702	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
9	14	6945	-1	21	ÓÄ·ÙÖ®³Ý		90.070709	100.154419	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	55	0	
10	17	6945	-1	21	ÓÄ·ÙÖ®³Ý		62.100323	70.451248	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	55	0	
11	2	6944	-1	21	ÓÄ°µÖ®Í«		90.235428	198.268723	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
12	3	6944	-1	21	ÓÄ°µÖ®Í«		123.193329	199.090012	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
13	4	6944	-1	21	ÓÄ°µÖ®Í«		164.100113	194.315475	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
14	5	6944	-1	21	ÓÄ°µÖ®Í«		194.905975	189.842712	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
15	6	6944	-1	21	ÓÄ°µÖ®Í«		198.773285	158.194748	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
16	7	6944	-1	21	ÓÄ°µÖ®Í«		162.743576	113.62484	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
17	8	6944	-1	21	ÓÄ°µÖ®Í«		196.652725	110.090492	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
18	9	6944	-1	21	ÓÄ°µÖ®Í«		200.721466	60.572334	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
19	10	6944	-1	21	ÓÄ°µÖ®Í«		202.514603	61.044083	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
20	14	6945	-1	21	ÓÄ·ÙÖ®³Ý		91.091179	99.742973	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	55	0	
21	17	6945	-1	21	ÓÄ·ÙÖ®³Ý		58.192558	47.178146	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	55	0	
22	2	6944	-1	21	ÓÄ°µÖ®Í«		89.152534	198.681717	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
23	3	6944	-1	21	ÓÄ°µÖ®Í«		122.390175	200.46579	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
24	4	6944	-1	21	ÓÄ°µÖ®Í«		164.749008	192.448395	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
25	5	6944	-1	21	ÓÄ°µÖ®Í«		195.55571	189.595642	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
26	6	6944	-1	21	ÓÄ°µÖ®Í«		195.186172	192.125565	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
27	7	6944	-1	21	ÓÄ°µÖ®Í«		162.199142	112.70752	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
28	8	6944	-1	21	ÓÄ°µÖ®Í«		195.943054	109.723976	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
29	9	6944	-1	21	ÓÄ°µÖ®Í«		196.666443	110.381996	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
30	10	6944	-1	21	ÓÄ°µÖ®Í«		199.504471	61.891201	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
31	13	6945	-1	21	ÓÄ·ÙÖ®³Ý		87.060112	153.541855	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	55	0	
32	14	6945	-1	21	ÓÄ·ÙÖ®³Ý		90.939987	99.084679	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	55	0	
33	2	6944	-1	21	ÓÄ°µÖ®Í«		89.153099	198.106522	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
34	3	6944	-1	21	ÓÄ°µÖ®Í«		123.912788	200.128403	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
35	4	6944	-1	21	ÓÄ°µÖ®Í«		163.706238	192.531921	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
36	5	6944	-1	21	ÓÄ°µÖ®Í«		195.440491	190.858627	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
37	6	6944	-1	21	ÓÄ°µÖ®Í«		197.917786	157.222443	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
38	7	6944	-1	21	ÓÄ°µÖ®Í«		162.117447	112.292633	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
