NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
±àºÅ	Ëæ»ú±àºÅ	attr±àºÅ	Âß¼­±í±àºÅ	ÕóÓª±àºÅ	Ãû³Æ	³ÆºÅ	xÖá×ø±ê	zÖá×ø±ê	³¯Ïò	½Å±¾±àºÅ	ÖØÉúÊ±¼ä	·Ö×é±àºÅ	¶ÓÎé±àºÅ	»ù´¡AI	AIÎÄ¼þ	Ñ²ÂßÂ·¾¶	ÉÌµê0	ÉÌµê1	ÉÌµê2	ÉÌµê3	ÃûÓþID	µÈ¼¶	¾µÏñ×é
0	1	6909	-1	21	ÓÄ±ùÖ®×¦		73.433853	128.382355	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	75	0	
1	2	6909	-1	21	ÓÄ±ùÖ®×¦		71.177223	162.571259	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	75	0	
2	3	6909	-1	21	ÓÄ±ùÖ®×¦		72.431854	192.114822	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	75	0	
3	4	6909	-1	21	ÓÄ±ùÖ®×¦		103.361351	193.301697	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	75	0	
4	5	6909	-1	21	ÓÄ±ùÖ®×¦		138.736328	194.109482	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	75	0	
5	6	6909	-1	21	ÓÄ±ùÖ®×¦		186.711975	172.907959	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	75	0	
6	7	6909	-1	21	ÓÄ±ùÖ®×¦		172.218811	154.525146	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	75	0	
7	8	6909	-1	21	ÓÄ±ùÖ®×¦		101.33065	142.308701	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	75	0	
8	9	6909	-1	21	ÓÄ±ùÖ®×¦		134.585526	144.458603	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	75	0	
9	10	6909	-1	21	ÓÄ±ùÖ®×¦		187.661682	106.625626	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	75	0	
10	11	6908	-1	21	ÓÄº¿Ö®Å£		135.114029	110.114952	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
11	12	6908	-1	21	ÓÄº¿Ö®Å£		66.333351	89.018402	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
12	13	6908	-1	21	ÓÄº¿Ö®Å£		96.992661	77.940193	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
13	14	6908	-1	21	ÓÄº¿Ö®Å£		70.862564	53.722328	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
14	15	6908	-1	21	ÓÄº¿Ö®Å£		141.638855	46.635216	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
