NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
编号	随机编号	attr编号	逻辑表编号	阵营编号	名称	称号	x轴坐标	z轴坐标	朝向	脚本编号	重生时间	分组编号	队伍编号	基础AI	AI文件	巡逻路径	商店0	商店1	商店2	商店3	名誉ID	等级	镜像组
0	4	6910	-1	21	幽金之奴		116.904274	61.650822	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
1	6	6910	-1	21	幽金之奴		76.178947	70.818832	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
2	7	6910	-1	21	幽金之奴		57.135601	89.429039	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
3	8	6910	-1	21	幽金之奴		69.21154	160.973206	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
4	1	6910	-1	21	幽金之奴		155.862228	55.222824	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
5	2	6910	-1	21	幽金之奴		188.964401	85.212624	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
6	4	6910	-1	21	幽金之奴		96.593498	127.550125	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
7	8	6910	-1	21	幽金之奴		64.841507	162.108536	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
8	9	6910	-1	21	幽金之奴		94.834412	128.87117	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
9	14	6911	-1	21	幽岩之奴		100.865997	203.660217	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	85	0	
10	16	6911	-1	21	幽岩之奴		135.770981	163.304321	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	85	0	
11	7	6910	-1	21	幽金之奴		57.516182	90.540039	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
12	8	6910	-1	21	幽金之奴		66.775787	164.960419	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
13	9	6910	-1	21	幽金之奴		96.584351	125.374374	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
14	14	6911	-1	21	幽岩之奴		137.859924	198.529785	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	85	0	
15	15	6911	-1	21	幽岩之奴		105.117134	161.604218	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	85	0	
16	16	6911	-1	21	幽岩之奴		137.553726	163.163605	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	85	0	
17	17	6911	-1	21	幽岩之奴		158.209717	171.004807	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	85	0	
18	8	6910	-1	21	幽金之奴		69.47052	163.840973	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
19	15	6911	-1	21	幽岩之奴		108.186882	161.472763	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	85	0	
20	17	6911	-1	21	幽岩之奴		189.155655	150.871414	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	85	0	
21	5	6910	-1	21	幽金之奴		117.108688	94.330994	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
22	15	6911	-1	21	幽岩之奴		107.494904	160.071548	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	85	0	
23	18	6910	-1	21	幽金之奴		156.257843	53.098648	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
24	19	6910	-1	21	幽金之奴		158.457001	54.130455	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
25	20	6910	-1	21	幽金之奴		157.586121	57.491962	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
26	21	6910	-1	21	幽金之奴		154.855194	56.531418	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
27	22	6910	-1	21	幽金之奴		155.237732	53.513351	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
