NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
编号	随机编号	attr编号	逻辑表编号	阵营编号	名称	称号	x轴坐标	z轴坐标	朝向	脚本编号	重生时间	分组编号	队伍编号	基础AI	AI文件	巡逻路径	商店0	商店1	商店2	商店3	名誉ID	等级	镜像组
0	6126252	1211	142780	20	王国营地驿卒	吕宋岛传送	213	39.8	29	-1	1000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	100	0	
1	6126394	1211	142781	20	王国卫兵		218.510117	40.891834	27	-1	1000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	100	0	
2	6126412	1211	142782	20	王国卫兵		220.815887	43.854229	27	-1	1000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	100	0	
3	6126512	1211	142783	20	王国卫兵		213.058685	34.792019	29	-1	1000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	100	0	
4	6126556	1211	142784	20	王国卫兵		210.381638	32.449844	29	-1	1000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	100	0	
5	6181840	9753	-1	21			194.049255	44.001766	27	300640	1000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	95	0	
6	6181841	9753	-1	21			194.388367	44.028095	27	300640	1000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	95	0	
7	6181842	9753	-1	21			194.840515	43.997433	27	300640	1000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	95	0	
8	6181843	9753	-1	21			194.869659	44.311981	27	300640	1000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	95	0	
9	6181844	9753	-1	21			194.531418	44.342567	27	300640	1000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	95	0	
10	6181845	9753	-1	21			194.10791	44.34462	27	300640	1000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	95	0	
11	6181847	9753	-1	21			194.19455	44.628956	27	300640	1000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	95	0	
12	6181849	9753	-1	21			194.589523	44.68417	27	300640	1000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	95	0	
13	6181851	9753	-1	21			194.927597	44.597694	27	300640	1000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	95	0	
14	6181852	9753	-1	21			194.754059	43.653965	27	300640	1000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	95	0	
15	6181853	9753	-1	21			194.443054	43.684864	27	300640	1000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	95	0	
16	6181854	9753	-1	21			193.991531	43.716415	27	300640	1000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	95	0	
17	6181856	9753	-1	21			193.880661	44.003143	27	300640	1000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	95	0	
18	6181857	9753	-1	21			193.797668	44.231808	27	300640	1000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	95	0	
19	6181858	9753	-1	21			193.799911	44.517303	27	300640	1000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	95	0	
20	6181882	9753	-1	21			204.490173	73.260063	27	300640	1000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	95	0	
21	6181884	9753	-1	21			204.130981	73.453842	27	300640	1000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	95	0	
22	6181885	9753	-1	21			204.490128	73.619919	27	300640	1000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	95	0	
23	6181886	9753	-1	21			204.904877	73.453827	27	300640	1000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	95	0	
24	6181888	9753	-1	21			204.932419	73.786034	27	300640	1000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	95	0	
25	6181890	9753	-1	21			204.518051	73.868896	27	300640	1000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	95	0	
26	6181892	9753	-1	21			204.158539	73.730812	27	300640	1000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	95	0	
27	6181896	9753	-1	21			204.241302	74.117775	27	300640	1000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	95	0	
28	6181897	9753	-1	21			204.628403	74.145432	27	300640	1000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	95	0	
29	6181898	9753	-1	21			205.043121	74.062546	27	300640	1000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	95	0	
30	6181900	9753	-1	21			205.374832	73.481392	27	300640	1000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	95	0	
31	6181902	9753	-1	21			205.31955	73.786003	27	300640	1000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	95	0	
32	6181903	9753	-1	21			203.992584	73.758049	27	300640	1000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	95	0	
33	6181904	9753	-1	21			204.04776	74.034943	27	300640	1000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	95	0	
34	6181907	9753	-1	21			205.043289	73.288101	27	300640	1000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	95	0	
35	6181917	9753	-1	21			204.007523	113.466072	27	300640	1000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	95	0	
36	6181918	9753	-1	21			204.386826	113.46682	27	300640	1000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	95	0	
37	6181920	9753	-1	21			204.738358	113.305115	27	300640	1000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	95	0	
38	6181921	9753	-1	21			204.792358	113.60276	27	300640	1000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	95	0	
39	6181923	9753	-1	21			204.413483	113.845619	27	300640	1000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	95	0	
40	6181924	9753	-1	21			204.06163	113.818108	27	300640	1000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	95	0	
