NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
╠Ю╨е	кФ╩З╠Ю╨е	attr╠Ю╨е	бъ╪╜╠М╠Ю╨е	уСс╙╠Ю╨е	цШЁф	Ёф╨е	xжАвЬ╠Й	zжАвЬ╠Й	Ё╞оР	╫е╠╬╠Ю╨е	жьиЗй╠╪Д	╥жвИ╠Ю╨е	╤снИ╠Ю╨е	╩Ы╢║AI	AIнд╪Ч	я╡бъб╥╬╤	ил╣Й0	ил╣Й1	ил╣Й2	ил╣Й3	цШсЧID	╣х╪╤	╬╣оЯвИ
0	1	6921	-1	21	сдущж╝╥Д		103.016129	81.526695	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
1	2	6921	-1	21	сдущж╝╥Д		81.343628	37.91383	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
2	3	6921	-1	21	сдущж╝╥Д		159.562119	57.828632	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
3	4	6921	-1	21	сдущж╝╥Д		199.520142	114.346069	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
4	5	6921	-1	21	сдущж╝╥Д		147.666443	113.885391	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
5	6	6921	-1	21	сдущж╝╥Д		70.150124	111.208214	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
6	7	6921	-1	21	сдущж╝╥Д		68.344757	142.117294	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
7	8	6920	-1	21	сд╨зж╝жК		193.787735	152.915253	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	30	0	
8	9	6920	-1	21	сд╨зж╝жК		196.04364	178.710007	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	30	0	
9	10	6920	-1	21	сд╨зж╝жК		143.240967	200.650269	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	30	0	
10	11	6920	-1	21	сд╨зж╝жК		116.281624	199.889114	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	30	0	
11	12	6920	-1	21	сд╨зж╝жК		135.205246	149.509857	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	30	0	
12	13	6920	-1	21	сд╨зж╝жК		111.666199	148.421417	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	30	0	
13	14	6921	-1	21	сдущж╝╥Д		105.375214	81.420708	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
14	15	6921	-1	21	сдущж╝╥Д		80.865593	38.072422	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
15	16	6921	-1	21	сдущж╝╥Д		130.305954	56.66589	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
16	17	6920	-1	21	сд╨зж╝жК		104.872757	177.881378	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	30	0	
17	18	6920	-1	21	сд╨зж╝жК		134.569839	149.114532	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	30	0	
18	19	6920	-1	21	сд╨зж╝жК		113.07428	147.445343	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	30	0	
19	20	6921	-1	21	сдущж╝╥Д		106.14537	79.746941	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
20	21	6921	-1	21	сдущж╝╥Д		99.828545	37.562695	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
21	22	6921	-1	21	сдущж╝╥Д		132.497284	59.30328	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
22	23	6921	-1	21	сдущж╝╥Д		161.173187	56.344448	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
23	24	6921	-1	21	сдущж╝╥Д		180.370804	118.095352	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
24	25	6921	-1	21	сдущж╝╥Д		114.290077	110.776352	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
25	26	6921	-1	21	сдущж╝╥Д		69.303909	113.613213	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
26	27	6921	-1	21	сдущж╝╥Д		69.012299	140.750702	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
27	28	6920	-1	21	сд╨зж╝жК		174.920471	147.616241	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	30	0	
28	29	6920	-1	21	сд╨зж╝жК		177.829529	192.252792	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	30	0	
29	30	6920	-1	21	сд╨зж╝жК		128.29303	177.610214	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	30	0	
30	31	6920	-1	21	сд╨зж╝жК		102.8144	178.214905	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	30	0	
31	32	6920	-1	21	сд╨зж╝жК		135.942703	148.570862	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	30	0	
