NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
编号	随机编号	attr编号	逻辑表编号	阵营编号	名称	称号	x轴坐标	z轴坐标	朝向	脚本编号	重生时间	分组编号	队伍编号	基础AI	AI文件	巡逻路径	商店0	商店1	商店2	商店3	名誉ID	等级	镜像组
0	17	6922	-1	21	幽纹之豹		160.817352	198.998886	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
1	9	6923	-1	21	幽面之魈		114.450722	128.244247	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	45	0	
2	10	6923	-1	21	幽面之魈		157.158249	127.225159	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	45	0	
3	12	6922	-1	21	幽纹之豹		69.169952	163.960754	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
4	13	6922	-1	21	幽纹之豹		61.523346	197.181076	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
5	14	6922	-1	21	幽纹之豹		93.497604	197.673447	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
6	15	6922	-1	21	幽纹之豹		136.958252	164.833313	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
7	17	6922	-1	21	幽纹之豹		133.9655	197.910858	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
8	3	6923	-1	21	幽面之魈		149.920776	45.08757	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	45	0	
9	4	6923	-1	21	幽面之魈		116.641777	64.108948	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	45	0	
10	5	6923	-1	21	幽面之魈		114.884712	91.322227	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	45	0	
11	6	6923	-1	21	幽面之魈		69.584152	65.669098	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	45	0	
12	9	6923	-1	21	幽面之魈		68.467697	126.534805	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	45	0	
13	10	6923	-1	21	幽面之魈		186.321701	86.021217	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	45	0	
14	17	6922	-1	21	幽纹之豹		161.082703	165.003204	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
15	9	6923	-1	21	幽面之魈		114.237984	127.598228	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	45	0	
16	10	6923	-1	21	幽面之魈		153.141785	87.798363	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	45	0	
17	17	6922	-1	21	幽纹之豹		188.809982	160.592514	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
18	9	6923	-1	21	幽面之魈		116.88028	127.021049	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	45	0	
19	10	6923	-1	21	幽面之魈		158.566238	129.306412	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	45	0	
20	17	6922	-1	21	幽纹之豹		157.910004	198.919174	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
21	7191855	3852	400052	20			123	100	32	0	2000	-1	-1	5	0	0	-1	-1	-1	-1	-1	40	0	
22	7191856	3853	400053	20			76	97	32	0	2000	-1	-1	5	0	1	-1	-1	-1	-1	-1	40	0	
23	7191857	3854	400054	20			66	212	32	0	2000	-1	-1	5	0	2	-1	-1	-1	-1	-1	45	0	
24	7191859	3856	400056	20			140	205	32	0	2000	-1	-1	5	0	3	-1	-1	-1	-1	-1	45	0	
25	7191860	6922	-1	21	幽纹之豹		160.830032	202.40004	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
26	7191861	6922	-1	21	幽纹之豹		158.600586	199.317963	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
27	7191862	6922	-1	21	幽纹之豹		158.391739	201.014435	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
28	7191863	6922	-1	21	幽纹之豹		158.69754	201.776779	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
29	7191864	6922	-1	21	幽纹之豹		159.545319	199.595627	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
30	7191865	6922	-1	21	幽纹之豹		161.306107	200.149597	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
31	7191866	6922	-1	21	幽纹之豹		161.65744	201.794861	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
32	7191867	6922	-1	21	幽纹之豹		159.717758	200.86142	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
33	7191868	6922	-1	21	幽纹之豹		160.647659	201.955353	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
34	7191869	6922	-1	21	幽纹之豹		161.143784	164.596939	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
35	7191870	6922	-1	21	幽纹之豹		160.691772	164.712479	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
36	7191871	6922	-1	21	幽纹之豹		159.200882	164.200546	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
37	7191872	6922	-1	21	幽纹之豹		161.875015	165.51799	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
38	7191873	6922	-1	21	幽纹之豹		160.611069	165.735107	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
39	7191874	6922	-1	21	幽纹之豹		160.10582	167.046112	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
40	7191875	6922	-1	21	幽纹之豹		159.470215	165.832413	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
41	7191876	6922	-1	21	幽纹之豹		161.963303	166.962372	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
42	7191877	6922	-1	21	幽纹之豹		161.060776	167.185364	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
43	7191878	6922	-1	21	幽纹之豹		189.390823	161.393677	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
44	7191879	6922	-1	21	幽纹之豹		187.840546	158.322906	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
45	7191880	6922	-1	21	幽纹之豹		188.957092	157.421585	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
46	7191881	6922	-1	21	幽纹之豹		190.085464	158.177094	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
