NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
±àºÅ	Ëæ»ú±àºÅ	attr±àºÅ	Âß¼­±í±àºÅ	ÕóÓª±àºÅ	Ãû³Æ	³ÆºÅ	xÖá×ø±ê	zÖá×ø±ê	³¯Ïò	½Å±¾±àºÅ	ÖØÉúÊ±¼ä	·Ö×é±àºÅ	¶ÓÎé±àºÅ	»ù´¡AI	AIÎÄ¼þ	Ñ²ÂßÂ·¾¶	ÉÌµê0	ÉÌµê1	ÉÌµê2	ÉÌµê3	ÃûÓþID	µÈ¼¶	¾µÏñ×é
0	1	6924	-1	21	ÓÄ°µÖ®Í«		73.09243	161.989761	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
1	2	6924	-1	21	ÓÄ°µÖ®Í«		90.677635	192.907333	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
2	3	6924	-1	21	ÓÄ°µÖ®Í«		152.924591	193.772461	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
3	4	6924	-1	21	ÓÄ°µÖ®Í«		181.18248	165.017685	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
4	5	6924	-1	21	ÓÄ°µÖ®Í«		103.582954	164.871094	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
5	6	6924	-1	21	ÓÄ°µÖ®Í«		139.127777	168.093262	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
6	7	6924	-1	21	ÓÄ°µÖ®Í«		147.284241	111.622665	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
7	8	6925	-1	21	ÓÄ·ÙÖ®³Ý		100.646942	115.231018	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	55	0	
8	9	6925	-1	21	ÓÄ·ÙÖ®³Ý		69.25547	54.814941	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	55	0	
9	10	6924	-1	21	ÓÄ°µÖ®Í«		122.303436	193.097733	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
10	11	6924	-1	21	ÓÄ°µÖ®Í«		152.668915	193.719788	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
11	12	6924	-1	21	ÓÄ°µÖ®Í«		182.225861	192.410568	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
12	13	6924	-1	21	ÓÄ°µÖ®Í«		183.150513	165.808136	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
13	14	6924	-1	21	ÓÄ°µÖ®Í«		105.934975	138.428925	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
14	15	6924	-1	21	ÓÄ°µÖ®Í«		137.430161	142.271713	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
15	16	6924	-1	21	ÓÄ°µÖ®Í«		183.876282	107.462555	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
16	17	6925	-1	21	ÓÄ·ÙÖ®³Ý		100.867332	112.175873	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	55	0	
17	18	6925	-1	21	ÓÄ·ÙÖ®³Ý		99.009613	67.800301	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	55	0	
18	19	6924	-1	21	ÓÄ°µÖ®Í«		121.5467	193.038208	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
19	20	6924	-1	21	ÓÄ°µÖ®Í«		152.053925	192.427216	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
20	21	6924	-1	21	ÓÄ°µÖ®Í«		103.633781	162.717865	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
21	22	6924	-1	21	ÓÄ°µÖ®Í«		138.33577	141.817566	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
22	23	6924	-1	21	ÓÄ°µÖ®Í«		165.184143	130.444122	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
23	24	6925	-1	21	ÓÄ·ÙÖ®³Ý		101.201668	113.453384	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	55	0	
24	25	6925	-1	21	ÓÄ·ÙÖ®³Ý		68.93824	85.789284	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	55	0	
25	26	6924	-1	21	ÓÄ°µÖ®Í«		74.713226	125.566933	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
26	27	6924	-1	21	ÓÄ°µÖ®Í«		71.7789	195.875595	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
27	28	6924	-1	21	ÓÄ°µÖ®Í«		121.334297	192.115845	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
28	29	6924	-1	21	ÓÄ°µÖ®Í«		151.590912	193.022202	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
29	30	6924	-1	21	ÓÄ°µÖ®Í«		182.489914	193.534988	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
30	31	6924	-1	21	ÓÄ°µÖ®Í«		181.318726	166.813293	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
31	32	6924	-1	21	ÓÄ°µÖ®Í«		105.591995	162.641678	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
32	33	6924	-1	21	ÓÄ°µÖ®Í«		135.950623	142.115005	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
33	34	6924	-1	21	ÓÄ°µÖ®Í«		185.482742	109.915802	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
34	35	6925	-1	21	ÓÄ·ÙÖ®³Ý		97.1549	112.445587	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	55	0	
35	36	6925	-1	21	ÓÄ·ÙÖ®³Ý		69.668083	86.715965	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	55	0	
36	37	6924	-1	21	ÓÄ°µÖ®Í«		72.069893	195.597076	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
37	38	6924	-1	21	ÓÄ°µÖ®Í«		151.898056	193.986526	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
38	39	6924	-1	21	ÓÄ°µÖ®Í«		182.169907	166.379883	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
39	40	6924	-1	21	ÓÄ°µÖ®Í«		104.843033	162.924088	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
40	41	6924	-1	21	ÓÄ°µÖ®Í«		137.898666	142.2397	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
41	42	6925	-1	21	ÓÄ·ÙÖ®³Ý		98.676003	113.630089	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	55	0	
42	43	6925	-1	21	ÓÄ·ÙÖ®³Ý		69.57515	88.483978	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	55	0	
43	44	6925	-1	21	ÓÄ·ÙÖ®³Ý		142.002457	79.462479	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	55	0	
44	45	6925	-1	21	ÓÄ·ÙÖ®³Ý		140.342285	49.523613	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	55	0	
45	46	6924	-1	21	ÓÄ°µÖ®Í«		74.144127	127.489868	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
46	47	6924	-1	21	ÓÄ°µÖ®Í«		71.170868	163.477432	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
47	48	6924	-1	21	ÓÄ°µÖ®Í«		72.159187	194.913864	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
48	49	6924	-1	21	ÓÄ°µÖ®Í«		153.152344	195.532166	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
49	50	6924	-1	21	ÓÄ°µÖ®Í«		183.594925	194.430374	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
50	51	6924	-1	21	ÓÄ°µÖ®Í«		183.055283	165.077606	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
51	52	6924	-1	21	ÓÄ°µÖ®Í«		105.00061	163.80304	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
52	53	6924	-1	21	ÓÄ°µÖ®Í«		137.334961	142.489151	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
53	54	6924	-1	21	ÓÄ°µÖ®Í«		183.019775	106.63118	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
54	55	6925	-1	21	ÓÄ·ÙÖ®³Ý		99.074905	115.223686	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	55	0	
55	56	6925	-1	21	ÓÄ·ÙÖ®³Ý		65.813263	85.409592	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	55	0	
56	57	3858	400058	20			102	143	32	0	2000	-1	-1	5	0	0	-1	-1	-1	-1	-1	50	0	
57	58	3859	400059	20			188	141	32	0	2000	-1	-1	5	0	1	-1	-1	-1	-1	-1	50	0	
58	59	3862	400062	20			62	46	32	0	2000	-1	-1	5	0	2	-1	-1	-1	-1	-1	55	0	
59	60	3863	400063	20			130	38	32	0	2000	-1	-1	5	0	3	-1	-1	-1	-1	-1	55	0	
60	61	6925	-1	21	ÓÄ·ÙÖ®³Ý		97.137398	70.421097	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	55	0	
