NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
编号	随机编号	attr编号	逻辑表编号	阵营编号	名称	称号	x轴坐标	z轴坐标	朝向	脚本编号	重生时间	分组编号	队伍编号	基础AI	AI文件	巡逻路径	商店0	商店1	商店2	商店3	名誉ID	等级	镜像组
0	0	9901	-1	21	旋风力尊		32	27	0	-1	14400000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	110	0	
1	1	9901	-1	21	旋风力尊		96	47	0	-1	14400000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	110	0	
2	2	9901	-1	21	旋风力尊		100	80	0	-1	14400000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	110	0	
3	3	9891	-1	21	冥王部将		52	108	0	-1	14400000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	110	0	
4	4	56603	-1	21			67.710014	17.57728	27	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	110	0	
5	5	56603	-1	21			70.05069	16.808813	27	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	110	0	
6	6	56603	-1	21			72.102158	17.740805	27	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	110	0	
7	7	56603	-1	21			70.027969	18.575712	27	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	110	0	
8	8	56603	-1	21			68.165642	19.265331	27	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	110	0	
9	9	56603	-1	21			72.138794	19.215624	27	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	110	0	
10	10	56603	-1	21			70.40139	20.320801	27	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	110	0	
11	11	56603	-1	21			69.804749	15.019531	27	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	110	0	
12	12	56603	-1	21			67.31562	15.939433	27	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	110	0	
13	13	56603	-1	21			72.407288	15.893852	27	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	110	0	
14	14	56603	-1	21			67.959839	20.587046	27	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	110	0	
15	15	56603	-1	21			72.562271	21.024092	27	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	110	0	
16	16	56603	-1	21			74.29245	17.963827	27	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	110	0	
17	17	56603	-1	21			65.381325	18.129028	27	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	110	0	
18	18	56603	-1	21			70.306572	22.385223	27	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	110	0	
19	19	56603	-1	21			28.864973	42.059685	27	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	110	0	
20	20	56603	-1	21			32.847584	42.058506	27	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	110	0	
21	21	56603	-1	21			30.699646	40.534946	27	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	110	0	
22	22	56603	-1	21			28.542934	39.280361	27	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	110	0	
23	23	56603	-1	21			32.572865	39.361996	27	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	110	0	
24	24	56603	-1	21			30.822201	43.789726	27	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	110	0	
25	25	56603	-1	21			30.329121	37.802246	27	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	110	0	
26	26	56603	-1	21			26.556719	40.662437	27	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	110	0	
27	27	56603	-1	21			34.788055	40.826542	27	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	110	0	
28	28	56603	-1	21			33.890987	43.715076	27	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	110	0	
29	29	56603	-1	21			27.453144	43.169888	27	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	110	0	
30	30	56603	-1	21			33.110653	37.653767	27	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	110	0	
31	31	56603	-1	21			27.130285	38.076923	27	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	110	0	
32	32	56603	-1	21			29.593075	45.273914	27	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	110	0	
33	33	56603	-1	21			32.424595	45.380653	27	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	110	0	
34	34	56603	-1	21			53.713364	46.811348	27	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	110	0	
