NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
编号	随机编号	attr编号	逻辑表编号	阵营编号	名称	称号	x轴坐标	z轴坐标	朝向	脚本编号	重生时间	分组编号	队伍编号	基础AI	AI文件	巡逻路径	商店0	商店1	商店2	商店3	名誉ID	等级	镜像组
0	15053645	9807	-1	21	阿卜杜勒	恒河之王爪牙	221.399689	38.202591	0	300619	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	75	0	
1	15053646	9829	400602	21	领地图腾	西亚地区	83.436844	185.79187	25	-1	180000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	75	0	
2	6025826	2180	400368	20	巴格达士兵		95.257767	223.215668	9	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	75	0	
3	7252919	1629	400350	20	阿巴哈		91.511917	212.689514	33	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	75	0	
4	7253032	2180	400367	20	巴格达士兵		122.71228	210.921021	0	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	75	0	
5	7253035	2180	400366	20	巴格达士兵		107.2006	218.519638	12	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	75	0	
6	7253036	2180	400368	20	巴格达士兵		98.342468	223.374573	9	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	75	0	
7	7253042	1363	400354	20	教徒伊斯保尔		105.320404	195.626694	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	75	0	
8	7253043	1909	400356	20	兰娃尔		94.84758	219.644928	32	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	75	0	
9	7253044	1360	400352	20	兰斯	巴格达税官	105.263	217.581757	6	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	75	0	
10	7253045	1361	400356	20	富伊特		96.735703	218.942993	26	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	75	0	
11	7253053	2180	400366	20	巴格达士兵		103.354095	218.677673	4	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	75	0	
12	7253054	2180	400367	20	巴格达士兵		122.737381	202.162109	0	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	75	0	
13	7253055	2363	-1	20	 		109.05809	212.840881	22	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	75	0	
14	7253057	81	400355	20	特罗斯	大马士革商人	106.654404	215.228973	24	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	75	0	
15	7253058	1630	400351	20	宣事官萨哈夫		96.846748	221.84082	8	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	75	0	
16	15053646	9558	-1	21	巴格达沙魔		109.125656	151.45636	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	75	0	
17	15053647	9558	-1	21	巴格达沙魔		108.52594	151.036835	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	75	0	
18	15053648	9558	-1	21	巴格达沙魔		108.668068	152.218506	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	75	0	
19	15053649	9558	-1	21	巴格达沙魔		108.693726	152.572754	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	75	0	
20	15053650	9558	-1	21	巴格达沙魔		108.658203	151.412689	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	75	0	
