NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
±àºÅ	Ëæ»ú±àºÅ	attr±àºÅ	Âß¼­±í±àºÅ	ÕóÓª±àºÅ	Ãû³Æ	³ÆºÅ	xÖá×ø±ê	zÖá×ø±ê	³¯Ïò	½Å±¾±àºÅ	ÖØÉúÊ±¼ä	·Ö×é±àºÅ	¶ÓÎé±àºÅ	»ù´¡AI	AIÎÄ¼þ	Ñ²ÂßÂ·¾¶	ÉÌµê0	ÉÌµê1	ÉÌµê2	ÉÌµê3	ÃûÓþID	µÈ¼¶	¾µÏñ×é
0	1505229	9811	-1	21	ÑÇ¿Æ·ò	ÏÊÑªÖ®Íõ×¦ÑÀ	42	20	27	300619	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
1	1	45	400440	20	Ð»¶û¸Ç	¶«Õý½ÌÉñ¸¦	77.125999	223.39006	9	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
2	2	65	400441	20	ÂüÄÝ·òÈË	»ªÉ³ÊÐÃñ	81.134369	196.283157	26	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
3	3	249	400442	20	²®ÀïË¹¹«¾ô		68.004486	217.776917	9	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
4	4	66	400443	20	°²ÄÈ	ÓÈ½ðË¹Ö®ÆÞ	81.088966	198.235611	8	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
5	5	67	400444	20	·Ñæ«	¹«¾ôÖ®ÆÞ	58.205132	222.624191	8	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
6	6	68	400445	20	±ËµÃ	¹«¾ôÖ®×Ó	56.735889	220.354095	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
7	7	77	400446	20	Î¬¿Ë¶à	²¨À¼ÉÌÈË	53.417713	208.897781	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
8	8	78	400447	20	Î÷¿ÆË¹»ù	»ªÉ³ÊÐÃñ	77.948555	220.656937	24	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
9	9	76	400448	20	°¢Àú¿ËÈü	¹«¾ôÊÌ´Ó	65.37674	216.760574	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
10	10	1374	400449	20	Äá»ùËþ	Ìú¼×±¤½«¾ü	208.506119	27.979345	30	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
11	11	79	400450	20	ÓÈ½ðË¹	»ªÉ³ÊÐÃñ	57.781261	193.021454	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
12	12	69	400451	20	ÑÅ¿É·ò	ÓÈ½ðË¹Ö®×Ó	59.528	195.269745	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
13	13	79	400452	20	Ô¼Éª·ò	»ªÉ³ÊÐÃñ	75.880898	220.568497	28	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
14	14	1374	400453	20	¸ß¶û²ì¿Ë	¾ÞÅÚ±¤ÊØ½«	137.051376	117.83622	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
15	15	1382	400454	20	¾ÞÅÚ±¤Ê¿±ø		137.676849	112.977837	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
16	16	1382	400455	20	¾ÞÅÚ±¤Ê¿±ø		137.4487	122.777672	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
17	17	1382	400456	20	¾ÞÅÚ±¤Ê¿±ø		118.611641	124.215248	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
18	18	1382	400457	20	¾ÞÅÚ±¤Ê¿±ø		118.648041	117.803406	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
19	19	1382	400454	20	¾ÞÅÚ±¤Ê¿±ø		131.552185	125.07653	9	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
20	20	1382	400455	20	¾ÞÅÚ±¤Ê¿±ø		134.99086	119.779106	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
21	21	1382	400456	20	¾ÞÅÚ±¤Ê¿±ø		135.099594	116.110588	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
22	22	1382	400457	20	¾ÞÅÚ±¤Ê¿±ø		123.045654	147.357147	27	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
23	23	1382	400456	20	¾ÞÅÚ±¤Ê¿±ø		131.923187	147.639145	27	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
24	35	1382	400438	20	¾ÞÅÚ±¤Ê¿±ø		123.463257	125.234848	9	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
25	24	1373	400458	20	Ìú¼×±¤Ê¿±ø		207.00676	40.130234	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
26	25	1373	400459	20	Ìú¼×±¤Ê¿±ø		205.5961	34.768036	4	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
27	26	1373	400458	20	Ìú¼×±¤Ê¿±ø		216.108902	29.968847	20	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
28	27	1373	400459	20	Ìú¼×±¤Ê¿±ø		218.935684	34.637264	24	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
29	28	167	-1	20	 	 	199.383133	28.478954	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
30	29	168	-1	20	 	 	198.775024	25.844336	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
31	30	169	-1	20	 	 	213.971497	19.404854	24	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
32	31	170	-1	20	 	 	212.250061	18.374268	24	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
33	32	172	-1	20	 	 	216.181595	20.512695	24	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
34	33	170	-1	20	 	 	51.44278	208.191757	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
35	36	1373	400439	20	¹«¾ôÊÌÎÀ		230.489517	157.274094	9	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
36	37	1373	400437	20	¹«¾ôÊÌÎÀ		102.934395	205.632614	35	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
37	38	1373	400438	20	¹«¾ôÊÌÎÀ		102.627838	215.240463	35	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
38	39	1373	400439	20	¹«¾ôÊÌÎÀ		85.537201	215.417847	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
39	40	1373	400437	20	¹«¾ôÊÌÎÀ		85.463997	204.982895	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
40	41	1373	400438	20	¹«¾ôÊÌÎÀ		71.7724	188.036591	19	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
41	42	1373	400439	20	¹«¾ôÊÌÎÀ		64.733253	187.799377	35	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
42	43	1373	400437	20	¹«¾ôÊÌÎÀ		73.718414	172.986511	9	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
43	44	1373	400438	20	¹«¾ôÊÌÎÀ		63.174862	172.718536	9	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
44	45	1373	400439	20	¹«¾ôÊÌÎÀ		30.743633	205.428772	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
45	46	1373	400437	20	¹«¾ôÊÌÎÀ		46.982525	205.496338	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
46	49	1373	400437	20	¹«¾ôÊÌÎÀ		235.224304	142.778946	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
47	50	1373	400438	20	¹«¾ôÊÌÎÀ		234.287857	155.402328	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
48	51	1373	400439	20	¹«¾ôÊÌÎÀ		30.653984	216.369507	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
49	52	1373	400437	20	¹«¾ôÊÌÎÀ		65.407516	219.426498	9	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
50	53	1373	400438	20	¹«¾ôÊÌÎÀ		46.969658	216.708313	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
51	54	1373	400439	20	¹«¾ôÊÌÎÀ		70.359612	219.539124	9	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
52	55	2220	-1	21	¶«Å·Ò°ÀÇ		236.107452	22.796221	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
53	56	2220	-1	21	¶«Å·Ò°ÀÇ		235.309052	23.285927	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
54	57	2220	-1	21	¶«Å·Ò°ÀÇ		237.07164	23.532099	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
55	58	2220	-1	21	¶«Å·Ò°ÀÇ		235.851974	24.733593	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
56	59	2220	-1	21	¶«Å·Ò°ÀÇ		235.268112	23.806944	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
57	60	2220	-1	21	¶«Å·Ò°ÀÇ		236.634995	23.627989	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
58	61	2220	-1	21	¶«Å·Ò°ÀÇ		236.328796	24.282207	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
59	62	2220	-1	21	¶«Å·Ò°ÀÇ		235.642975	23.809238	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
60	63	2220	-1	21	¶«Å·Ò°ÀÇ		236.181656	23.427929	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
61	64	2220	-1	21	¶«Å·Ò°ÀÇ		236.181656	23.427929	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
62	65	2220	-1	21	¶«Å·Ò°ÀÇ		234.219711	43.27911	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
63	66	2220	-1	21	¶«Å·Ò°ÀÇ		234.826736	42.952286	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
64	67	2220	-1	21	¶«Å·Ò°ÀÇ		234.701508	44.153164	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
65	68	2220	-1	21	¶«Å·Ò°ÀÇ		180.523315	115.408394	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
66	69	2220	-1	21	¶«Å·Ò°ÀÇ		235.876404	45.185215	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
67	70	2220	-1	21	¶«Å·Ò°ÀÇ		236.4133	44.177616	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
68	71	2220	-1	21	¶«Å·Ò°ÀÇ		235.99791	43.187588	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
69	72	2220	-1	21	¶«Å·Ò°ÀÇ		235.760498	44.238205	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
70	73	2220	-1	21	¶«Å·Ò°ÀÇ		235.338455	44.148632	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
71	74	2220	-1	21	¶«Å·Ò°ÀÇ		235.338455	44.148632	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
72	75	2220	-1	21	¶«Å·Ò°ÀÇ		235.338455	44.148632	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
73	76	2220	-1	21	¶«Å·Ò°ÀÇ		234.782272	45.028088	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
74	77	2220	-1	21	¶«Å·Ò°ÀÇ		181.07048	116.362389	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
75	78	2220	-1	21	¶«Å·Ò°ÀÇ		180.029068	116.169838	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
76	79	2220	-1	21	¶«Å·Ò°ÀÇ		162.35701	113.320908	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
77	80	2220	-1	21	¶«Å·Ò°ÀÇ		181.488846	114.341194	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
78	81	2220	-1	21	¶«Å·Ò°ÀÇ		181.727524	116.497078	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
79	82	2220	-1	21	¶«Å·Ò°ÀÇ		188.687759	216.897644	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
80	83	2220	-1	21	¶«Å·Ò°ÀÇ		181.75827	115.230217	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
81	84	2220	-1	21	¶«Å·Ò°ÀÇ		220.051987	223.916	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
82	85	2220	-1	21	¶«Å·Ò°ÀÇ		181.909897	115.502808	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
83	86	2220	-1	21	¶«Å·Ò°ÀÇ		218.404617	178.690765	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
84	87	2220	-1	21	¶«Å·Ò°ÀÇ		180.523315	115.408394	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
85	88	2220	-1	21	¶«Å·Ò°ÀÇ		180.523315	115.408394	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
86	89	2220	-1	21	¶«Å·Ò°ÀÇ		181.529114	115.320534	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
87	90	2220	-1	21	¶«Å·Ò°ÀÇ		181.529114	115.320534	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
88	91	2220	-1	21	¶«Å·Ò°ÀÇ		181.529114	115.320534	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
89	92	2220	-1	21	¶«Å·Ò°ÀÇ		218.020767	179.427902	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
90	93	2220	-1	21	¶«Å·Ò°ÀÇ		217.787338	179.23587	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
91	94	2220	-1	21	¶«Å·Ò°ÀÇ		219.193817	177.748322	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
92	95	2220	-1	21	¶«Å·Ò°ÀÇ		219.832474	178.014343	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
93	96	2220	-1	21	¶«Å·Ò°ÀÇ		219.43222	179.92775	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
94	97	2220	-1	21	¶«Å·Ò°ÀÇ		196.513077	166.231766	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
95	98	2220	-1	21	¶«Å·Ò°ÀÇ		218.749039	179.516815	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
96	99	2220	-1	21	¶«Å·Ò°ÀÇ		219.259613	179.006592	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
97	100	2220	-1	21	¶«Å·Ò°ÀÇ		218.696381	178.698456	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
98	101	2220	-1	21	¶«Å·Ò°ÀÇ		221.143021	224.030853	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
99	102	2220	-1	21	¶«Å·Ò°ÀÇ		221.821381	223.393814	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
100	103	2220	-1	21	¶«Å·Ò°ÀÇ		220.859695	222.845459	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
101	104	2220	-1	21	¶«Å·Ò°ÀÇ		220.659378	223.279282	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
102	105	2220	-1	21	¶«Å·Ò°ÀÇ		219.337006	222.990295	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
103	106	2220	-1	21	¶«Å·Ò°ÀÇ		221.543823	222.534653	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
104	107	2220	-1	21	¶«Å·Ò°ÀÇ		221.270081	221.58754	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
105	108	2220	-1	21	¶«Å·Ò°ÀÇ		220.497406	221.13269	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
106	109	2220	-1	21	¶«Å·Ò°ÀÇ		219.34407	221.930649	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
107	110	2220	-1	21	¶«Å·Ò°ÀÇ		221.888123	221.48053	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
108	111	2220	-1	21	¶«Å·Ò°ÀÇ		220.282623	222.219955	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
109	112	2220	-1	21	¶«Å·Ò°ÀÇ		189.290207	217.473648	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
110	113	2220	-1	21	¶«Å·Ò°ÀÇ		188.583633	216.156677	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
111	114	2220	-1	21	¶«Å·Ò°ÀÇ		189.040726	215.597473	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
112	115	2220	-1	21	¶«Å·Ò°ÀÇ		189.844208	217.280594	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
113	116	2220	-1	21	¶«Å·Ò°ÀÇ		190.606445	216.896362	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
114	117	2220	-1	21	¶«Å·Ò°ÀÇ		190.891342	216.212494	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
115	118	2220	-1	21	¶«Å·Ò°ÀÇ		190.564377	215.132385	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
116	119	2220	-1	21	¶«Å·Ò°ÀÇ		189.608429	214.777328	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
117	120	2220	-1	21	¶«Å·Ò°ÀÇ		126.967613	173.368423	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
118	121	2220	-1	21	¶«Å·Ò°ÀÇ		189.667877	215.993774	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
119	122	2220	-1	21	¶«Å·Ò°ÀÇ		189.667877	215.993774	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
120	123	2220	-1	21	¶«Å·Ò°ÀÇ		189.667877	215.993774	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
121	124	2220	-1	21	¶«Å·Ò°ÀÇ		189.667877	215.993774	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
122	125	2220	-1	21	¶«Å·Ò°ÀÇ		180.980011	187.219086	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
123	126	2220	-1	21	¶«Å·Ò°ÀÇ		182.278397	185.777191	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
124	127	2220	-1	21	¶«Å·Ò°ÀÇ		148.100983	187.093964	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
125	128	2220	-1	21	¶«Å·Ò°ÀÇ		182.529465	188.261673	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
126	129	2220	-1	21	¶«Å·Ò°ÀÇ		183.410141	187.622604	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
127	130	2220	-1	21	¶«Å·Ò°ÀÇ		182.992126	186.469711	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
128	131	2220	-1	21	¶«Å·Ò°ÀÇ		183.065262	188.065445	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
129	132	2220	-1	21	¶«Å·Ò°ÀÇ		181.87529	187.715714	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
130	133	2220	-1	21	¶«Å·Ò°ÀÇ		181.789047	187.075058	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
131	134	2220	-1	21	¶«Å·Ò°ÀÇ		182.576355	187.168655	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
