NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
编号	随机编号	attr编号	逻辑表编号	阵营编号	名称	称号	x轴坐标	z轴坐标	朝向	脚本编号	重生时间	分组编号	队伍编号	基础AI	AI文件	巡逻路径	商店0	商店1	商店2	商店3	名誉ID	等级	镜像组
0	15053385	9801	-1	21	完颜单镒	平原之王爪牙	229.210052	218.029312	16	300619	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
1	15053688	9827	400600	21	领地图腾	中原地区	65	81	9	-1	180000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	50	0	
2	15053650	5949	400174	20	唐老倌		74.851463	103.42009	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	50	0	
3	15053651	5950	400175	20	朱屠户		79.356392	75.727005	28	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	50	0	
4	15053652	5951	400176	20	钱一毫	摊主	52	95	4	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	50	0	
5	15053653	5952	400177	20	蔡君望	蔡州太守	88.882889	81.205177	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	50	0	
6	15053654	5953	400178	20	元真	全真道士	59.461143	104.404953	36	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	50	0	
7	15053655	5954	400179	20	元通	全真道士	57.892334	106.000267	36	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	50	0	
8	15053656	5955	400180	20	元玄	全真道士	57.766811	102.949524	36	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	50	0	
9	15053657	5956	400181	20	玄闻	少林和尚	71.188362	66.130157	19	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	50	0	
10	15053658	5957	400182	20	虚明	少林和尚	69.586807	67.164474	19	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	50	0	
11	15053659	5958	400183	20	王夫人		72.021004	100.764	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	50	0	
