NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
编号	随机编号	attr编号	逻辑表编号	阵营编号	名称	称号	x轴坐标	z轴坐标	朝向	脚本编号	重生时间	分组编号	队伍编号	基础AI	AI文件	巡逻路径	商店0	商店1	商店2	商店3	名誉ID	等级	镜像组
0	1505229	9815	-1	21	赛义德	条顿之王爪牙	192	224	5	300619	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	100	0	
1	1	2604	101219	-1	大马士革	领地传送人	115	82	9	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
2	2	1320	101550	-1	通往迷宫八层	王国迷宫传送	104	139	27	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
3	3	5980	400566	20	哈米德	大马士革市民	68.641739	63.843887	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
4	4	1362	400578	20	萨卜尔	大马士革小贩	129.734787	51.281273	26	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
5	5	1363	400563	20	杜瓦德	大马士革市民	102.561821	90.242989	36	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
6	7	1354	400565	20	阿拔斯	大马士革市民	85.786346	64.549881	36	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
7	9	1362	400567	20	达乌德	大马士革市民	93.721901	77.300552	6	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
8	11	1357	400564	20	拉希木	大马士革市民	129.968918	66.856041	8	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
9	12	1355	400565	20	法立德	大马士革市民	128.248367	65.951439	4	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
10	13	1629	400566	20	哈迪	大马士革市民	129.424606	53.279194	8	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
11	14	5980	400560	20	大马士革士兵		132.932068	74.139587	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
12	15	5980	400566	20	胡德	大马士革市民	68.905067	67.967072	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
13	16	12989	400571	-1	维贾伊	波斯商人	125.331741	91.33683	15	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
14	17	1358	400572	20	维贾德	波斯武器商	63.192696	66.081879	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
15	18	206	400579	20	波斯水手		60.957893	64.038185	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
16	19	206	400580	20	波斯水手		61.190849	68.203613	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
17	20	1913	400563	20	阿法芙	大马士革市民	85.014343	63.156143	34	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
18	21	1914	400564	20	赛娜妮	大马士革市民	92.23645	76.278435	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
19	22	1914	400565	20	巴丝玛	大马士革市民	127.753044	63.145252	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
20	23	1909	400565	20	伊嫣妮	大马士革市民	127.780907	65.18454	4	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
21	24	1360	400555	20	纳昔尔	大马士革城主	230.402161	231.708313	12	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
22	25	1939	400569	20	穆义兹	大马士革大阿訇	230.811188	22.941738	22	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
23	26	1354	400575	20	阿提夫	大马士革阿訇	130.585556	63.698109	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
24	27	925	400556	20	尤素福	大马士革将军	226.800339	27.002745	4	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
25	28	1361	400576	20	易卜拉欣	大马士革马倌	50.728958	231.773285	9	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
26	29	1361	400577	20	伊哈桑	大马士革马夫	45.978672	219.77597	31	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
27	30	1361	400577	20	阿迪勒	大马士革马夫	56.056686	217.960327	19	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
28	31	1908	400570	20	阿卜杜勒	埃及苏丹使者	228.457275	228.342316	30	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
29	32	1606	400568	20	萨哈夫	大马士革大臣	231.690689	229.203537	16	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
30	33	1361	400574	20	拉哈曼	稽查队长	66.331223	66.016563	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
31	256	1363	400567	20	瓦希德	大马士革市民	129.512894	61.312271	2372	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
