NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
编号	随机编号	attr编号	逻辑表编号	阵营编号	名称	称号	x轴坐标	z轴坐标	朝向	脚本编号	重生时间	分组编号	队伍编号	基础AI	AI文件	巡逻路径	商店0	商店1	商店2	商店3	名誉ID	等级	镜像组
0	15052371	9818	-1	21	代宗助国	幕府之王爪牙	218	209	18	300619	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	110	0	
1	1	18806	-1	21	长鳌巨蟹		70.917702	150.435791	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	110	0	
2	2	18806	-1	21	长鳌巨蟹		71.017702	150.335791	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	110	0	
3	3	18806	-1	21	长鳌巨蟹		69.917702	150.435791	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	110	0	
4	4	18806	-1	21	长鳌巨蟹		69.917702	151.435791	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	110	0	
5	5	18806	-1	21	长鳌巨蟹		69.917702	149.435791	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	110	0	
6	6	18806	-1	21	长鳌巨蟹		70.917702	151.435791	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	110	0	
7	7	18806	-1	21	长鳌巨蟹		70.917702	149.435791	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	110	0	
8	8	18806	-1	21	长鳌巨蟹		71.917702	150.435791	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	110	0	
9	9	18806	-1	21	长鳌巨蟹		71.917702	151.435791	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	110	0	
10	10	18806	-1	21	长鳌巨蟹		71.917702	149.435791	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	110	0	
11	11	18806	-1	21	长鳌巨蟹		51.9552	132.469849	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	110	0	
12	12	18806	-1	21	长鳌巨蟹		52.0552	132.369849	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	110	0	
13	13	18806	-1	21	长鳌巨蟹		50.9552	132.469849	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	110	0	
14	14	18806	-1	21	长鳌巨蟹		50.9552	133.469849	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	110	0	
15	15	18806	-1	21	长鳌巨蟹		50.9552	131.469849	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	110	0	
16	16	18806	-1	21	长鳌巨蟹		51.9552	133.469849	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	110	0	
17	17	18806	-1	21	长鳌巨蟹		51.9552	131.469849	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	110	0	
18	18	18806	-1	21	长鳌巨蟹		52.9552	132.469849	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	110	0	
19	19	18806	-1	21	长鳌巨蟹		52.9552	133.469849	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	110	0	
20	20	18806	-1	21	长鳌巨蟹		52.9552	131.469849	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	110	0	
21	41	18806	-1	21	长鳌巨蟹		81.377052	138.593933	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	110	0	
22	42	18806	-1	21	长鳌巨蟹		81.477052	138.493933	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	110	0	
23	43	18806	-1	21	长鳌巨蟹		80.377052	138.593933	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	110	0	
24	44	18806	-1	21	长鳌巨蟹		80.377052	139.593933	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	110	0	
25	45	18806	-1	21	长鳌巨蟹		80.377052	137.593933	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	110	0	
26	46	18806	-1	21	长鳌巨蟹		81.377052	139.593933	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	110	0	
27	47	18806	-1	21	长鳌巨蟹		81.377052	137.593933	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	110	0	
28	48	18806	-1	21	长鳌巨蟹		82.377052	138.593933	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	110	0	
29	49	18806	-1	21	长鳌巨蟹		82.377052	139.593933	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	110	0	
30	50	18806	-1	21	长鳌巨蟹		82.377052	137.593933	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	110	0	
31	51	18806	-1	21	长鳌巨蟹		65.651291	108.895287	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	110	0	
32	52	18806	-1	21	长鳌巨蟹		65.751291	108.795287	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	110	0	
33	53	18806	-1	21	长鳌巨蟹		64.651291	108.895287	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	110	0	
34	54	18806	-1	21	长鳌巨蟹		64.651291	109.895287	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	110	0	
35	55	18806	-1	21	长鳌巨蟹		64.651291	107.895287	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	110	0	
36	56	18806	-1	21	长鳌巨蟹		65.651291	109.895287	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	110	0	
37	57	18806	-1	21	长鳌巨蟹		65.651291	107.895287	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	110	0	
38	58	18806	-1	21	长鳌巨蟹		66.651291	108.895287	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	110	0	
39	59	18806	-1	21	长鳌巨蟹		66.651291	109.895287	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	110	0	
40	60	18806	-1	21	长鳌巨蟹		66.651291	107.895287	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	110	0	
41	61	18806	-1	21	长鳌巨蟹		87.13343	47.04789	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	110	0	
42	62	18806	-1	21	长鳌巨蟹		87.23343	46.94789	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	110	0	
43	63	18806	-1	21	长鳌巨蟹		86.13343	47.04789	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	110	0	
44	64	18806	-1	21	长鳌巨蟹		86.13343	48.04789	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	110	0	
45	65	18806	-1	21	长鳌巨蟹		86.13343	46.04789	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	110	0	
46	66	18806	-1	21	长鳌巨蟹		87.13343	48.04789	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	110	0	
47	67	18806	-1	21	长鳌巨蟹		87.13343	46.04789	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	110	0	
48	68	18806	-1	21	长鳌巨蟹		88.13343	47.04789	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	110	0	
49	69	18806	-1	21	长鳌巨蟹		88.13343	48.04789	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	110	0	
50	70	18806	-1	21	长鳌巨蟹		88.13343	46.04789	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	110	0	
51	71	18806	-1	21	长鳌巨蟹		66.655563	46.949215	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	110	0	
52	72	18806	-1	21	长鳌巨蟹		66.323471	46.657303	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	110	0	
53	73	18806	-1	21	长鳌巨蟹		68.238243	46.996658	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	110	0	
54	74	18806	-1	21	长鳌巨蟹		67.774414	45.960186	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	110	0	
55	75	18806	-1	21	长鳌巨蟹		66.294243	45.690968	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	110	0	
56	76	18806	-1	21	长鳌巨蟹		67.616859	45.600117	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	110	0	
57	77	18806	-1	21	长鳌巨蟹		67.598	47.445606	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	110	0	
58	78	18806	-1	21	长鳌巨蟹		67.159874	47.121098	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	110	0	
59	79	18806	-1	21	长鳌巨蟹		67.391975	46.992867	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	110	0	
60	80	18806	-1	21	长鳌巨蟹		67.331223	45.585556	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	110	0	
61	81	18804	-1	21	对马银狼		106.103828	205.643295	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	110	0	
62	82	18804	-1	21	对马银狼		106.203828	205.543295	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	110	0	
63	83	18804	-1	21	对马银狼		105.103828	205.643295	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	110	0	
64	84	18804	-1	21	对马银狼		105.103828	206.643295	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	110	0	
65	85	18804	-1	21	对马银狼		105.103828	204.643295	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	110	0	
66	86	18804	-1	21	对马银狼		106.103828	206.643295	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	110	0	
67	87	18804	-1	21	对马银狼		106.103828	204.643295	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	110	0	
68	88	18804	-1	21	对马银狼		107.103828	205.643295	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	110	0	
69	89	18804	-1	21	对马银狼		107.103828	206.643295	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	110	0	
70	90	18804	-1	21	对马银狼		107.103828	204.643295	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	110	0	
71	91	18804	-1	21	对马银狼		77.537758	203.333694	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	110	0	
72	92	18804	-1	21	对马银狼		77.794594	206.893341	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	110	0	
73	93	18804	-1	21	对马银狼		77.637703	206.069122	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	110	0	
74	94	18804	-1	21	对马银狼		76.93737	204.251846	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	110	0	
75	95	18804	-1	21	对马银狼		77.109901	206.063217	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	110	0	
76	96	18804	-1	21	对马银狼		77.096123	204.825073	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	110	0	
