NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
±‡∫≈	ÀÊª˙±‡∫≈	attr±‡∫≈	¬ﬂº≠±Ì±‡∫≈	’Û”™±‡∫≈	√˚≥∆	≥∆∫≈	x÷·◊¯±Í	z÷·◊¯±Í	≥ØœÚ	Ω≈±æ±‡∫≈	÷ÿ…˙ ±º‰	∑÷◊È±‡∫≈	∂”ŒÈ±‡∫≈	ª˘¥°AI	AIŒƒº˛	—≤¬ﬂ¬∑æ∂	…ÃµÍ0	…ÃµÍ1	…ÃµÍ2	…ÃµÍ3	√˚”˛ID	µ»º∂	æµœÒ◊È
0	15052370	2298	101214	-1	∑ÔœË∏Æ	¡Ïµÿ¥´ÀÕ»À	146	60	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
1	15056374	9800	-1	21	ÕÍ—’∞◊»ˆ	∆Ω‘≠÷ÆÕı◊¶—¿	44.290527	219.022873	12	300619	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	45	0	
2	15383701	4008	400143	20	≤∆÷˜≥µ∑Ú		107.112679	78.579742	16	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	45	0	
3	15384702	4009	400144	20	Õı√¿∑Ô		172.5177	60.789589	28	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	45	0	
4	15393711	4017	400149	20	ÒºŒ˜ ©	 È…˙÷Æ∆ﬁ	169.01918	69.241165	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	45	0	
5	15402720	4019	400150	20	’‘ÕÚæÌ	¬‰∆« È…˙	169.101334	67.639664	22	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	45	0	
6	15407725	4024	400152	20	’‘±ÿæŸ		163.207016	69.606987	4	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	45	0	
7	15409727	4026	400153	20	√¿∑Ô÷Æƒ∏		172.866714	62.301842	12	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	45	0	
8	15410728	4028	400154	20	’≈≤∆÷˜		94.135124	59.61916	34	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	45	0	
9	15423741	4022	400156	20	’‘¡¨‘™		165.315308	65.186211	20	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	45	0	
10	15424975	658	400164	20	∞‘∏…≤≈	∑ÔœË∏Æ ÿΩ´	97.798958	57.010899	27	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	45	0	
11	15424977	1432	400165	20	 ∑æ¢ø‹	æ¸–ËπŸ	99.763695	56.162598	28	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	45	0	
12	15424990	1210	400166	20	∑ÔœË∏Æ ÿæ¸		94.835312	54.451561	28	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	45	0	
13	15424991	1210	400167	20	∑ÔœË∏Æ ÿæ¸		100.419724	54.35183	28	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	45	0	
14	15424992	1210	400168	20	∑ÔœË∏Æ ÿæ¸		87.812424	54.890568	32	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	45	0	
15	15424993	1210	400169	20	∑ÔœË∏Æ ÿæ¸		90.357658	68.71727	4	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	45	0	
16	15424994	1210	400170	20	∑ÔœË∏Æ ÿæ¸		118.48597	67.275658	9	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	45	0	
17	15424995	1210	400171	20	∑ÔœË∏Æ ÿæ¸		118.694679	59.226601	27	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	45	0	
18	15424997	1210	400172	20	∑ÔœË∏Æ ÿæ¸		102.316628	73.249023	28	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	45	0	
19	15424998	1210	400172	20	∑ÔœË∏Æ ÿæ¸		95.713959	72.950668	28	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	45	0	
20	15390708	4036	-1	20	 	 	106.094589	81.522514	14	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	45	0	
21	15394712	4037	-1	20	 	 	166.857986	69.97049	4	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	45	0	
22	15395713	4037	-1	20	 	 	167.060104	68.410133	32	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	45	0	
23	15396714	4037	-1	20	 	 	166.230957	70.187737	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	45	0	
24	15397715	4037	-1	20	 	 	166.092331	71.207306	4	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	45	0	
25	15398716	4037	-1	20	 	 	167.075684	68.866966	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	45	0	
26	15399717	4037	-1	20	 	 	167.050339	69.099686	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	45	0	
27	15400718	4037	-1	20	 	 	166.115723	69.398506	32	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	45	0	
28	15424748	9513	-1	21	∫∫÷–“∞÷Ì		35.781124	190.871384	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	45	0	
29	15424749	9513	-1	21	∫∫÷–“∞÷Ì		35.781124	190.871384	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	45	0	
30	15424750	9513	-1	21	∫∫÷–“∞÷Ì		35.815536	189.296829	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	45	0	
31	15424751	9513	-1	21	∫∫÷–“∞÷Ì		35.957508	191.0383	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	45	0	
32	15424752	9513	-1	21	∫∫÷–“∞÷Ì		35.966232	190.849228	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	45	0	
33	15424754	9513	-1	21	∫∫÷–“∞÷Ì		35.982899	189.712204	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	45	0	
34	15424755	9513	-1	21	∫∫÷–“∞÷Ì		36.184288	192.398438	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	45	0	
