NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
编号	随机编号	attr编号	逻辑表编号	阵营编号	名称	称号	x轴坐标	z轴坐标	朝向	脚本编号	重生时间	分组编号	队伍编号	基础AI	AI文件	巡逻路径	商店0	商店1	商店2	商店3	名誉ID	等级	镜像组
0	15052370	2603	133500	-1	敦煌古道	敦煌王国传送人	97.300003	137.5	3	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
1	15052371	48	133501	-1	那日苏	村长	94.826279	131.778137	36	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
2	15052372	47	133502	-1	俄日和木	王国祭酒	97.176773	126.608955	34	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
3	15052373	46	133503	-1	浩特牢都仍	村民	95.668091	134.22995	2	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
4	15052374	87	133504	-1	随从		98.197319	125.034142	34	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
5	15052375	84	133505	-1	阿鲁巴克	村民	115.876495	113.002068	25	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
6	15052376	60	133506	-1	苏沐赫	村民	117.138863	113.343086	26	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
7	15052378	63	133507	-1	妮浩	村民	97.699005	143.216522	7	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
8	15052379	98	-1	-1	  		97.456848	142.797913	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
9	15052380	98	-1	-1	  		98.635323	142.168915	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
10	15052381	32	133508	-1	那楚		114.382652	131.638336	18	0	10000	-1	-1	3	0	0	-1	-1	-1	-1	-1	40	0	
11	15052386	2357	-1	-1	  	 	114.454552	111.872772	29	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
12	15052387	18	133509	-1	杨肖	胡杨成员	187.28186	29.677628	27	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
13	15052388	15	133510	-1	黄沙海	胡杨首领	219.782776	48.060562	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
14	15052389	28	133511	-1	胡杨成员		222.013412	52.211777	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
15	15052390	28	133512	-1	胡杨成员		220.792206	43.521328	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
