NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
±àºÅ	Ëæ»ú±àºÅ	attr±àºÅ	Âß¼­±í±àºÅ	ÕóÓª±àºÅ	Ãû³Æ	³ÆºÅ	xÖá×ø±ê	zÖá×ø±ê	³¯Ïò	½Å±¾±àºÅ	ÖØÉúÊ±¼ä	·Ö×é±àºÅ	¶ÓÎé±àºÅ	»ù´¡AI	AIÎÄ¼þ	Ñ²ÂßÂ·¾¶	ÉÌµê0	ÉÌµê1	ÉÌµê2	ÉÌµê3	ÃûÓþID	µÈ¼¶	¾µÏñ×é
0	15052370	2603	134038	-1	¶Ø»ÍÁÔ³¡	¶Ø»ÍÍõ¹ú´«ËÍÈË	213	187	19	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
1	15052371	11992	134000	-1	ÐÛÓ¥³¤ÀÏ	¶Ø»ÍÏÈÏÍ	220.557159	202.130371	19	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
2	15052372	12000	134001	-1	ÖÇÕß¹þ´ï		219.324646	196.004517	21	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
3	15052373	11980	134002	-1	µ¶Ö®Áé		174.225571	140.038773	16	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
4	15052374	11981	134003	-1	½£Ö®Áé		171.348038	137.656815	16	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
5	15052375	11982	134004	-1	Ç¹Ö®Áé		168.607147	135.179718	20	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
6	15052376	11983	134005	-1	¹­Ö®Áé		165.894989	132.17009	20	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
7	15052377	11984	134006	-1	é³Ö®Áé		163.493546	128.739456	20	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
8	15052378	11985	134007	-1	ÕÈÖ®Áé		161.968719	125.173752	24	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
9	15052379	11986	134008	-1	Ã¬Ö®Áé		180.247269	132.213821	24	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
10	15052380	11987	134009	-1	ÁîÖ®Áé		178.58313	128.877441	24	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
11	15052381	11988	134010	-1	åóÖ®Áé		176.457062	126.093918	28	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
12	15052382	11989	134011	-1	ï¥Ö®Áé		174.027771	123.481125	28	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
13	15052383	11990	134012	-1	á¦Ö®Áé		170.868988	121.818245	28	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
14	15052384	11991	134013	-1	Ê¥Ê®×ÖÖ®Áé		167.992661	120.462288	32	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
15	15052385	11994	134014	-1	²ÔÀÇ³¤ÀÏ	¶Ø»ÍÏÈÏÍ	170.023788	127.453491	31	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
16	15052386	11995	134015	-1	Ä¾Í¼	°×Â¹³¤ÀÏµÄËæ´Ó	63.386337	126.47184	1	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
17	15052387	11996	134016	-1	°×Â¹³¤ÀÏ	¶Ø»ÍÏÈÏÍ	97.011986	110.091347	12	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
18	15052389	11960	134018	-1	ÌúÎä	ÐÂ±ø¾üÐè¹Ù	186.321823	41.771992	20	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
19	15052391	11960	134026	-1	ÌúÁ¦	ÐÂ±ø½Ì¹Ù	183.424942	36.825451	23	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
20	8699010	11971	-1	21	²ÝÔ­ÀÇ		30.907637	145.994034	16	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
21	8699013	11971	-1	21	²ÝÔ­ÀÇ		111.402344	179.844803	16	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
22	8699014	11971	-1	21	²ÝÔ­ÀÇ		113.401527	213.184525	16	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
23	8699017	11971	-1	21	²ÝÔ­ÀÇ		59.004974	140.393509	18	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
24	8699019	11971	-1	21	²ÝÔ­ÀÇ		46.061024	153.11705	18	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
25	8699024	11971	-1	21	²ÝÔ­ÀÇ		36.976681	153.631241	18	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
26	8699028	11971	-1	21	²ÝÔ­ÀÇ		41.673809	161.652252	16	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
27	8699031	11971	-1	21	²ÝÔ­ÀÇ		99.886024	218.007813	16	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
28	8699032	11971	-1	21	²ÝÔ­ÀÇ		86.919022	150.62764	18	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
29	8699034	11971	-1	21	²ÝÔ­ÀÇ		47.333054	167.895035	16	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
