NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
±àºÅ	Ëæ»ú±àºÅ	attr±àºÅ	Âß¼­±í±àºÅ	ÕóÓª±àºÅ	Ãû³Æ	³ÆºÅ	xÖá×ø±ê	zÖá×ø±ê	³¯Ïò	½Å±¾±àºÅ	ÖØÉúÊ±¼ä	·Ö×é±àºÅ	¶ÓÎé±àºÅ	»ù´¡AI	AIÎÄ¼þ	Ñ²ÂßÂ·¾¶	ÉÌµê0	ÉÌµê1	ÉÌµê2	ÉÌµê3	ÃûÓþID	µÈ¼¶	¾µÏñ×é
0	15052370	2604	101208	20	º±ÄÑºÓ²ÝÔ­	Íõ¹ú²ÝÔ­´«ËÍÈË	141	56	17	0	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
1	15052411	5813	101091	20	Å¬¶û³à	±±¿¤æâÂí	126.744003	54.208099	28	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	10	0	
2	15052371	5809	101093	20	ËÕ±ðÁ¦	±±¿¤ÉÌÈË	121.59626	66.598709	6	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	10	0	
3	15052723	166	-1	20	  		135.676865	43.835449	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	10	0	
4	15052725	166	-1	20	  		134.075378	46.533062	32	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	10	0	
5	15052726	166	-1	20	  		135.778107	46.028019	8	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	10	0	
6	15052727	166	-1	20	  		132.250275	46.072861	28	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	10	0	
7	15052733	5808	-1	20	»¨±³		124.63176	54.386742	28	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	10	0	
8	15052734	61	101094	20	ç÷¸ñ¶û	±±¿¤¿¤Ö÷	112.233162	53.602211	32	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	10	0	
9	15052735	12949	101095	20	ãåÑô	±±¿¤ÄÁÑòÈË	132.693817	60.456852	12	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	10	0	
10	15052738	5807	101092	20	±±¿¤ÓÂÊ¿ÎÚÂ³Ò®		97.124054	149.24472	28	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	10	0	
11	15052742	28109	101096	20	±±¿¤ÈøÂúÔúÍ¼		95.100624	152.928589	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	10	0	
12	15052743	5811	101097	20	±±¿¤¸èÊÖÎÚÄ¾Í¼		100.149635	152.18895	20	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	10	0	
13	15052744	167	-1	20	  		104.400375	146.994232	20	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	10	0	
14	15052745	168	-1	20	  		105.014465	149.703979	16	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	10	0	
15	15052746	169	-1	20	  		101.503677	146.258331	24	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	10	0	
16	15052747	58	101098	20	Ð¡¿¤Ö÷¶ä¹þ		126.708305	58.69783	0	0	10000	-1	-1	2	0	-1	-1	-1	-1	-1	-1	10	0	
17	15052373	5806	-1	21	ÎÂ¶¼¶ûºìºü		117.657463	208.415176	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	10	0	
18	15052373	5806	-1	21	ÎÂ¶¼¶ûºìºü		117.698914	208.459122	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	10	0	
19	15052373	5806	-1	21	ÎÂ¶¼¶ûºìºü		117.608559	208.504944	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	10	0	
20	15052373	5806	-1	21	ÎÂ¶¼¶ûºìºü		117.526215	208.056015	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	10	0	
21	15052375	5806	-1	21	ÎÂ¶¼¶ûºìºü		194.424301	172.65242	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	10	0	
22	15052375	5806	-1	21	ÎÂ¶¼¶ûºìºü		194.55899	172.378891	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	10	0	
23	15052375	5806	-1	21	ÎÂ¶¼¶ûºìºü		194.675232	172.781601	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	10	0	
24	15052384	5806	-1	21	ÎÂ¶¼¶ûºìºü		177.867767	144.494049	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	10	0	
25	15052384	5806	-1	21	ÎÂ¶¼¶ûºìºü		177.988983	144.221283	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	10	0	
26	15052384	5806	-1	21	ÎÂ¶¼¶ûºìºü		178.515762	145.050964	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	10	0	
27	15052384	5806	-1	21	ÎÂ¶¼¶ûºìºü		178.255798	144.778015	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	10	0	
28	15052384	5806	-1	21	ÎÂ¶¼¶ûºìºü		177.738754	144.495667	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	10	0	
29	15052389	5806	-1	21	ÎÂ¶¼¶ûºìºü		180.320435	200.287384	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	10	0	
30	15052389	5806	-1	21	ÎÂ¶¼¶ûºìºü		180.075119	200.11647	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	10	0	
31	15052389	5806	-1	21	ÎÂ¶¼¶ûºìºü		180.689331	200.467651	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	10	0	
32	15052389	5806	-1	21	ÎÂ¶¼¶ûºìºü		180.827377	200.193634	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	10	0	
33	15052399	5812	-1	21	º±ÄÑºÓºÚ××ÀÇ		142.722412	87.46524	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	10	0	
34	15052399	5812	-1	21	º±ÄÑºÓºÚ××ÀÇ		142.610565	87.554443	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	10	0	
35	15052399	5812	-1	21	º±ÄÑºÓºÚ××ÀÇ		141.782623	87.411644	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	10	0	
36	15052399	5812	-1	21	º±ÄÑºÓºÚ××ÀÇ		142.593826	87.064102	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	10	0	
37	15052399	5812	-1	21	º±ÄÑºÓºÚ××ÀÇ		142.705826	86.975311	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	10	0	
38	15052434	5812	-1	21	º±ÄÑºÓºÚ××ÀÇ		113.582245	102.151711	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	10	0	
39	15052434	5812	-1	21	º±ÄÑºÓºÚ××ÀÇ		113.537582	102.547249	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	10	0	
40	15052434	5812	-1	21	º±ÄÑºÓºÚ××ÀÇ		114.018036	102.596062	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	10	0	
41	15052434	5812	-1	21	º±ÄÑºÓºÚ××ÀÇ		113.795746	101.784508	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	10	0	
42	15052434	5812	-1	21	º±ÄÑºÓºÚ××ÀÇ		113.437462	102.51403	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	10	0	
43	15052504	5812	-1	21	º±ÄÑºÓºÚ××ÀÇ		216.475693	59.986195	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	10	0	
44	15052504	5812	-1	21	º±ÄÑºÓºÚ××ÀÇ		216.475693	59.986195	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	10	0	
45	15052504	5812	-1	21	º±ÄÑºÓºÚ××ÀÇ		216.475693	59.986195	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	10	0	
46	15052504	5812	-1	21	º±ÄÑºÓºÚ××ÀÇ		216.475693	59.986195	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	10	0	
47	15052504	5812	-1	21	º±ÄÑºÓºÚ××ÀÇ		216.475693	59.986195	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	10	0	
48	15052505	5812	-1	21	º±ÄÑºÓºÚ××ÀÇ		195.461273	41.062794	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	10	0	
49	15052505	5812	-1	21	º±ÄÑºÓºÚ××ÀÇ		195.752533	41.388058	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	10	0	
50	15052505	5812	-1	21	º±ÄÑºÓºÚ××ÀÇ		195.623871	41.557919	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	10	0	
51	15052505	5812	-1	21	º±ÄÑºÓºÚ××ÀÇ		195.752533	41.388058	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	10	0	
52	15052508	5812	-1	21	º±ÄÑºÓºÚ××ÀÇ		207.882477	117.128571	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	10	0	
53	15052508	5812	-1	21	º±ÄÑºÓºÚ××ÀÇ		208.020111	117.115761	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	10	0	
54	15052508	5812	-1	21	º±ÄÑºÓºÚ××ÀÇ		207.436401	117.832245	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	10	0	
55	15052508	5812	-1	21	º±ÄÑºÓºÚ××ÀÇ		207.882477	117.128571	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	10	0	
56	15052508	5812	-1	21	º±ÄÑºÓºÚ××ÀÇ		207.996567	117.604782	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	10	0	
57	15052509	5812	-1	21	º±ÄÑºÓºÚ××ÀÇ		210.215622	147.436234	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	10	0	
58	15052509	5812	-1	21	º±ÄÑºÓºÚ××ÀÇ		209.953552	147.304916	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	10	0	
59	15052509	5812	-1	21	º±ÄÑºÓºÚ××ÀÇ		211.004181	147.093491	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	10	0	
60	15052509	5812	-1	21	º±ÄÑºÓºÚ××ÀÇ		210.745163	146.699905	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	10	0	
61	15052510	5812	-1	21	º±ÄÑºÓºÚ××ÀÇ		132.166855	117.68837	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	10	0	
62	15052510	5812	-1	21	º±ÄÑºÓºÚ××ÀÇ		132.974213	117.519417	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	10	0	
63	15052510	5812	-1	21	º±ÄÑºÓºÚ××ÀÇ		132.39888	117.060501	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	10	0	
64	15052510	5812	-1	21	º±ÄÑºÓºÚ××ÀÇ		132.105331	116.755089	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	10	0	
65	15052510	5812	-1	21	º±ÄÑºÓºÚ××ÀÇ		132.722244	117.835068	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	10	0	
66	15052511	5812	-1	21	º±ÄÑºÓºÚ××ÀÇ		188.032349	80.320526	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	10	0	
67	15052511	5812	-1	21	º±ÄÑºÓºÚ××ÀÇ		188.032349	80.320526	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	10	0	
68	15052511	5812	-1	21	º±ÄÑºÓºÚ××ÀÇ		188.032349	80.320526	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	10	0	
69	15052511	5812	-1	21	º±ÄÑºÓºÚ××ÀÇ		188.032349	80.320526	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	10	0	
70	15052512	5806	-1	21	ÎÂ¶¼¶ûºìºü		130.628677	147.954102	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	10	0	
71	15052512	5806	-1	21	ÎÂ¶¼¶ûºìºü		129.933823	147.847321	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	10	0	
72	15052512	5806	-1	21	ÎÂ¶¼¶ûºìºü		130.471237	147.612991	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	10	0	
73	15052512	5806	-1	21	ÎÂ¶¼¶ûºìºü		130.449951	147.248306	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	10	0	
74	15052512	5806	-1	21	ÎÂ¶¼¶ûºìºü		129.900085	147.296692	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	10	0	
75	15052514	5806	-1	21	ÎÂ¶¼¶ûºìºü		129.573608	183.564362	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	10	0	
76	15052514	5806	-1	21	ÎÂ¶¼¶ûºìºü		129.447998	183.572067	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	10	0	
77	15052514	5806	-1	21	ÎÂ¶¼¶ûºìºü		129.693649	183.285172	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	10	0	
78	15052514	5806	-1	21	ÎÂ¶¼¶ûºìºü		129.447998	183.572067	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	10	0	
79	15052516	5806	-1	21	ÎÂ¶¼¶ûºìºü		151.275482	210.827682	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	10	0	
80	15052516	5806	-1	21	ÎÂ¶¼¶ûºìºü		151.399216	210.866501	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	10	0	
81	15052516	5806	-1	21	ÎÂ¶¼¶ûºìºü		151.387726	210.95282	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	10	0	
82	15052519	5806	-1	21	ÎÂ¶¼¶ûºìºü		151.814972	210.99617	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	10	0	
83	15052520	5806	-1	21	ÎÂ¶¼¶ûºìºü		194.412659	173.052719	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	10	0	
84	15052520	5806	-1	21	ÎÂ¶¼¶ûºìºü		194.55899	172.378891	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	10	0	
85	15052521	5806	-1	21	ÎÂ¶¼¶ûºìºü		164.665161	177.017288	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	10	0	
86	15052521	5806	-1	21	ÎÂ¶¼¶ûºìºü		164.616287	177.118179	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	10	0	
87	15052521	5806	-1	21	ÎÂ¶¼¶ûºìºü		164.575348	176.899048	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	10	0	
88	15052521	5806	-1	21	ÎÂ¶¼¶ûºìºü		164.578476	176.795868	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	10	0	
89	15052374	5816	-1	21	ºìºüÓ×áÌ		171	153	28	0	10000	-1	-1	6	0	-1	-1	-1	-1	-1	-1	10	0	
90	15052380	5816	-1	21	ºìºüÓ×áÌ		170	150	0	0	10000	-1	-1	6	0	-1	-1	-1	-1	-1	-1	10	0	
91	15052388	5816	-1	21	ºìºüÓ×áÌ		173	152	0	0	10000	-1	-1	6	0	-1	-1	-1	-1	-1	-1	10	0	
92	15052390	5816	-1	21	ºìºüÓ×áÌ		187	175	0	0	10000	-1	-1	6	0	-1	-1	-1	-1	-1	-1	10	0	
93	15052388	5816	-1	21	ºìºüÓ×áÌ		187	175	0	0	10000	-1	-1	6	0	-1	-1	-1	-1	-1	-1	10	0	
