NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
编号	随机编号	attr编号	逻辑表编号	阵营编号	名称	称号	x轴坐标	z轴坐标	朝向	脚本编号	重生时间	分组编号	队伍编号	基础AI	AI文件	巡逻路径	商店0	商店1	商店2	商店3	名誉ID	等级	镜像组
0	15052370	2601	127000	-1	天山马场	天山王国传送人	214.2	132.2	15	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
1	15052378	2318	127008	-1	耶律辰	前锋将军	202.552689	119.463608	19	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
2	15052379	2401	127004	-1	天山士卒		226.137726	113.697128	17	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
3	15052381	2401	127005	-1	天山士卒		220.917038	113.722519	17	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
4	15052383	2401	127006	-1	天山士卒		221.160034	131.449615	17	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
5	15052385	2401	127007	-1	天山士卒		238	131	17	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
6	15052387	2401	127009	-1	天山士卒		238.48645	129.199646	19	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
7	15052388	2401	127010	-1	天山士卒		204.629135	121.677597	19	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
8	15052389	2401	127011	-1	天山士卒		238.861145	114.837311	19	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
9	15052390	2401	127012	-1	天山士卒		238	111	17	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
10	15052391	2401	127013	-1	天山士卒		204.72139	117.111481	19	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
11	15052392	2401	127014	-1	天山士卒		226.359375	131.521957	17	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
12	7297698	6612	-1	21	探马[20级]	红巾部落	208.734802	175.878006	29	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	20	0	
13	7297703	6612	-1	21	探马[20级]	红巾部落	205.570007	180.813492	31	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	20	0	
14	7297706	6612	-1	21	探马[20级]	红巾部落	177.326782	177.406662	33	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	20	0	
15	7297712	6612	-1	21	探马[20级]	红巾部落	175.081238	171.797928	0	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	20	0	
16	7297714	6612	-1	21	探马[20级]	红巾部落	177.925735	174.498444	2	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	20	0	
17	7297789	6612	-1	21	探马[20级]	红巾部落	177.065155	169.894226	4	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	20	0	
18	7297793	6612	-1	21	探马[20级]	红巾部落	180.231323	170.551086	9	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	20	0	
19	7297795	6612	-1	21	探马[20级]	红巾部落	203.977097	185.612122	11	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	20	0	
20	7297799	6613	-1	21	探马[20级]	红巾部落	169.620651	174.964066	14	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	20	0	
