NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
±àºÅ	Ëæ»ú±àºÅ	attr±àºÅ	Âß¼­±í±àºÅ	ÕóÓª±àºÅ	Ãû³Æ	³ÆºÅ	xÖá×ø±ê	zÖá×ø±ê	³¯Ïò	½Å±¾±àºÅ	ÖØÉúÊ±¼ä	·Ö×é±àºÅ	¶ÓÎé±àºÅ	»ù´¡AI	AIÎÄ¼þ	Ñ²ÂßÂ·¾¶	ÉÌµê0	ÉÌµê1	ÉÌµê2	ÉÌµê3	ÃûÓþID	µÈ¼¶	¾µÏñ×é
0	15052370	2298	101305	-1	ºìÉ³Ä®	ÁìµØ´«ËÍ	49	120	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
1	15053370	9805	-1	21	À­¼ÖÒÁ	ºãºÓÖ®Íõ×¦ÑÀ	127.533432	43.092899	24	300619	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
2	15053639	1933	400328	20	Èû¶ûÖùÓÂÊ¿		37.417255	121.165146	32	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
3	15053640	1933	400328	20	Èû¶ûÖùÓÂÊ¿		230.103989	145.543884	24	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
4	15053641	1933	400328	20	Èû¶ûÖùÓÂÊ¿		32.495663	126.622391	32	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
5	15053642	1933	400328	20	Èû¶ûÖùÓÂÊ¿		224.764893	140.935852	24	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
6	5024259	53	400311	20	Èû¶ûÖù×ÏÒÂÇõ³¤		103.792503	140.734512	8	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
7	5024264	1931	400312	20	Î×Ò½ËþÏ£¶û		113.208084	125.219879	20	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
8	5024265	1933	400309	20	Èû¶ûÖùÓÂÊ¿		106.439301	142.709396	8	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
9	5024266	1933	400308	20	Èû¶ûÖùÓÂÊ¿		101.271347	141.344177	8	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
10	5024267	1933	400309	20	Èû¶ûÖùÓÂÊ¿		96.60598	124.671486	16	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
11	5024268	1933	400308	20	Èû¶ûÖùÓÂÊ¿		118.173538	139.984375	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
12	5024269	1933	400309	20	Èû¶ûÖùÓÂÊ¿		202.850357	189.410965	8	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
13	5024270	1933	400308	20	Èû¶ûÖùÓÂÊ¿		112.882919	122.54245	16	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
14	5024271	1933	400309	20	Èû¶ûÖùÓÂÊ¿		92.790062	135.09697	16	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
15	15053616	1933	400313	20	Èû¶ûÖùÓÂÊ¿		117.982353	128.971634	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
16	15053617	1933	400314	20	Èû¶ûÖùÓÂÊ¿		218.603867	203.934967	20	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
17	15053618	1933	400324	20	±¨ÐÅµÄÈû¶ûÖùÓÂÊ¿		216.236526	198.07869	28	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
18	15053619	1933	400315	20	Èû¶ûÖùÓÂÊ¿		191.350586	205.726486	20	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
19	15053620	1933	400316	20	Èû¶ûÖùÓÂÊ¿		190.657852	215.560287	16	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
20	15053621	1933	400314	20	Èû¶ûÖùÓÂÊ¿		213.479675	187.879211	12	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
21	15053622	168	-1	20	 		216.792877	195.615463	28	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
22	15053624	38	400317	20	ÈøµÏ¿Ë	Èû¶ûÖùÇàÄê	214.058395	212.95282	24	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
23	15053625	37	400318	20	°¢µÏÀï	Èû¶ûÖùÇàÄê	211.746368	213.116791	32	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
24	15053626	51	400319	20	Èû¶ûÖùºìÒÂÇõ³¤		216.80629	200.771332	10	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
25	15053627	70	400320	20	ºìÒÂÇõ³¤·òÈË		221.842468	216.018402	12	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
26	15053628	74	400321	20	ÂêÒÀÉ¯	¸»ÉÌÖ®Å®	214.910507	216.483215	12	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
27	15053629	82	400322	20	ÂòºÏËÕÄ¾	Èû¶ûÖù¸»ÉÌ	213.210449	215.321991	10	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
28	15053631	2363	-1	20	 		198.616013	208.079056	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
29	15053634	83	400323	20	Èû¶ûÖùÉÌÈË		195.571976	208.10141	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
30	15053636	33	-1	20	Çõ³¤Ö®×Ó		220.70816	214.485199	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
31	15053637	58	-1	20	Çõ³¤Ö®Å®		221.868835	214.152695	16	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
32	15053371	9557	-1	21	É³Ä®Ò°ºü		43.571651	146.018585	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
33	15053371	9557	-1	21	É³Ä®Ò°ºü		43.571651	146.018585	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
34	15053371	9557	-1	21	É³Ä®Ò°ºü		43.571651	146.018585	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
35	15053371	9557	-1	21	É³Ä®Ò°ºü		43.571651	146.018585	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
36	15053371	9557	-1	21	É³Ä®Ò°ºü		43.571651	146.018585	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
37	15053371	9557	-1	21	É³Ä®Ò°ºü		43.571651	146.018585	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
38	15053371	9557	-1	21	É³Ä®Ò°ºü		43.571651	146.018585	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
39	15053371	9557	-1	21	É³Ä®Ò°ºü		43.571651	146.018585	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
40	15053371	9557	-1	21	É³Ä®Ò°ºü		43.571651	146.018585	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
41	15053371	9557	-1	21	É³Ä®Ò°ºü		43.571651	146.018585	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
42	15053581	9766	-1	21	¸ê±ÚÉ³Ä§		149.229935	105.322052	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
43	15053581	9766	-1	21	¸ê±ÚÉ³Ä§		149.229935	105.322052	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
44	15053581	9766	-1	21	¸ê±ÚÉ³Ä§		149.229935	105.322052	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
45	15053581	9766	-1	21	¸ê±ÚÉ³Ä§		149.229935	105.322052	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
46	15053581	9766	-1	21	¸ê±ÚÉ³Ä§		149.229935	105.322052	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
47	15053581	9766	-1	21	¸ê±ÚÉ³Ä§		149.229935	105.322052	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
