NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
±àºÅ	Ëæ»ú±àºÅ	attr±àºÅ	Âß¼­±í±àºÅ	ÕóÓª±àºÅ	Ãû³Æ	³ÆºÅ	xÖá×ø±ê	zÖá×ø±ê	³¯Ïò	½Å±¾±àºÅ	ÖØÉúÊ±¼ä	·Ö×é±àºÅ	¶ÓÎé±àºÅ	»ù´¡AI	AIÎÄ¼þ	Ñ²ÂßÂ·¾¶	ÉÌµê0	ÉÌµê1	ÉÌµê2	ÉÌµê3	ÃûÓþID	µÈ¼¶	¾µÏñ×é
0	1505229	9810	-1	21	ÍßÁ¬¾©	¶ÙºÓÖ®Íõ×¦ÑÀ	52	234	9	300619	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	85	0	
1	1505230	9830	400603	21	ÁìµØÍ¼ÌÚ	Ë¹À­·òµØÇø	196	45	27	-1	180000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	85	0	
2	1	223	400410	20	Âí¿ËÇßºî¾ô		219	41	27	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	85	0	
3	2	249	400411	20	Å©Å«Ö÷Ð»ÁÎÉ³		143.345276	69.986908	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	85	0	
4	3	42	400416	20	ÒÁ¸ê¶û	¶«Õý½ÌÉñ¸¦	131.682449	32.649689	17	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	85	0	
5	4	68	400413	20	Ð»¶û¸Ç	Å©Å«Ö÷Ö®×Ó	115.774544	58.641727	12	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	85	0	
6	5	69	400414	20	±ËµÃ	ÉÌÈËÖ®×Ó	205.509491	86.486023	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	85	0	
7	6	43	400415	20	ÍßÁ¬¾©	¶«Õý½Ì´óÄÁÊ×	128.483871	31.044228	28	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	85	0	
8	7	44	400412	20	Ë÷Åµ·ò	¶«Õý½ÌÉñ¸¦	232.797516	44.063828	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	85	0	
9	8	79	400417	20	°²µÂÁÒ	ºî¾ô¹Ü¼Ò	217	45	4	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	85	0	
10	9	76	400418	20	ÑÇÀúÉ½´ó	»ù¸¨ÉÌÈË	208.109833	85.094582	20	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	85	0	
11	10	1359	400419	20	Ë¹½ÝÅÁÉê²®¾ô		62.921032	204.116562	28	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	85	0	
12	11	65	400420	20	ÄÈËþÉ¯	ÉÌÈËÖ®ÆÞ	204.932449	84.767181	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	85	0	
13	12	66	400421	20	Ò¶Á«ÄÈ	Å©Å«Ö÷Ö®ÆÞ	114.808678	56.807076	32	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	85	0	
14	13	1915	400423	20	Å©Å«ÓÈÀï		146.047882	70.321266	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	85	0	
15	14	1915	400422	20	Å©Å«±ËµÃ		182.925507	61.848461	6	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	85	0	
16	15	66	400424	20	ÐÅÍ½×¿æ«		229.849411	45.494999	4	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	85	0	
17	16	77	400425	20	ÐÅÍ½°²¶«Äá		229.48732	43.078339	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	85	0	
18	17	78	400426	20	ÐÅÍ½°ÂÁÐ¸ñ		230.9216	46.81044	8	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	85	0	
19	18	65	400427	20	ÐÅÍ½ÄáÄÈ		229.968628	41.339882	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	85	0	
20	19	67	400428	20	¶¬ÄÝæ«	°ÂµÂÈø¹«Ö÷	62.750019	206.988174	8	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	85	0	
21	20	1915	400429	20	Å©Å«Ð»Ãç		88.05442	32.967167	20	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	85	0	
22	21	76	400430	20	Ë°Îñ¹Ù²¨½«½ð		73.190819	46.554516	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	85	0	
23	23	1373	400432	20	²®¾ôÊÌÎÀ		64.234207	210.836929	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	85	0	
24	24	1373	400433	20	²®¾ôÊÌÎÀ		60.91692	208.677277	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	85	0	
25	25	1373	400431	20	²®¾ôÊÌÎÀ		64.272598	198.641006	27	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	85	0	
26	27	1373	400433	20	²®¾ôÊÌÎÀ		61.117149	201.9617	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	85	0	
27	28	166	-1	20	 	 	83.784767	33.16124	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	85	0	
28	29	166	-1	20	 	 	82.124214	33.43832	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	85	0	
29	30	255	-1	20	 	 	82.405197	32.293663	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	85	0	
30	31	363	-1	20	 	 	83.690712	31.695362	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	85	0	
31	32	167	-1	20	 	 	213.365219	91.740669	20	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	85	0	
32	33	163	-1	20	 	 	203.853012	92.401215	32	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	85	0	
33	34	170	-1	20	 	 	71.420021	47.504791	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	85	0	
34	35	168	-1	20	 	 	63.765659	195.985641	26	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	85	0	
35	36	169	-1	20	 	 	65.52079	196.365051	26	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	85	0	
36	38	581	-1	20	 	 	162.667877	57.850548	0	0	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	85	0	
37	39	581	-1	20	 	 	162.774658	58.891006	0	0	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	85	0	
