NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
编号	随机编号	attr编号	逻辑表编号	阵营编号	名称	称号	x轴坐标	z轴坐标	朝向	脚本编号	重生时间	分组编号	队伍编号	基础AI	AI文件	巡逻路径	商店0	商店1	商店2	商店3	名誉ID	等级	镜像组
0	15052370	2298	101215	-1	阿尔金山	领地传送人	96	138	5	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
1	15053839	9803	-1	21	萨拉不花	恒河之王爪牙	107.666	216.095001	9	300619	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	60	0	
2	15053803	836	400276	20	回鹘勇士		232.216187	165.889877	19	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
3	15053804	836	400277	20	回鹘勇士		29.390039	117.472183	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
4	15053854	836	400276	20	回鹘勇士		30.429882	109.930237	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
5	15053805	836	400277	20	回鹘勇士		231.632553	161.363541	19	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
6	15053734	836	400276	20	回鹘勇士		174.48996	149.726257	27	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
7	15053738	836	400277	20	回鹘勇士		190.464661	113.133682	27	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
8	15053739	836	400276	20	回鹘勇士		181.484024	116.622757	27	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
9	15053740	836	400277	20	回鹘勇士		182.689865	163.731934	27	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
10	15053741	836	400276	20	回鹘勇士		174.329956	138.611176	27	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
11	15053742	836	400277	20	回鹘勇士		173.990509	163.504349	27	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
12	15053743	836	400276	20	回鹘勇士		176.511032	116.66687	27	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
13	15053744	836	400277	20	回鹘勇士		203.727448	92.973099	9	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
14	15053745	836	400276	20	回鹘勇士		196.125275	113.322098	27	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
15	15053746	836	400277	20	回鹘勇士		204.193207	108.167831	27	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
16	15053747	836	400276	20	回鹘勇士		214.922775	108.313141	27	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
17	15053748	836	400277	20	回鹘勇士		215.174438	93.876892	9	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
18	15053749	836	400276	20	回鹘勇士		182.383514	138.670425	27	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
19	15053750	836	400277	20	回鹘勇士		182.586304	149.543121	27	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
20	15053750	836	400287	20	回鹘勇士队长		223	160	27	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
21	15053750	836	400288	20	回鹘勇士队长		35	120	9	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
22	15053751	57	400272	20	阿拉坦	回鹘长老	179.014008	118.550003	27	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
23	15053757	38	400279	20	买买提		189.588104	129.103424	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
24	15053759	72	400280	20	买买提之妻		189.652695	131.576736	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
25	15053760	81	400281	20	商人巴依尔		207.01062	121.613266	12	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
26	15053761	71	400282	20	少女伊嫣古丽		168.755173	119.747116	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
27	15053762	39	400283	20	克里木		170.692307	131.735535	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
28	15053764	5808	-1	20	 		207.166275	119.812195	12	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
29	15053769	1375	400274	20	党项勇士		221.863434	34.916016	24	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
30	15053770	1376	400270	20	岱森达	党项长老	219.446655	35.000221	24	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
31	15053773	1375	400274	20	党项勇士		210.589996	34.484016	20	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
32	15053791	1375	400275	20	党项勇士		218.570541	32.347557	24	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
33	15053775	73	400271	20	麦拉斯		221.883698	39.277634	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
34	15053779	74	400278	20	公主侍女		194.396606	114.812195	27	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
35	15053780	70	400273	20	诺敏	回鹘公主	193.443085	115.638046	27	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
36	15053792	98	-1	20	 		219.835083	42.712151	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
37	15053793	98	-1	20	 		220.807632	42.965645	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	60	0	
38	15053794	98	-1	20	 		220.326401	44.506165	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	60	0	
39	15053795	98	-1	20	 		220.211639	43.61425	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
40	15053796	98	-1	20	 		221.186218	43.787766	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
41	15053800	1840	-1	20	 		208.187317	36.428116	20	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
42	15053837	39	400284	20	牧羊人阿木尔		50.822952	224.658295	6	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
43	15053841	166	-1	20	 		40	224	0	0	10000	-1	-1	2	0	-1	-1	-1	-1	-1	-1	60	0	
44	15053842	304	-1	20	 		40	223	0	0	10000	-1	-1	2	0	-1	-1	-1	-1	-1	-1	60	0	
45	15053843	363	-1	20	 		41	224	0	0	10000	-1	-1	2	0	-1	-1	-1	-1	-1	-1	60	0	
