NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
编号	随机编号	attr编号	逻辑表编号	阵营编号	名称	称号	x轴坐标	z轴坐标	朝向	脚本编号	重生时间	分组编号	队伍编号	基础AI	AI文件	巡逻路径	商店0	商店1	商店2	商店3	名誉ID	等级	镜像组
0	15052371	9820	-1	21	北条宗政	幕府之王爪牙	79	238	9	300619	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	125	0	
1	15052370	2604	101301	-1	九州	领地传送人	160.486023	117.274757	12	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
2	1	18805	-1	21	东瀛毒蜂		33.373447	38.177139	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	120	0	
3	2	18805	-1	21	东瀛毒蜂		33.473447	38.077139	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	120	0	
4	3	18805	-1	21	东瀛毒蜂		32.373447	38.177139	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	120	0	
5	4	18805	-1	21	东瀛毒蜂		32.373447	39.177139	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	120	0	
6	5	18805	-1	21	东瀛毒蜂		32.373447	37.177139	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	120	0	
7	6	18805	-1	21	东瀛毒蜂		33.373447	39.177139	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	120	0	
8	7	18805	-1	21	东瀛毒蜂		33.373447	37.177139	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	120	0	
9	8	18805	-1	21	东瀛毒蜂		34.373447	38.177139	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	120	0	
10	9	18805	-1	21	东瀛毒蜂		34.373447	39.177139	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	120	0	
11	10	18805	-1	21	东瀛毒蜂		34.373447	37.177139	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	120	0	
