NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
编号	随机编号	attr编号	逻辑表编号	阵营编号	名称	称号	x轴坐标	z轴坐标	朝向	脚本编号	重生时间	分组编号	队伍编号	基础AI	AI文件	巡逻路径	商店0	商店1	商店2	商店3	名誉ID	等级	镜像组
0	15052370	2604	101213	20	居庸关外	王国草原传送人	133	127	18	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
1	15053257	5864	107104	20	居庸关守卫		99.742592	119.343704	36	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	35	0	
2	15053258	5864	107105	20	居庸关守卫		100.375816	132.574356	36	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	35	0	
3	15053259	5864	107106	20	居庸关守卫		108.01886	108.364449	27	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	35	0	
4	15053260	5864	107107	20	居庸关守卫		98.587952	122.325485	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	35	0	
5	15053261	5864	107108	20	居庸关守卫		118.459747	108.382813	27	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	35	0	
6	15053262	5864	107109	20	居庸关守卫		98.796631	127.587982	36	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	35	0	
7	15053263	5864	107110	20	居庸关守卫		154.006393	71.91362	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	35	0	
8	15053264	5864	107111	20	居庸关守卫		156.368118	71.880074	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	35	0	
9	15053265	5864	107112	20	居庸关守卫		154.272079	63.821964	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	35	0	
10	15053266	5864	107113	20	居庸关守卫		156.602478	63.836048	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	35	0	
11	15053267	5864	107114	20	居庸关守卫		65.105438	163.60849	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	35	0	
12	15053268	5864	107115	20	居庸关守卫		66.998627	169.943069	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	35	0	
13	15053269	5864	107116	20	西南门守卫长		67.113724	163.491135	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	35	0	
14	15053270	5864	107117	20	居庸关守卫		64.718025	169.962769	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	35	0	
15	15053272	5865	107102	20	贺敦颐副将		70.940292	56.891468	27	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	35	0	
16	15053273	5866	107100	20	包兴汉	居庸关守将	102.508278	125.890251	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	35	0	
17	15053274	5867	107101	20	苏日格军师		101.007507	124.070671	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	35	0	
18	15053280	5868	107103	20	李立副将		63.648907	64.837654	36	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	35	0	
19	15053281	5864	107118	20	居庸关守卫		61.906551	59.94688	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	35	0	
20	15053282	5864	107119	20	居庸关守卫		61.270878	70.212929	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	35	0	
21	15053283	5864	107120	20	居庸关守卫		72.964943	55.897392	28	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	35	0	
22	15053284	5864	107121	20	居庸关守卫		126.393791	138.519684	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	35	0	
23	15053285	5864	107122	20	居庸关守卫		109.82489	143.536987	28	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	35	0	
24	15053286	5864	107123	20	居庸关守卫		126.448326	143.487427	28	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	35	0	
25	15053289	5864	107125	20	居庸关守卫		107.090897	143.533585	28	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	35	0	
26	15053290	5864	107126	20	居庸关守卫		110.249428	138.8311	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	35	0	
27	15053292	5864	107128	20	居庸关守卫		129.302216	143.705856	28	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	35	0	
28	15053293	2202	-1	21	抚州石妖		177.952621	35.553398	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
29	15053294	2202	-1	21	抚州石妖		179.399292	32.141464	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
30	15053295	2202	-1	21	抚州石妖		175.344681	33.132675	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
31	15053296	2202	-1	21	抚州石妖		174.682053	38.577343	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
32	15053297	2202	-1	21	抚州石妖		178.66922	37.729599	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
33	15053298	2202	-1	21	抚州石妖		182.145706	35.908634	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
34	15053299	2202	-1	21	抚州石妖		225.866135	98.689514	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
35	15053300	2202	-1	21	抚州石妖		216.526733	39.696358	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
36	15053301	2202	-1	21	抚州石妖		219.560501	38.469013	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
37	15053302	2202	-1	21	抚州石妖		217.726959	43.062462	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
38	15053303	2202	-1	21	抚州石妖		223.863235	38.844608	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
39	15053304	2202	-1	21	抚州石妖		221.058868	42.108475	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
40	15053305	2202	-1	21	抚州石妖		220.168671	45.833797	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
41	15053306	2202	-1	21	抚州石妖		227.729614	105.277802	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
42	15053307	2202	-1	21	抚州石妖		230.136917	100.49469	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
43	15053308	2202	-1	21	抚州石妖		222.292252	101.099716	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
44	15053309	2202	-1	21	抚州石妖		169.60817	142.179413	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
45	15053310	2202	-1	21	抚州石妖		226.005859	102.589134	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
46	15053311	2202	-1	21	抚州石妖		223.29657	105.614571	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
47	15053312	2202	-1	21	抚州石妖		170.517303	138.276215	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
48	15053313	2202	-1	21	抚州石妖		175.798203	36.183037	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
49	15053314	2202	-1	21	抚州石妖		172.889801	143.097153	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
50	15053315	2202	-1	21	抚州石妖		169.299362	145.242767	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
51	15053316	2202	-1	21	抚州石妖		171.059647	146.74379	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
52	15053317	2202	-1	21	抚州石妖		174.89946	148.492706	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
53	15053318	2202	-1	21	抚州石妖		173.372787	138.360657	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
54	15053319	2202	-1	21	抚州石妖		175.773666	142.526001	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
55	15053320	2202	-1	21	抚州石妖		177.382111	136.834534	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
56	15053321	2203	-1	21	野狐岭黑蜘蛛		70.346336	32.210705	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
57	15053322	2203	-1	21	野狐岭黑蜘蛛		69.882172	33.042881	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
58	15053323	2203	-1	21	野狐岭黑蜘蛛		72.64695	32.758713	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
59	15053324	2203	-1	21	野狐岭黑蜘蛛		70.879303	33.612274	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
60	15053325	2203	-1	21	野狐岭黑蜘蛛		69.746887	35.37582	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
61	15053326	2203	-1	21	野狐岭黑蜘蛛		71.230827	35.945107	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
62	15053327	2203	-1	21	野狐岭黑蜘蛛		72.895638	34.649403	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
63	15053328	2203	-1	21	野狐岭黑蜘蛛		115.189659	30.305323	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
