NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
编号	随机编号	attr编号	逻辑表编号	阵营编号	名称	称号	x轴坐标	z轴坐标	朝向	脚本编号	重生时间	分组编号	队伍编号	基础AI	AI文件	巡逻路径	商店0	商店1	商店2	商店3	名誉ID	等级	镜像组
0	15052448	38	104300	20	回鹘商人马苏德		111.443405	167.627487	16	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	25	0	
1	15052450	48	104301	20	格特尔	月光长老	193.724426	173.630707	12	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	25	0	
2	15052451	64	104302	20	托娅	月光长老之妻	195.908264	173.413147	16	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	25	0	
3	15052452	5819	104303	20	阿古达	月光萨满	193.388367	164.725021	28	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	25	0	
4	15052454	166	-1	20			209.174088	202.57428	0	0	10000	-1	-1	2	0	-1	-1	-1	-1	-1	-1	25	0	
5	15052455	166	-1	20	 		210.218018	207.190491	0	0	10000	-1	-1	2	0	-1	-1	-1	-1	-1	-1	25	0	
6	15052456	166	-1	20	 		199.720398	200.371857	0	0	10000	-1	-1	2	0	-1	-1	-1	-1	-1	-1	25	0	
7	15052457	166	-1	20	 		202.755188	201.912216	28	0	10000	-1	-1	2	0	-1	-1	-1	-1	-1	-1	25	0	
8	15052458	166	-1	20	 		206.769287	204.089035	12	0	10000	-1	-1	2	0	-1	-1	-1	-1	-1	-1	25	0	
9	15052459	166	-1	20	 		211.912201	203.884094	24	0	10000	-1	-1	2	0	-1	-1	-1	-1	-1	-1	25	0	
10	15052461	12949	104304	20	牧羊人		172	205	8	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	25	0	
11	15052462	167	-1	20	 		106.11113	160.863098	16	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	25	0	
12	15052463	167	-1	20	 		111.520363	174.824402	4	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	25	0	
13	15052464	167	-1	20	 		102.676796	175.680786	16	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	25	0	
14	15052466	5842	104305	20	马苏德护卫		106.360237	171.599258	20	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	25	0	
15	15052469	5842	104306	20	马苏德护卫		115.273079	170.958557	32	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	25	0	
16	15052470	5842	104307	20	马苏德护卫		106.159943	164.761093	16	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	25	0	
17	15052471	12950	104308	20	月光长老长子		179.646362	184.049576	8	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	25	0	
18	15052472	12951	104309	20	月光长老次子		179.695862	181.307266	28	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	25	0	
19	15052370	2604	101212	20	克烈部	王国草原传送人	181	173	27	0	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
20	15052473	5841	-1	21	漠南虎		96.338791	152.762894	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	25	0	
21	15052474	5841	-1	21	漠南虎		93.669434	158.769531	12	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	25	0	
22	15052475	5841	-1	21	漠南虎		196.416489	106.357399	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	25	0	
23	15052476	5841	-1	21	漠南虎		87.637146	153.401077	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	25	0	
24	15052477	5841	-1	21	漠南虎		92.659279	150.829239	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	25	0	
25	15052478	5841	-1	21	漠南虎		93.85672	154.644577	24	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	25	0	
26	15052479	5841	-1	21	漠南虎		96.661209	157.140884	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	25	0	
27	15052480	5841	-1	21	漠南虎		90.106476	156.223495	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	25	0	
28	15052481	5841	-1	21	漠南虎		192.360901	109.964645	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	25	0	
29	15052482	5841	-1	21	漠南虎		191.852966	106.549767	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	25	0	
30	15052483	5841	-1	21	漠南虎		201.063904	103.825256	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	25	0	
31	15052484	5841	-1	21	漠南虎		201.239441	108.050095	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	25	0	
32	15052485	5841	-1	21	漠南虎		197.406235	110.577126	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	25	0	
33	15052486	5841	-1	21	漠南虎		127.592079	99.29631	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	25	0	
