NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
±àºÅ	Ëæ»ú±àºÅ	attr±àºÅ	Âß¼­±í±àºÅ	ÕóÓª±àºÅ	Ãû³Æ	³ÆºÅ	xÖá×ø±ê	zÖá×ø±ê	³¯Ïò	½Å±¾±àºÅ	ÖØÉúÊ±¼ä	·Ö×é±àºÅ	¶ÓÎé±àºÅ	»ù´¡AI	AIÎÄ¼þ	Ñ²ÂßÂ·¾¶	ÉÌµê0	ÉÌµê1	ÉÌµê2	ÉÌµê3	ÃûÓþID	µÈ¼¶	¾µÏñ×é
0	12113506	5863	105350	-1	²¼ÈÊ	Èû±±±ß·À³¤	69.131378	123.648888	0	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
1	15052909	2340	105352	20	°ÍÈÕ	ÃÍ»¢ÓªÊØ±¸	112.302559	216.978867	9	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
2	15052911	2340	105354	20	³àÄÇ	²ÔÀÇÓªÊØ±¸	168.796082	156.645737	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
3	15052987	2340	105356	20	¹þÈÕ²é¸Ç	ÐÛÓ¥ÓªÊØ±¸	102.191269	33.234474	27	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
4	15052917	2340	105357	20	º£ÈÕ¹Å	°×Â¹ÓªÊØ±¸	176.852386	92.489899	17	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
5	15052370	2604	101211	20	ÄËÂù²¿	Íõ¹ú²ÝÔ­´«ËÍÈË	80	131	9	0	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
6	15052983	860	-1	24	Èû±±ÓÂÊ¿		67.582054	127.613289	0	0	10000	-1	-1	5	0	-1	-1	-1	-1	-1	-1	30	0	
7	15052984	860	-1	24	Èû±±ÓÂÊ¿		92.566605	129.990311	0	0	10000	-1	-1	5	0	-1	-1	-1	-1	-1	-1	30	0	
8	15052985	860	-1	24	Èû±±ÓÂÊ¿		67.494423	120.0662	0	0	10000	-1	-1	5	0	-1	-1	-1	-1	-1	-1	30	0	
9	15052986	860	-1	24	Èû±±ÓÂÊ¿		92.52668	116.492531	0	0	10000	-1	-1	5	0	-1	-1	-1	-1	-1	-1	30	0	
10	15052988	860	-1	24	ÐÛÓ¥ÓªÓÂÊ¿		103.886482	31.777187	27	0	10000	-1	-1	5	0	-1	-1	-1	-1	-1	-1	30	0	
11	15052989	860	-1	24	ÐÛÓ¥ÓªÓÂÊ¿		100.032257	31.389248	27	0	10000	-1	-1	5	0	-1	-1	-1	-1	-1	-1	30	0	
