NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
编号	随机编号	attr编号	逻辑表编号	阵营编号	名称	称号	x轴坐标	z轴坐标	朝向	脚本编号	重生时间	分组编号	队伍编号	基础AI	AI文件	巡逻路径	商店0	商店1	商店2	商店3	名誉ID	等级	镜像组
0	15052408	2121	130002	-1	那古谚	昆仑镇国将军	38.29879	131.262756	32	-1	10000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	40	0	
1	6895740	1432	130003	-1	施罗叠	军需官	36.018112	131.470642	36	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
2	6896040	2402	130005	-1	昆仑戍边军		10.575205	130.806503	30	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
3	6896049	2402	130006	-1	昆仑戍边军		12.202579	128.839386	0	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
4	6896075	2402	130007	-1	昆仑戍边军		29.628937	143.213028	0	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
5	6896088	2402	130008	-1	昆仑戍边军		11.140107	140.014465	6	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
6	6896142	2402	130009	-1	昆仑戍边军		12.625274	141.915451	0	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
7	15052395	2402	130010	-1	昆仑戍边军		34.602669	127.618942	32	0	10000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	40	0	
8	15052396	2402	130011	-1	昆仑戍边军		33.082565	131.645935	32	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
9	15052397	2402	130012	-1	昆仑戍边军		28.958351	127.852966	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
10	15052398	2602	130000	-1	昆仑马场	昆仑王国传送人	46.299999	150.300003	3	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
11	7298054	6706	-1	21	探马[10级]	追风部落	61.189972	176.911209	27	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	10	0	
12	7298062	6706	-1	21	探马[10级]	追风部落	36.342247	174.150604	29	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	10	0	
13	7298064	6706	-1	21	探马[10级]	追风部落	40.162209	177.049683	31	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	10	0	
14	7298072	6706	-1	21	探马[10级]	追风部落	50.207443	166.94072	33	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	10	0	
15	7298077	6706	-1	21	探马[10级]	追风部落	46.803146	169.155853	0	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	10	0	
16	7298082	6707	-1	21	探马[10级]	追风部落	48.147667	173.371109	2	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	10	0	
17	7298087	6707	-1	21	探马[10级]	追风部落	43.203552	174.418503	4	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	10	0	
