NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
±àºÅ	Ëæ»ú±àºÅ	attr±àºÅ	Âß¼­±í±àºÅ	ÕóÓª±àºÅ	Ãû³Æ	³ÆºÅ	xÖá×ø±ê	zÖá×ø±ê	³¯Ïò	½Å±¾±àºÅ	ÖØÉúÊ±¼ä	·Ö×é±àºÅ	¶ÓÎé±àºÅ	»ù´¡AI	AIÎÄ¼þ	Ñ²ÂßÂ·¾¶	ÉÌµê0	ÉÌµê1	ÉÌµê2	ÉÌµê3	ÃûÓþID	µÈ¼¶	¾µÏñ×é
0	15052370	2602	130500	-1	À¥ÂØ¹ÅµÀ	À¥ÂØÍõ¹ú´«ËÍÈË	171.800003	131.199997	19	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
1	6822642	2318	130523	-1	ÌØÄ¾¶û	ÌúÃÅæäÊØ½«	136.902084	152.297043	16	-1	1000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	40	0	
2	6822995	2312	130524	-1	º£É½		66.994865	169.268005	27	-1	1000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	40	0	
3	6823257	2810	130549	-1	·¨ÐÅ´óÊ¦		73.073685	37.241043	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
4	6823753	167	-1	-1	      		69.194344	163.83197	27	-1	1000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	40	0	
5	6823759	167	-1	-1	      		62.877495	163.829727	27	-1	1000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	40	0	
6	6824259	86	130525	-1	ÎÚ¶÷Æä	ÉÌÈË	166.446564	147.265137	19	-1	1000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	40	0	
7	6824288	84	130526	-1	ÂòÂíÉÌÈË		164.297501	147.889526	1	-1	1000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	40	0	
8	6824578	83	130527	-1	¶î¶ûµÂÄ¾Í¼	ÉÌÈË	169.368011	140.264084	14	-1	1000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	40	0	
9	6824613	2378	-1	-1	 		167.658646	140.565948	17	-1	1000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	40	0	
10	6824613	2379	-1	-1	 		167.807648	141.832458	19	-1	1000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	40	0	
