NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
±àºÅ	Ëæ»ú±àºÅ	attr±àºÅ	Âß¼­±í±àºÅ	ÕóÓª±àºÅ	Ãû³Æ	³ÆºÅ	xÖá×ø±ê	zÖá×ø±ê	³¯Ïò	½Å±¾±àºÅ	ÖØÉúÊ±¼ä	·Ö×é±àºÅ	¶ÓÎé±àºÅ	»ù´¡AI	AIÎÄ¼þ	Ñ²ÂßÂ·¾¶	ÉÌµê0	ÉÌµê1	ÉÌµê2	ÉÌµê3	ÃûÓþID	µÈ¼¶	¾µÏñ×é
0	15052370	2604	101209	20	ÆòÑÕ²¿	Íõ¹ú²ÝÔ­´«ËÍÈË	97	150	5	0	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
1	15052380	5814	-1	21	ÆòÑÕ×ØÐÜ		200.288666	136.477646	12	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	15	0	
2	15052397	5815	-1	21	Ì©³àÎÚºÚ»¢		52.877167	46.883644	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	15	0	
3	15052399	5815	-1	21	Ì©³àÎÚºÚ»¢		115.203552	49.993622	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	15	0	
4	15052400	5815	-1	21	Ì©³àÎÚºÚ»¢		151.531113	34.6642	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	15	0	
5	15052401	5814	-1	21	ÆòÑÕ×ØÐÜ		136.609528	88.363136	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	15	0	
6	15052403	5814	-1	21	ÆòÑÕ×ØÐÜ		84.429352	93.752861	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	15	0	
7	15052388	5814	-1	21	ÆòÑÕ×ØÐÜ		47.264408	175.68631	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	15	0	
8	15052390	5814	-1	21	ÆòÑÕ×ØÐÜ		51.959007	178.208374	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	15	0	
9	15052395	5814	-1	21	ÆòÑÕ×ØÐÜ		42.546181	96.324814	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	15	0	
