NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
编号	随机编号	attr编号	逻辑表编号	阵营编号	名称	称号	x轴坐标	z轴坐标	朝向	脚本编号	重生时间	分组编号	队伍编号	基础AI	AI文件	巡逻路径	商店0	商店1	商店2	商店3	名誉ID	等级	镜像组
0	15052370	2298	101216	-1	撒马尔罕	领地传送人	125	159	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
1	15123699	9806	-1	21	阿里沙	恒河之王爪牙	32	247	8	300619	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
2	15486648	55	400330	-1	城主巴都斯		127.864716	88.180099	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
3	15487362	1157	400340	20	伊丽	占星巫女	114.989059	103.294403	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
4	679259	1939	400332	20	彼霍顿	察巴尔祭祀	139.426132	103.890793	26	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
5	679352	1914	400341	20	占星师助手		114.042747	102.648193	26	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
6	690570	1911	400342	20	菲斯		104.350922	105.157608	31	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
7	690512	828	-1	-1	   		146.222916	101.841812	7	-1	30000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
8	15566581	39	400343	20	姆西顿		101.584129	112.32476	36	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
9	15566569	1630	400344	20	巴尔察	酿酒师	148.406555	106.477066	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
10	15558324	1693	400338	20	卫城士兵		131.477356	157.47699	27	-1	30000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
11	15558330	1693	400339	20	卫城士兵		131.539597	86.064125	27	-1	30000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
12	15558331	1693	400338	20	卫城士兵		129.062561	133.570526	27	-1	30000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
13	15558351	1693	400339	20	卫城士兵		119.209595	156.923004	27	-1	30000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
14	15558387	1693	400338	20	卫城士兵		123.703369	85.942413	27	-1	30000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
15	15558394	1693	400339	20	卫城士兵		119.700378	123.504837	9	-1	30000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
16	15558396	1693	400338	20	卫城士兵		131.012299	123.567963	9	-1	30000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
17	15558400	1693	400339	20	卫城士兵		121.759644	133.456757	27	-1	30000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
18	15123700	9710	-1	21	突厥黑蝙蝠		33.549187	233.515533	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
19	15123701	9710	-1	21	突厥黑蝙蝠		34.013153	233.495789	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
20	15123702	9710	-1	21	突厥黑蝙蝠		33.741318	232.864014	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
21	15123703	9710	-1	21	突厥黑蝙蝠		33.664909	232.782471	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
22	15123704	9710	-1	21	突厥黑蝙蝠		33.321808	232.719666	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
23	15123705	9710	-1	21	突厥黑蝙蝠		33.454628	232.710266	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
24	15123706	9710	-1	21	突厥黑蝙蝠		33.788826	232.694458	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
25	15123707	9710	-1	21	突厥黑蝙蝠		34.240829	232.576874	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
26	15123708	9710	-1	21	突厥黑蝙蝠		33.300995	232.549683	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
27	15123709	9710	-1	21	突厥黑蝙蝠		33.558075	232.456207	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
28	15123710	9710	-1	21	突厥黑蝙蝠		33.41375	232.378754	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
29	15123711	9710	-1	21	突厥黑蝙蝠		33.460617	232.206909	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
30	15123712	9710	-1	21	突厥黑蝙蝠		33.728233	232.191284	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
31	15123713	9710	-1	21	突厥黑蝙蝠		33.829796	231.932098	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
32	15123714	9710	-1	21	突厥黑蝙蝠		33.618965	231.855682	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
33	15123715	9710	-1	21	突厥黑蝙蝠		110.303238	227.364044	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
34	15123716	9710	-1	21	突厥黑蝙蝠		109.012077	227.225937	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
35	15123717	9710	-1	21	突厥黑蝙蝠		109.891327	226.189621	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
36	15123718	9710	-1	21	突厥黑蝙蝠		109.333382	226.976715	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
37	15123719	9710	-1	21	突厥黑蝙蝠		108.540947	226.315567	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
38	15123720	9710	-1	21	突厥黑蝙蝠		111.463623	226.321198	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
39	15123721	9710	-1	21	突厥黑蝙蝠		108.526306	226.13179	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
40	15123722	9710	-1	21	突厥黑蝙蝠		109.965424	226.283752	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
41	15123723	9710	-1	21	突厥黑蝙蝠		109.562447	226.357834	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
42	15123724	9710	-1	21	突厥黑蝙蝠		109.98838	226.642426	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
43	15123725	9710	-1	21	突厥黑蝙蝠		108.948608	226.330063	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
44	15123726	9710	-1	21	突厥黑蝙蝠		108.907341	226.690201	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
45	15123727	9710	-1	21	突厥黑蝙蝠		109.829071	226.27684	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
46	15123728	9710	-1	21	突厥黑蝙蝠		108.428696	225.760681	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
47	15123729	9710	-1	21	突厥黑蝙蝠		109.11248	225.789505	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
48	15123730	9710	-1	21	突厥黑蝙蝠		83.707077	211.139908	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
49	15123731	9710	-1	21	突厥黑蝙蝠		146.191345	225.290924	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
50	15123732	9710	-1	21	突厥黑蝙蝠		147.437943	228.890625	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
51	15123733	9710	-1	21	突厥黑蝙蝠		148.376953	229.29837	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
52	15123734	9710	-1	21	突厥黑蝙蝠		148.306442	229.08342	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
53	15123735	9710	-1	21	突厥黑蝙蝠		147.620255	228.847916	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
54	15123736	9710	-1	21	突厥黑蝙蝠		147.035538	230.301743	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
55	15123737	9710	-1	21	突厥黑蝙蝠		148.338028	228.388855	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
56	15123738	9710	-1	21	突厥黑蝙蝠		147.18251	227.708511	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
57	15123739	9710	-1	21	突厥黑蝙蝠		147.670639	231.998199	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
58	15123740	9710	-1	21	突厥黑蝙蝠		84.050339	211.057968	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
59	15123741	9710	-1	21	突厥黑蝙蝠		83.969727	211.015152	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
60	15123742	9710	-1	21	突厥黑蝙蝠		148.351944	228.676041	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
61	15123743	9710	-1	21	突厥黑蝙蝠		84.041527	210.929688	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
62	15123744	9710	-1	21	突厥黑蝙蝠		83.688889	210.88562	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
63	15123745	9710	-1	21	突厥黑蝙蝠		148.683716	227.800491	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
64	15123746	9710	-1	21	突厥黑蝙蝠		146.558502	226.800598	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
65	15123747	9710	-1	21	突厥黑蝙蝠		83.754494	210.716293	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
66	15123748	9710	-1	21	突厥黑蝙蝠		83.985489	210.675201	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
67	15123749	9710	-1	21	突厥黑蝙蝠		84.024231	210.675064	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
68	15123750	9710	-1	21	突厥黑蝙蝠		147.136108	229.969391	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
69	15123751	9710	-1	21	突厥黑蝙蝠		84.057167	210.588821	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
