NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
编号	随机编号	attr编号	逻辑表编号	阵营编号	名称	称号	x轴坐标	z轴坐标	朝向	脚本编号	重生时间	分组编号	队伍编号	基础AI	AI文件	巡逻路径	商店0	商店1	商店2	商店3	名誉ID	等级	镜像组
0	1505229	9813	-1	21	密尔顿	条顿之王爪牙	22	225	5	300619	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	95	0	
1	1505233	9831	400604	21	领地图腾	东欧地区	244.5	130.5	18	-1	180000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	95	0	
2	20	2146	400491	20	腓特烈	勃兰登堡选帝侯	29.169268	35.625401	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	95	0	
3	22	2136	400492	20	亨利	萨克森选帝侯	33.729725	30.458935	24	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	95	0	
4	39	1381	400493	20	汉斯	莱茵选帝侯	189.409424	147.188538	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	95	0	
5	55	1380	400494	20	弗朗克	波西米亚选帝侯	189.432007	103.495003	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	95	0	
6	2	2135	400495	20	勃兰登堡骑士		233.970108	213.549271	28	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	95	0	
7	3	2135	400496	20	骑士长		232.004684	223.656189	10	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	95	0	
8	6	2135	400497	20	勃兰登堡骑士		235.405441	224.27684	10	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	95	0	
9	7	2135	400498	20	勃兰登堡骑士		232.025558	32.267109	27	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	95	0	
10	8	2135	400499	20	勃兰登堡骑士		231.86969	43.58997	9	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	95	0	
11	9	2135	400495	20	勃兰登堡骑士		59.381191	65.743591	32	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	95	0	
12	10	2135	400496	20	勃兰登堡骑士		65.063065	96.777313	32	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	95	0	
13	11	2135	400497	20	勃兰登堡骑士		67.602608	93.604301	32	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	95	0	
14	12	2135	400498	20	勃兰登堡骑士		42.674335	51.321041	32	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	95	0	
15	13	2135	400499	20	勃兰登堡骑士		36.622372	45.138046	14	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	95	0	
16	14	2135	400495	20	勃兰登堡骑士		48.886635	55.972973	14	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	95	0	
17	15	2135	400496	20	勃兰登堡骑士		20.095078	47.621105	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	95	0	
18	17	2135	400497	20	勃兰登堡骑士		26.424776	71.224098	4	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	95	0	
19	18	2135	400498	20	勃兰登堡骑士		31.536104	84.759659	4	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	95	0	
20	101	2135	400499	20	勃兰登堡骑士		48.401382	79.616478	16	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	95	0	
21	19	2135	400497	20	勃兰登堡骑士		46.631493	64.779808	16	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	95	0	
22	28	1377	400500	20	萨克森骑士		81.463928	35.992695	20	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	95	0	
23	29	1377	400501	20	萨克森骑士		92.522217	58.589706	32	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	95	0	
24	30	1377	400502	20	萨克森骑士		44.195568	36.637489	14	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	95	0	
25	31	1377	400500	20	萨克森骑士		56.817371	45.950607	14	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	95	0	
26	32	1377	400501	20	萨克森骑士		52.057865	42.393925	32	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	95	0	
27	33	1377	400502	20	萨克森骑士		62.082069	24.428673	24	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	95	0	
28	34	1377	400500	20	萨克森骑士		73.965225	28.19499	24	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	95	0	
29	35	1377	400501	20	萨克森骑士		68.645721	55.455338	32	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	95	0	
30	36	1377	400502	20	萨克森骑士		89.246925	63.015804	32	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	95	0	
31	37	1377	400500	20	萨克森骑士		43.352283	22.598984	28	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	95	0	
32	40	1378	400503	20	莱茵骑士		191.624359	137.944519	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	95	0	
33	41	1378	400504	20	莱茵骑士		193.248352	169.869934	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	95	0	
34	46	1378	400505	20	莱茵骑士		105.294891	131.098206	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	95	0	
35	47	1378	400506	20	莱茵骑士		191.426025	149.635712	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	95	0	
36	48	1378	400507	20	莱茵骑士		194.832565	161.797607	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	95	0	
37	49	1378	400503	20	莱茵骑士		193.248917	165.405289	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	95	0	
38	50	1378	400504	20	莱茵骑士		191.234314	144.299896	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	95	0	
39	65	1378	400505	20	莱茵骑士	 	194.275146	141.009323	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	95	0	
40	68	1378	400506	20	莱茵骑士		196.890411	134.61676	9	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	95	0	
41	69	1378	400507	20	莱茵骑士		216.81311	148.532791	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	95	0	
42	70	1378	400503	20	莱茵骑士		184.009262	132.362228	9	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	95	0	
43	74	1378	400504	20	莱茵骑士		211.421158	141.401993	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	95	0	
44	75	1378	400505	20	莱茵骑士		211.591644	134.238495	9	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	95	0	
45	87	1378	400506	20	莱茵骑士		200.932129	134.375687	9	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	95	0	
46	77	1378	400507	20	莱茵骑士		216.684265	155.225922	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	95	0	
47	112	1378	400503	20	莱茵骑士		158.067795	132.135757	9	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	95	0	
48	113	1378	400504	20	莱茵骑士		152.841507	132.233719	9	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	95	0	
49	114	1378	400505	20	莱茵骑士团长		137.182083	134.567764	9	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	95	0	
50	115	1378	400506	20	莱茵骑士		128.191574	134.225327	9	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	95	0	
51	116	1378	400507	20	莱茵骑士		122.911385	130.178009	9	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	95	0	
