NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
±àºÅ	Ëæ»ú±àºÅ	attr±àºÅ	Âß¼­±í±àºÅ	ÕóÓª±àºÅ	Ãû³Æ	³ÆºÅ	xÖá×ø±ê	zÖá×ø±ê	³¯Ïò	½Å±¾±àºÅ	ÖØÉúÊ±¼ä	·Ö×é±àºÅ	¶ÓÎé±àºÅ	»ù´¡AI	AIÎÄ¼þ	Ñ²ÂßÂ·¾¶	ÉÌµê0	ÉÌµê1	ÉÌµê2	ÉÌµê3	ÃûÓþID	µÈ¼¶	¾µÏñ×é
0	15053370	9804	-1	21	ÍÑÍÑÃÔÊ§	ºãºÓÖ®Íõ×¦ÑÀ	150	234	35	300619	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	65	0	
1	15053371	9828	400601	21	ÁìµØÍ¼ÌÚ	ÖÐÑÇµØÇø	162	35	28	-1	180000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	65	0	
2	15053764	1169	400291	20	ÉÌÈËÈøÏ£¶û		144.4702	72.10408	9	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	65	0	
3	15053780	1951	400290	20	Ò®ÂÉÍòÉ³	ËéÒ¶ÕòÊØ½«¾ü	162.220398	97.115578	28	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	65	0	
4	15053800	38	400293	20	»ï¼Æ°¬×ÎÂòÌá		146.266006	73.3629	8	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
5	15053801	81	400299	20	ÉÌÈË°ÍÒÀ		175.509262	64.830002	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
6	15053769	1950	400295	20	ËéÒ¶ÊØ×ä		167.358795	78.080948	9	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	65	0	
7	15053773	1950	400297	20	ËéÒ¶ÊØ×ä		131.744385	72.999413	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	65	0	
8	15053774	1950	400295	20	ËéÒ¶ÊØ×ä		188.627533	61.033905	36	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	65	0	
9	15053777	1950	400296	20	ËéÒ¶ÊØ×ä		131.903656	54.31205	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	65	0	
10	15053778	1950	400297	20	ËéÒ¶ÊØ×ä		188.767441	48.872429	36	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	65	0	
11	15053781	1950	400295	20	ËéÒ¶ÊØ×ä		164.936966	95.924629	28	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	65	0	
12	15053807	1950	400296	20	ËéÒ¶ÊØ×ä		158.499298	95.892578	28	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	65	0	
13	15053784	1950	400296	20	ËéÒ¶ÊØ×ä		156.119217	77.686989	9	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	65	0	
14	15053802	1950	400295	20	ËéÒ¶ÊØ×ä		227.805908	64.568672	22	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	65	0	
15	15053804	1950	400296	20	ËéÒ¶ÊØ×ä		25	183	2	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	65	0	
16	15053806	1950	400297	20	ËéÒ¶ÊØ×ä		24	175	2	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	65	0	
17	15053782	1950	400296	20	ËéÒ¶ÊØ×ä		232.90741	71.159065	22	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	65	0	
18	15053782	1950	400306	20	ËéÒ¶ÊØ×ä¶Ó³¤		28	173	27	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	65	0	
19	15053782	1950	400307	20	ËéÒ¶ÊØ×ä¶Ó³¤		230	73	16	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	65	0	
20	15053868	5808	-1	20	 		227.669861	175.582596	20	0	10000	-1	-1	2	0	-1	-1	-1	-1	-1	-1	10	0	
21	15053869	304	-1	20	 		229.404663	180.913773	0	0	10000	-1	-1	2	0	-1	-1	-1	-1	-1	-1	60	0	
22	15053870	304	-1	20	 		226.591095	181.138855	0	0	10000	-1	-1	2	0	-1	-1	-1	-1	-1	-1	60	0	
23	15053871	1540	-1	20	 		228.413208	182.1082	0	0	10000	-1	-1	2	0	-1	-1	-1	-1	-1	-1	60	0	
24	15053872	255	-1	20	 		227.228027	183.434647	0	0	10000	-1	-1	2	0	-1	-1	-1	-1	-1	-1	60	0	
25	15053808	1939	400302	20	ËéÒ¶³Ç°¢Ùê		119.721924	225.223206	9	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
26	15053873	837	400307	20	°¢Ùê»¤ÎÀ		117.735031	227.706573	9	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	45	0	
27	15053877	837	400307	20	°¢Ùê»¤ÎÀ		122.042206	227.772583	9	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	45	0	
28	15053843	38	400303	20	´åÃñ°¬¿Ë×Î		227.437286	174.585297	24	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
29	15053845	244	400304	20	·ð¿ßÊ¯½³		40.165916	113.833763	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
30	15053846	245	400305	20	·ð¿ßÄ¾½³		45.081493	117.021423	12	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
31	15053679	9556	-1	21	Î÷ÁÉºìÎ²Ð«		52.62294	24.708221	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	65	0	
