NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
编号	随机编号	attr编号	逻辑表编号	阵营编号	名称	称号	x轴坐标	z轴坐标	朝向	脚本编号	重生时间	分组编号	队伍编号	基础AI	AI文件	巡逻路径	商店0	商店1	商店2	商店3	名誉ID	等级	镜像组
0	15052426	3651	143309	20	大元侍卫亲军		68.010132	170.331802	8	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
1	15052427	3651	143310	20	大元侍卫亲军		85.029884	184.253952	36	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
2	15052428	3651	143311	20	大元侍卫亲军		85.048309	191.261292	36	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
3	15052429	3651	143312	20	大元侍卫亲军		65.131447	215.271988	36	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
4	15052431	3651	143314	20	大元侍卫亲军		73.05201	170.522156	8	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
5	15052510	3651	143307	20	大元侍卫亲军		79.909309	185.734512	20	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
6	15052511	3651	143308	20	大元侍卫亲军		80.088402	190.677994	20	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
7	15052523	3654	143304	20	张大富	小店老板	150.435806	140.291977	16	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
8	15052529	3655	143305	20	王长贵	顾客	160.57399	135.443344	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
9	15052530	3656	143318	20	普照寺和尚		35.87999	226.489258	8	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
10	15052531	3657	143335	20	赵柳儿	张大富之妻	164.000351	147.149918	24	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
11	15052532	3658	143336	20	张翠云	张大富之妹	168.386002	139.378555	16	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
12	15052536	3659	143320	20	无相	普照寺住持	42.487968	184.927811	6	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
13	15052537	3656	143319	20	普照寺和尚		27.515644	219.614532	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
14	15052538	3656	143316	20	普照寺和尚		42.971222	226.61763	8	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
15	15052539	3656	143317	20	普照寺和尚		40.566231	190.302887	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
16	15052540	3656	143318	20	普照寺和尚		40.281864	183.631531	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
17	15052541	3656	143315	20	普照寺和尚		27.391993	212.701599	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
18	15052620	3661	143300	20	郭守敬	平章政事	43.517696	183.081039	24	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
19	15052625	3662	143330	20	张来财		211.78717	201.107117	28	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
