NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
编号	随机编号	attr编号	逻辑表编号	阵营编号	名称	称号	x轴坐标	z轴坐标	朝向	脚本编号	重生时间	分组编号	队伍编号	基础AI	AI文件	巡逻路径	商店0	商店1	商店2	商店3	名誉ID	等级	镜像组
0	1	4821	144806	20	宁采臣	传送使者	60	60	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0
1	2	18398	-1	21	小蓝		77	74	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	0
2	3	18398	-1	21	小蓝		77	74	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	0
3	4	18398	-1	21	小蓝		77	74	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	0
4	5	18398	-1	21	小蓝		77	74	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	0
5	6	18398	-1	21	小蓝		77	74	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	0
6	7	18398	-1	21	小蓝		77	74	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	0
7	8	18398	-1	21	小蓝		77	74	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	0
8	9	18398	-1	21	小蓝		77	74	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	0
9	10	18398	-1	21	小蓝		77	74	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	0
10	11	18398	-1	21	小蓝		77	74	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	0
11	12	18398	-1	21	小蓝		77	74	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	0
12	13	18398	-1	21	小蓝		77	74	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	0
13	14	18398	-1	21	小蓝		77	74	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	0
14	15	18398	-1	21	小蓝		77	74	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	0
15	16	18398	-1	21	小蓝		77	74	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	0
16	17	18398	-1	21	小蓝		77	74	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	0
17	18	18398	-1	21	小蓝		77	74	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	0
18	19	18398	-1	21	小蓝		77	74	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	0
19	20	18398	-1	21	小蓝		77	74	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	0
20	21	18398	-1	21	小蓝		77	74	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	0
21	22	18398	-1	21	小蓝		77	74	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	0
22	23	18398	-1	21	小蓝		77	74	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	0
23	24	18398	-1	21	小蓝		77	74	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	0
24	25	18398	-1	21	小蓝		77	74	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	0
25	26	18398	-1	21	小蓝		77	74	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	0
26	27	18398	-1	21	小蓝		77	74	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	0
27	28	18398	-1	21	小蓝		77	74	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	0
28	29	18398	-1	21	小蓝		77	74	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	0
29	30	18398	-1	21	小蓝		77	74	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	0
30	31	18398	-1	21	小蓝		77	74	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	0
31	32	18398	-1	21	小蓝		77	74	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	0
32	33	18398	-1	21	小蓝		77	74	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	0
33	34	18398	-1	21	小蓝		77	74	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	0
34	35	18398	-1	21	小蓝		77	74	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	0
35	36	18398	-1	21	小蓝		77	74	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	0
36	37	18398	-1	21	小蓝		77	74	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	0
37	38	18398	-1	21	小蓝		77	74	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	0
38	39	18398	-1	21	小蓝		77	74	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	0
39	40	18398	-1	21	小蓝		77	74	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	0
40	41	18398	-1	21	小蓝		77	74	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	65	0
41	42	18398	-1	21	小蓝		55	121	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	65	0
42	43	18398	-1	21	小蓝		55	121	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	65	0
43	44	18398	-1	21	小蓝		55	121	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	65	0
44	45	18398	-1	21	小蓝		55	121	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	65	0
45	46	18398	-1	21	小蓝		55	121	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	65	0
46	47	18398	-1	21	小蓝		55	121	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	65	0
47	48	18398	-1	21	小蓝		55	121	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	65	0
48	49	18398	-1	21	小蓝		55	121	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	65	0
49	50	18398	-1	21	小蓝		55	121	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	65	0
50	51	18398	-1	21	小蓝		55	121	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	65	0
51	52	18398	-1	21	小蓝		55	121	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	65	0
52	53	18398	-1	21	小蓝		55	121	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	65	0
53	54	18398	-1	21	小蓝		55	121	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	65	0
54	55	18398	-1	21	小蓝		55	121	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	65	0
55	56	18398	-1	21	小蓝		55	121	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	65	0
56	57	18398	-1	21	小蓝		55	121	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	65	0
57	58	18398	-1	21	小蓝		55	121	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	65	0
58	59	18398	-1	21	小蓝		55	121	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	65	0
59	60	18398	-1	21	小蓝		55	121	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	65	0
60	61	18398	-1	21	小蓝		55	121	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	65	0
61	62	18398	-1	21	小蓝		55	121	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	65	0
62	63	18398	-1	21	小蓝		55	121	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	65	0
63	64	18398	-1	21	小蓝		55	121	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	65	0
64	65	18398	-1	21	小蓝		55	121	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	65	0
65	66	18398	-1	21	小蓝		55	121	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	65	0
66	67	18398	-1	21	小蓝		55	121	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	65	0
67	68	18398	-1	21	小蓝		55	121	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	65	0
68	69	18398	-1	21	小蓝		55	121	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	65	0
69	70	18398	-1	21	小蓝		55	121	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	65	0
70	71	18398	-1	21	小蓝		55	121	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	65	0
71	72	18398	-1	21	小蓝		55	121	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	65	0
72	73	18398	-1	21	小蓝		55	121	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	65	0
73	74	18398	-1	21	小蓝		55	121	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	65	0
74	75	18398	-1	21	小蓝		55	121	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	65	0
75	76	18398	-1	21	小蓝		55	121	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	65	0
76	77	18398	-1	21	小蓝		55	121	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	65	0
77	78	18398	-1	21	小蓝		55	121	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	65	0
78	79	18398	-1	21	小蓝		55	121	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	65	0
79	80	18398	-1	21	小蓝		55	121	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	65	0
80	81	18398	-1	21	小蓝		55	121	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	70	0
81	82	18398	-1	21	小蓝		83	148	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	70	0
82	83	18398	-1	21	小蓝		83	148	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	70	0
83	84	18398	-1	21	小蓝		83	148	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	70	0
84	85	18398	-1	21	小蓝		83	148	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	70	0
85	86	18398	-1	21	小蓝		83	148	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	70	0
86	87	18398	-1	21	小蓝		83	148	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	70	0
87	88	18398	-1	21	小蓝		83	148	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	70	0
88	89	18398	-1	21	小蓝		83	148	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	70	0
89	90	18398	-1	21	小蓝		83	148	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	70	0
90	91	18398	-1	21	小蓝		83	148	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	70	0
91	92	18398	-1	21	小蓝		83	148	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	70	0
92	93	18398	-1	21	小蓝		83	148	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	70	0
93	94	18398	-1	21	小蓝		83	148	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	70	0
94	95	18398	-1	21	小蓝		83	148	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	70	0
95	96	18398	-1	21	小蓝		83	148	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	70	0
96	97	18398	-1	21	小蓝		83	148	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	70	0
97	98	18398	-1	21	小蓝		83	148	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	70	0
98	99	18398	-1	21	小蓝		83	148	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	70	0
99	100	18398	-1	21	小蓝		83	148	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	70	0
100	101	18398	-1	21	小蓝		83	148	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	70	0
101	102	18398	-1	21	小蓝		83	148	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	70	0
102	103	18398	-1	21	小蓝		83	148	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	70	0
103	104	18398	-1	21	小蓝		83	148	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	70	0
104	105	18398	-1	21	小蓝		83	148	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	70	0
105	106	18398	-1	21	小蓝		83	148	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	70	0
106	107	18398	-1	21	小蓝		83	148	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	70	0
107	108	18398	-1	21	小蓝		83	148	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	70	0
108	109	18398	-1	21	小蓝		83	148	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	70	0
109	110	18398	-1	21	小蓝		83	148	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	70	0
110	111	18398	-1	21	小蓝		83	148	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	70	0
111	112	18398	-1	21	小蓝		83	148	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	70	0
112	113	18398	-1	21	小蓝		83	148	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	70	0
113	114	18398	-1	21	小蓝		83	148	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	70	0
114	115	18398	-1	21	小蓝		83	148	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	70	0
115	116	18398	-1	21	小蓝		83	148	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	70	0
116	117	18398	-1	21	小蓝		83	148	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	70	0
117	118	18398	-1	21	小蓝		83	148	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	70	0
118	119	18398	-1	21	小蓝		83	148	27	300640	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	70	0
