NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
编号	随机编号	attr编号	逻辑表编号	阵营编号	名称	称号	x轴坐标	z轴坐标	朝向	脚本编号	重生时间	分组编号	队伍编号	基础AI	AI文件	巡逻路径	商店0	商店1	商店2	商店3	名誉ID	等级	镜像组
0	235961	9740	129730	6	吴殿后	大元联军离场传送	228.755203	139.005386	18	-1	1000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	100	0	
1	236942	9750	129731	6	窦给吾	大元联军统帅	215.79924	123.8	18	-1	60000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	100	0	
2	236955	9740	129732	6	洪先锋	大元联军本阵传送	210	117.2	18	-1	60000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	100	0	
3	236992	9740	129733	6	武威远	大元左卫军传送	201	164	27	-1	60000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	100	0	
4	237006	9740	129734	6	旷复国	大元右卫军传送	201	72	32	-1	60000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	100	0	
5	237014	9748	129735	5	阿斯格	汗国左翼军传送	56	90	5	-1	60000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	100	0	
6	237028	9748	129736	5	左思录	汗国右翼军传送	56	172	27	-1	60000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	100	0	
7	237043	9748	129737	5	祢退之	汗国联军离场传送	24	140	0	-1	1000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	100	0	
8	237057	9739	129738	5	全纳来	汗国联军统帅	37.8	124.1	0	-1	60000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	100	0	
9	237066	9748	129739	5	蓝向前	汗国联军本阵传送	45	117	0	-1	60000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	100	0	
10	237067	9742	-1	20	 	1	135	113	23	-1	60000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	100	0	
11	237068	9742	-1	20	 	2	135	135	13	-1	60000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	100	0	
12	237069	9743	-1	20	 	3	117	135	5	-1	60000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	100	0	
13	237070	9743	-1	20	 	4	117	113	32	-1	60000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	100	0	
14	237067	9742	-1	20	 	5	220	115	18	-1	60000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	100	0	
15	237068	9742	-1	20	 	6	220	132	18	-1	60000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	100	0	
16	237069	9743	-1	20	 	7	31	119	0	-1	60000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	100	0	
17	237070	9743	-1	20	 	8	31	136	0	-1	60000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	100	0	
