NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
编号	随机编号	attr编号	逻辑表编号	阵营编号	名称	称号	x轴坐标	z轴坐标	朝向	脚本编号	重生时间	分组编号	队伍编号	基础AI	AI文件	巡逻路径	商店0	商店1	商店2	商店3	名誉ID	等级	镜像组
0	1	65345	-1	21	日本倭寇		205	70	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	150	0
1	2	65345	-1	21	日本倭寇		205	70	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	150	0
2	3	65345	-1	21	日本倭寇		205	70	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	150	0
3	4	65345	-1	21	日本倭寇		205	70	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	150	0
4	5	65345	-1	21	日本倭寇		205	70	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	150	0
5	6	65345	-1	21	日本倭寇		205	70	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	150	0
6	7	65345	-1	21	日本倭寇		205	70	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	150	0
7	8	65345	-1	21	日本倭寇		205	70	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	150	0
8	9	65345	-1	21	日本倭寇		205	70	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	150	0
9	10	65345	-1	21	日本倭寇		205	70	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	150	0
10	11	65345	-1	21	日本倭寇		205	70	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	150	0
11	12	65345	-1	21	日本倭寇		205	70	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	150	0
12	13	65345	-1	21	日本倭寇		235	70	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	150	0
13	14	65345	-1	21	日本倭寇		235	70	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	150	0
14	15	65345	-1	21	日本倭寇		235	70	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	150	0
15	16	65345	-1	21	日本倭寇		235	70	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	150	0
16	17	65345	-1	21	日本倭寇		235	70	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	150	0
17	18	65345	-1	21	日本倭寇		235	70	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	150	0
18	19	65345	-1	21	日本倭寇		235	70	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	150	0
19	20	65345	-1	21	日本倭寇		235	70	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	150	0
20	21	65345	-1	21	日本倭寇		235	70	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	150	0
21	22	65345	-1	21	日本倭寇		235	70	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	150	0
22	23	65345	-1	21	日本倭寇		235	70	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	150	0
23	24	65345	-1	21	日本倭寇		235	70	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	150	0
24	25	65345	-1	21	日本倭寇		235	104	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	150	0
25	26	65345	-1	21	日本倭寇		235	104	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	150	0
26	27	65345	-1	21	日本倭寇		235	104	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	150	0
27	28	65345	-1	21	日本倭寇		235	104	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	150	0
28	29	65345	-1	21	日本倭寇		235	104	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	150	0
29	30	65345	-1	21	日本倭寇		235	104	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	150	0
30	31	65345	-1	21	日本倭寇		235	104	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	150	0
31	32	65345	-1	21	日本倭寇		235	104	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	150	0
32	33	65345	-1	21	日本倭寇		235	104	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	150	0
33	34	65345	-1	21	日本倭寇		235	104	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	150	0
34	35	65345	-1	21	日本倭寇		235	104	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	150	0
35	36	65345	-1	21	日本倭寇		235	104	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	150	0
36	37	65345	-1	21	日本倭寇		235	137	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	150	0
37	38	65345	-1	21	日本倭寇		235	137	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	150	0
38	39	65345	-1	21	日本倭寇		235	137	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	150	0
39	40	65345	-1	21	日本倭寇		235	137	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	150	0
40	41	65345	-1	21	日本倭寇		235	137	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	150	0
41	42	65345	-1	21	日本倭寇		235	137	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	150	0
42	43	65345	-1	21	日本倭寇		235	137	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	150	0
43	44	65345	-1	21	日本倭寇		235	137	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	150	0
44	45	65345	-1	21	日本倭寇		235	137	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	150	0
45	46	65345	-1	21	日本倭寇		235	137	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	150	0
46	47	65345	-1	21	日本倭寇		235	137	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	150	0
