NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
INDEX	卡牌颜色（（1白、2绿、3蓝、4黄、5紫、6红）	星级	辅卡总星数4的成功几率	总星数5的成功几率	总星数6的成功几率	总星数7的成功几率	总星数8的成功几率	总星数9的成功几率	总星数10的成功几率	总星数11的成功几率	总星数12的成功几率	总星数13的成功几率	总星数14的成功几率	总星数15的成功几率	总星数16的成功几率	总星数17的成功几率	总星数18的成功几率	总星数19的成功几率	总星数20的成功几率	保证金额（金卡）	固定消耗（银卡）
1	1	2	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	240
2	1	3	30	45	60	75	90	99	99	99	99	99	99	99	99	99	99	99	99	200	480
3	1	4	10	20	30	40	50	60	70	80	90	99	99	99	99	99	99	99	99	300	720
4	1	5	5	12	19	26	33	40	47	54	61	68	75	83	90	99	99	99	99	500	960
5	2	2	80	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	500	960
6	2	3	30	45	60	75	90	99	99	99	99	99	99	99	99	99	99	99	99	700	1920
7	2	4	10	20	30	40	50	60	70	80	90	99	99	99	99	99	99	99	99	900	2880
8	2	5	5	12	19	26	33	40	47	54	61	68	75	83	90	99	99	99	99	1200	3840
9	3	2	80	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	1200	2160
10	3	3	30	45	60	75	90	99	99	99	99	99	99	99	99	99	99	99	99	1500	4320
11	3	4	10	20	30	40	50	60	70	80	90	99	99	99	99	99	99	99	99	1800	6480
12	3	5	5	12	19	26	33	40	47	54	61	68	75	83	90	99	99	99	99	2100	8640
13	4	2	80	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	2100	3840
14	4	3	30	45	60	75	90	99	99	99	99	99	99	99	99	99	99	99	99	2500	7680
15	4	4	10	20	30	40	50	60	70	80	90	99	99	99	99	99	99	99	99	2900	11520
16	4	5	5	12	19	26	33	40	47	54	61	68	75	83	90	99	99	99	99	3400	15360
17	5	2	80	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	3400	4800
18	5	3	30	45	60	75	90	99	99	99	99	99	99	99	99	99	99	99	99	4000	9600
19	5	4	10	20	30	40	50	60	70	80	90	99	99	99	99	99	99	99	99	4600	14400
20	5	5	5	12	19	26	33	40	47	54	61	68	75	83	90	99	99	99	99	5200	19200
21	6	2	80	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	5200	6000
22	6	3	30	45	60	75	90	99	99	99	99	99	99	99	99	99	99	99	99	6000	12000
23	6	4	10	20	30	40	50	60	70	80	90	99	99	99	99	99	99	99	99	6800	18000
24	6	5	5	12	19	26	33	40	47	54	61	68	75	83	90	99	99	99	99	7600	24000
25	7	2	80	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	8600	11000
26	7	3	30	45	60	75	90	99	99	99	99	99	99	99	99	99	99	99	99	9600	17000
27	7	4	10	20	30	40	50	60	70	80	90	99	99	99	99	99	99	99	99	10600	25000
28	7	5	5	12	19	26	33	40	47	54	61	68	75	83	90	99	99	99	99	11600	29000
