NUM	TEXT	NUM	NUM
物品ID编号	物品说明	目标牌型	所需银币
11970001	交换两个牌的牌型	-1	10000
11970021	随机牌型	5	10000
11970022	随机牌型	12	10000
11970023	任意非字牌加箭牌	13	10000
11980015	东	15	10000
11980016	南	16	10000
11980017	西	17	10000
11980018	北	18	10000
11980019	中	19	10000
11980020	发	20	10000
11980021	白	21	10000
11980031	1条	31	10000
11980032	2条	32	10000
11980033	3条	33	10000
11980034	4条	34	10000
11980035	5条	35	10000
11980036	6条	36	10000
11980037	7条	37	10000
11980038	8条	38	10000
11980039	9条	39	10000
11980041	1筒	41	10000
11980042	2筒	42	10000
11980043	3筒	43	10000
11980044	4筒	44	10000
11980045	5筒	45	10000
11980046	6筒	46	10000
11980047	7筒	47	10000
11980048	8筒	48	10000
11980049	9筒	49	10000
11980051	1万	51	10000
11980052	2万	52	10000
11980053	3万	53	10000
11980054	4万	54	10000
11980055	5万	55	10000
11980056	6万	56	10000
11980057	7万	57	10000
11980058	8万	58	10000
11980059	9万	59	10000
11980060	黄金东	65	10000
11980061	黄金南	66	10000
11980062	黄金西	67	10000
11980063	黄金北	68	10000
11980064	黄金中	69	10000
11980065	黄金发	70	10000
11980066	黄金白	71	10000
11980067	黄金一条	81	10000
11980068	黄金二条	82	10000
11980069	黄金三条	83	10000
11980070	黄金四条	84	10000
11980071	黄金五条	85	10000
11980072	黄金六条	86	10000
11980073	黄金七条	87	10000
11980074	黄金八条	88	10000
11980075	黄金九条	89	10000
11980076	黄金一筒	91	10000
11980077	黄金二筒	92	10000
11980078	黄金三筒	93	10000
11980079	黄金四筒	94	10000
11980080	黄金五筒	95	10000
11980081	黄金六筒	96	10000
11980082	黄金七筒	97	10000
11980083	黄金八筒	98	10000
11980084	黄金九筒	99	10000
11980085	黄金一万	101	10000
11980086	黄金二万	102	10000
11980087	黄金三万	103	10000
11980088	黄金四万	104	10000
11980089	黄金五万	105	10000
11980090	黄金六万	106	10000
11980091	黄金七万	107	10000
11980092	黄金八万	108	10000
11980093	黄金九万	109	10000
11980094	黄金东	115	10000
11980095	黄金南	116	10000
11980096	黄金西	117	10000
11980097	黄金北	118	10000
11980098	黄金中	119	10000
11980099	黄金发	120	10000
11980100	黄金白	121	10000
11980101	黄金一条	131	10000
11980102	黄金二条	132	10000
11980103	黄金三条	133	10000
11980104	黄金四条	134	10000
11980105	黄金五条	135	10000
11980106	黄金六条	136	10000
11980107	黄金七条	137	10000
11980108	黄金八条	138	10000
11980109	黄金九条	139	10000
11980110	黄金一筒	141	10000
11980111	黄金二筒	142	10000
11980112	黄金三筒	143	10000
11980113	黄金四筒	144	10000
11980114	黄金五筒	145	10000
11980115	黄金六筒	146	10000
11980116	黄金七筒	147	10000
11980117	黄金八筒	148	10000
11980118	黄金九筒	149	10000
11980119	黄金一万	151	10000
11980120	黄金二万	152	10000
11980121	黄金三万	153	10000
11980122	黄金四万	154	10000
11980123	黄金五万	155	10000
11980124	黄金六万	156	10000
11980125	黄金七万	157	10000
11980126	黄金八万	158	10000
11980127	黄金九万	159	10000
11980128	黄金东	165	10000
11980129	黄金南	166	10000
11980130	黄金西	167	10000
11980131	黄金北	168	10000
11980132	黄金中	169	10000
11980133	黄金发	170	10000
11980134	黄金白	171	10000
11980135	黄金一条	181	10000
11980136	黄金二条	182	10000
11980137	黄金三条	183	10000
11980138	黄金四条	184	10000
11980139	黄金五条	185	10000
11980140	黄金六条	186	10000
11980141	黄金七条	187	10000
11980142	黄金八条	188	10000
11980143	黄金九条	189	10000
11980144	黄金一筒	191	10000
11980145	黄金二筒	192	10000
11980146	黄金三筒	193	10000
11980147	黄金四筒	194	10000
11980148	黄金五筒	195	10000
11980149	黄金六筒	196	10000
11980150	黄金七筒	197	10000
11980151	黄金八筒	198	10000
11980152	黄金九筒	199	10000
11980153	黄金一万	201	10000
11980154	黄金二万	202	10000
11980155	黄金三万	203	10000
11980156	黄金四万	204	10000
11980157	黄金五万	205	10000
11980158	黄金六万	206	10000
11980159	黄金七万	207	10000
11980160	黄金八万	208	10000
11980161	黄金九万	209	10000
11980162	黄金东	215	10000
11980163	黄金南	216	10000
11980164	黄金西	217	10000
11980165	黄金北	218	10000
11980166	黄金中	219	10000
11980167	黄金发	220	10000
11980168	黄金白	221	10000
11980169	黄金一条	231	10000
11980170	黄金二条	232	10000
11980171	黄金三条	233	10000
11980172	黄金四条	234	10000
11980173	黄金五条	235	10000
11980174	黄金六条	236	10000
11980175	黄金七条	237	10000
11980176	黄金八条	238	10000
11980177	黄金九条	239	10000
11980178	黄金一筒	241	10000
11980179	黄金二筒	242	10000
11980180	黄金三筒	243	10000
11980181	黄金四筒	244	10000
11980182	黄金五筒	245	10000
11980183	黄金六筒	246	10000
11980184	黄金七筒	247	10000
11980185	黄金八筒	248	10000
11980186	黄金九筒	249	10000
11980187	黄金一万	251	10000
11980188	黄金二万	252	10000
11980189	黄金三万	253	10000
11980190	黄金四万	254	10000
11980191	黄金五万	255	10000
11980192	黄金六万	256	10000
11980193	黄金七万	257	10000
11980194	黄金八万	258	10000
11980195	黄金九万	259	10000
11980196	黄金东	265	10000
11980197	黄金南	266	10000
11980198	黄金西	267	10000
11980199	黄金北	268	10000
11980200	黄金中	269	10000
11980201	黄金发	270	10000
11980202	黄金白	271	10000
11980203	黄金一条	281	10000
11980204	黄金二条	282	10000
11980205	黄金三条	283	10000
11980206	黄金四条	284	10000
11980207	黄金五条	285	10000
11980208	黄金六条	286	10000
11980209	黄金七条	287	10000
11980210	黄金八条	288	10000
11980211	黄金九条	289	10000
11980212	黄金一筒	291	10000
11980213	黄金二筒	292	10000
11980214	黄金三筒	293	10000
11980215	黄金四筒	294	10000
11980216	黄金五筒	295	10000
11980217	黄金六筒	296	10000
11980218	黄金七筒	297	10000
