NUM	NUM	NUM	FLOAT	FLOAT	NUM	TEXT	TEXT	NUM	FLOAT	FLOAT	NUM	TEXT	TEXT	NUM
编号	轮数	等级	金卡	银卡	可兑换次数	贵族等级	增加次数	等级	金卡	银卡	可兑换次数	贵族等级	增加次数	标记（0金换银，1金换金）
1	1	20	1000	100000	1	1|2|3|4|5|6|7|8|9|10	0|0|0|0|0|0|0|0|0|0	60	1000	100000	1	1|2|3|4|5|6|7|8|9|10	0|0|0|0|0|0|0|0|0|0	0
2	2	20	1500	100000	1	1|2|3|4|5|6|7|8|9|10	0|0|0|0|0|0|0|0|0|0	60	1500	100000	1	1|2|3|4|5|6|7|8|9|10	0|0|0|0|0|0|0|0|0|0	0
3	3	20	2000	100000	1	1|2|3|4|5|6|7|8|9|10	0|0|0|1|1|1|3|3|3|3	60	2000	100000	2	1|2|3|4|5|6|7|8|9|10	0|0|0|1|1|1|3|3|3|3	0
4	4	20	3000	100000	2	1|2|3|4|5|6|7|8|9|10	0|0|0|1|1|1|4|4|4|4	60	3000	100000	4	1|2|3|4|5|6|7|8|9|10	0|0|0|1|1|1|3|3|3|3	0
5	5	20	4000	100000	5	1|2|3|4|5|6|7|8|9|10	0|0|0|1|1|1|4|4|4|4	60	4000	100000	7	1|2|3|4|5|6|7|8|9|10	0|0|0|1|1|1|3|3|3|3	0
6	6	20	5000	100000	10	1|2|3|4|5|6|7|8|9|10	0|0|0|5|5|5|15|15|15|15	60	5000	100000	15	1|2|3|4|5|6|7|8|9|10	0|0|0|5|5|5|25|25|25|25	0
7	7	20	6000	100000	10	1|2|3|4|5|6|7|8|9|10	0|0|0|5|5|5|15|15|15|15	60	6000	100000	15	1|2|3|4|5|6|7|8|9|10	0|0|0|5|5|5|25|25|25|25	0
8	8	20	7000	100000	20	1|2|3|4|5|6|7|8|9|10	0|0|0|5|5|5|25|25|25|25	60	7000	100000	30	1|2|3|4|5|6|7|8|9|10	0|0|0|10|10|10|30|30|30|30	0
9	9	20	8000	100000	20	1|2|3|4|5|6|7|8|9|10	0|0|0|5|5|5|25|25|25|25	60	8000	100000	30	1|2|3|4|5|6|7|8|9|10	0|0|0|10|10|10|30|30|30|30	0
10	10	20	9000	100000	30	1|2|3|4|5|6|7|8|9|10	0|0|0|5|5|5|40|40|40|40	60	9000	100000	40	1|2|3|4|5|6|7|8|9|10	0|0|0|10|10|10|60|60|60|60	0
# 金换金														
11	1	20	1000	2000	1	1|2|3|4|5|6|7|8|9|10	0|0|0|0|0|0|0|0|0|0	60	1000	2000	1	1|2|3|4|5|6|7|8|9|10	0|0|0|0|0|0|0|0|0|0	1
12	2	20	1000	1800	1	1|2|3|4|5|6|7|8|9|10	0|0|0|0|0|0|0|0|0|0	60	1000	1800	2	1|2|3|4|5|6|7|8|9|10	0|0|0|0|0|0|0|0|0|0	1
13	3	20	1000	1600	2	1|2|3|4|5|6|7|8|9|10	0|0|0|1|1|1|1|1|1|1	60	1000	1600	3	1|2|3|4|5|6|7|8|9|10	0|0|0|1|1|1|1|1|1|1	1
14	4	20	1000	1400	3	1|2|3|4|5|6|7|8|9|10	0|0|0|1|1|1|2|2|2|2	60	1000	1400	4	1|2|3|4|5|6|7|8|9|10	0|0|0|1|1|1|2|2|2|2	1
15	5	20	1000	1200	4	1|2|3|4|5|6|7|8|9|10	0|0|0|1|1|1|2|2|3|3	60	1000	1200	5	1|2|3|4|5|6|7|8|9|10	0|0|0|1|1|1|2|2|3|3	1
