NUM	NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	TEXT	TEXT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
 ID	分类ID	装备类型(0车身，1装甲/御行甲，2底座，3发动机/机枢，4履带/疾风辕，5火炮/龙击炮，6雷达/精准仪，7预警/嘹望窗，8中控/重击器）	编号	装备点(0车身，1装甲/御行甲，2底座，3发动机/机枢，4履带/疾风辕，5火炮/龙击炮，6雷达/精准仪，7预警/嘹望窗，8中控/重击器）	适应规则	装备名称	"装备名称颜色类型(白:1,绿:2,蓝:3,黄:4,紫:5橙)"	装备描述	装备图标	装备模型	要求人物等级	天赋等级	个人等级	价格	耐久	有效期（单位小时）	装备天然孔数	最大孔数	装备天然星数	承重	负重	电能	电耗	攻	防	血	蓝	"蓝属性是否随机（0，否,蓝属性直接读取本表中的数据；1，是，蓝属性要读去属性随机表的数据，读取的ID在下一个字段）"	随机的数字段ID	属性条目下限	属性条目上限	附加蓝属性1	蓝属性1的值	附加蓝属性2	蓝属性2的值	附加蓝属性3	蓝属性3的值	附加蓝属性4	蓝属性4的值	附加蓝属性5	蓝属性5的值	附加蓝属性6	蓝属性6的值	附加蓝属性7	蓝属性7的值	附加蓝属性8	蓝属性8的值	附加蓝属性9	蓝属性9的值	附加蓝属性10	蓝属性10的值	附加蓝属性11	蓝属性11的值	附加蓝属性12	蓝属性12的值	附加蓝属性13	蓝属性13的值	附加蓝属性14	蓝属性14的值	附加蓝属性15	蓝属性15的值	附加蓝属性16	蓝属性16的值	附加蓝属性17	蓝属性17的值	附加蓝属性18	蓝属性18的值	附加蓝属性19	蓝属性19的值	附加蓝属性20	蓝属性20的值	附加蓝属性21	蓝属性21的值	附加蓝属性22	蓝属性22的值	附加参数类型	参数	消耗量	技能数量	技能1id	技能2id
20000001	20	0	1	0	1	车身·风翼战车	1		KHan2_zhanche_03_3	2818	70	-1	-1	100	200	-1	7	7	10	100	0	100	0	300	100	300	200	1	1	2	4	1	1	2	1	5	1	7	1	0	1	3	1	4	1	6	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1
20000002	20	0	2	0	1	车身·独冲战车	1		KHan2_zhanche_03_4	2820	70	-1	-1	100	200	-1	7	7	10	100	0	100	0	300	100	300	200	1	1	2	4	1	1	2	1	5	1	7	1	0	1	3	1	4	1	6	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1
20000003	20	0	3	0	1	车身·奎甲战车	1		KHan2_zhanche_03_2	2814	70	-1	-1	100	200	-1	7	7	10	100	0	100	0	300	100	300	200	1	1	2	4	1	1	2	1	5	1	7	1	0	1	3	1	4	1	6	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1
20000004	20	0	4	0	1	车身·雷爪战车	1		KHan2_zhanche_03_1	2823	70	-1	-1	100	200	-1	7	7	10	100	0	100	0	300	100	300	200	1	1	2	4	1	1	2	1	5	1	7	1	0	1	3	1	4	1	6	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1
20000005	20	0	5	0	1	车身·新手战车	1		KHan2_zhanche_03_2	2824	70	-1	-1	100	200	-1	7	7	10	100	0	100	0	200	70	200	140	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1
20000006	20	0	6	0	1	车身·小强	1		KHan2_zhanche_03_2	2824	70	-1	-1	100	200	-1	7	7	10	100	0	100	0	20000	70	90000	140	0	-1	2	2	4	50	6	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1
20000007	20	0	7	0	1	车身·QQ会员专属战车	1		KHan2_zhanche_tubiao_01_1	2833	70	-1	-1	100	200	-1	7	7	10	100	0	100	0	300	100	300	200	1	1	2	4	1	1	2	1	5	1	7	1	0	1	3	1	4	1	6	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1
20000008	20	0	8	0	1	车身·神·轻风战车	5		KHan2_zhanche_08_9	2822	70	-1	-1	100	200	-1	7	7	10	100	0	100	0	750	100	15000	150	0	-1	2	6	2	3600	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1
20000009	20	0	9	0	1	车身·神·踏云战车	5		KHan2_zhanche_08_8	2825	70	-1	-1	100	200	-1	7	7	10	100	0	100	0	1050	140	21000	210	0	-1	2	6	2	5040	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1
