NUM	NUM	NUM	NUM	TEXT	TEXT	TEXT	NUM	NUM	TEXT	TEXT	NUM	TEXT	TEXT	NUM	TEXT	NUM	TEXT	NUM	TEXT
编号	天介绍	月介绍	所有人可见，1肯定，0否定	可见等级区间	国家限制	帮会限制	家族限制	类型，0是循环任务，1为活动日程	名字	月限制	以星期限制或日期限制，0表示星期，1表示日期	时限（星期几或日期）	时段限制	MD标识方式 0:按天标识 1:按周标识	MD变量	次数上限	描述	发布NPC编号	图片
0	0	0	1	20~160	0	0	0	0	【队伍】三环副本	0	1	0	0	1	209|0|9|209|9|7	21	经验副本，共享每周21次	123744	
1	0	0	1	25~160	0	0	0	0	【队伍】藏宝洞	0	1	0	0	0	204|16|9|204|25|7	5	这里有各种道具奖励	123711	
2	0	0	1	20~160	1	0	0	0	【队伍】三环副本	0	1	0	0	1	209|0|9|209|9|7	21	经验副本，共享每周21次	126040	
3	0	0	1	25~160	1	0	0	0	【队伍】藏宝洞	0	1	0	0	0	204|16|9|204|25|7	5	这里有各种道具奖励	126010	
4	0	0	1	20~160	2	0	0	0	【队伍】三环副本	0	1	0	0	1	209|0|9|209|9|7	21	经验副本，共享每周21次	129041	
5	0	0	1	25~160	2	0	0	0	【队伍】藏宝洞	0	1	0	0	0	204|16|9|204|25|7	5	这里有各种道具奖励	129008	
6	0	0	1	20~160	3	0	0	0	【队伍】三环副本	0	1	0	0	1	209|0|9|209|9|7	21	经验副本，共享每周21次	132040	
7	0	0	1	25~160	3	0	0	0	【队伍】藏宝洞	0	1	0	0	0	204|16|9|204|25|7	5	这里有各种道具奖励	132010	
8	0	0	1	30~160	0	1~10	0	0	【帮会】帮会暗战	0	1	0	0	0	16|16|9|16|25|7	1	去消灭指定的怪物吧	123723	
9	0	0	1	30~160	1	1~10	0	0	【帮会】帮会暗战	0	1	0	0	0	16|16|9|16|25|7	1	去消灭指定的怪物吧	126020	
10	0	0	1	30~160	2	1~10	0	0	【帮会】帮会暗战	0	1	0	0	0	16|16|9|16|25|7	1	去消灭指定的怪物吧	129020	
11	0	0	1	30~160	3	1~10	0	0	【帮会】帮会暗战	0	1	0	0	0	16|16|9|16|25|7	1	去消灭指定的怪物吧	132020	
12	0	0	1	20~160	0	1~10	0	0	【帮会】帮会贡品	0	1	0	0	0	2|22|9|91|27|4	10	为帮会提供人力物力	123723	
13	0	0	1	20~160	1	1~10	0	0	【帮会】帮会贡品	0	1	0	0	0	2|22|9|91|27|4	10	为帮会提供人力物力	126020	
14	0	0	1	20~160	2	1~10	0	0	【帮会】帮会贡品	0	1	0	0	0	2|22|9|91|27|4	10	为帮会提供人力物力	129020	
15	0	0	1	20~160	3	1~10	0	0	【帮会】帮会贡品	0	1	0	0	0	2|22|9|91|27|4	10	为帮会提供人力物力	132020	
16	0	0	1	25~160	0	0	0	0	【个人】内政任务	0	1	0	0	0	0|22|9|1|6|8	10	超高经验，千万别放弃	123745	
