NUM	NUM	NUM	NUM	NUM
物品Id	返还成就类型	返还数值	返还物品ID	返还物品数量
10014001	4	1050	0	0
10014002	4	7560	0	0
10014003	4	25200	0	0
10014004	4	60760	0	0
10019600	1	42000	0	0
10019700	10	756	0	0
10019701	10	2268	0	0
10019801	4	1500	0	0
10019802	4	10800	0	0
10019803	4	36000	0	0
10019804	1	60000	0	0
10019805	10	1080	0	0
10019810	4	86800	0	0
10019811	10	3240	0	0
10019850	4	121520	0	0
10019851	10	4536	0	0
10019852	4	173600	0	0
10019853	10	6480	0	0
10019854	1	84000	0	0
10019855	1	84000	0	0
10019856	1	84000	0	0
10019857	1	120000	0	0
10019858	1	120000	0	0
10019859	1	120000	0	0
10019900	1	7000	0	0
10019901	1	7000	0	0
10019902	1	7000	0	0
10019903	1	9800	0	0
10019904	1	9800	0	0
10019905	1	9800	0	0
10019910	1	10000	0	0
10019911	1	10000	0	0
10019912	1	10000	0	0
10019913	1	14000	0	0
10019914	1	14000	0	0
10019915	1	14000	0	0
10024001	4	1050	0	0
10024002	4	7560	0	0
10024003	4	25200	0	0
10024004	4	60760	0	0
10028600	1	42000	0	0
10028700	10	756	0	0
10028701	10	2268	0	0
10028801	4	1500	0	0
10028802	4	10800	0	0
10028803	4	36000	0	0
10028804	1	60000	0	0
10028805	10	1080	0	0
10028810	4	86800	0	0
10028811	10	3240	0	0
10028850	4	121520	0	0
10028851	10	4536	0	0
10028852	4	173600	0	0
10028853	10	6480	0	0
10028854	1	84000	0	0
10028855	1	84000	0	0
10028856	1	84000	0	0
10028857	1	120000	0	0
10028858	1	120000	0	0
10028859	1	120000	0	0
10029000	1	7000	0	0
10029001	1	7000	0	0
10029002	1	7000	0	0
10029003	1	9800	0	0
10029004	1	9800	0	0
10029005	1	9800	0	0
10029010	1	10000	0	0
10029011	1	10000	0	0
10029012	1	10000	0	0
10029013	1	14000	0	0
10029014	1	14000	0	0
10029015	1	14000	0	0
10034001	4	1050	0	0
10034002	4	7560	0	0
10034003	4	25200	0	0
10034004	4	60760	0	0
10038600	1	42000	0	0
10038700	10	756	0	0
10038701	10	2268	0	0
10038801	4	1500	0	0
10038802	4	10800	0	0
10038803	4	36000	0	0
10038804	1	60000	0	0
10038805	10	1080	0	0
10038810	4	86800	0	0
10038811	10	3240	0	0
10038850	4	121520	0	0
10038851	10	4536	0	0
10038852	4	173600	0	0
10038853	10	6480	0	0
10038854	1	84000	0	0
10038855	1	84000	0	0
10038856	1	84000	0	0
10038857	1	120000	0	0
10038858	1	120000	0	0
10038859	1	120000	0	0
10039000	1	7000	0	0
10039001	1	7000	0	0
10039002	1	7000	0	0
10039003	1	9800	0	0
10039004	1	9800	0	0
10039005	1	9800	0	0
10039010	1	10000	0	0
10039011	1	10000	0	0
10039012	1	10000	0	0
10039013	1	14000	0	0
10039014	1	14000	0	0
10039015	1	14000	0	0
10044001	4	1050	0	0
10044002	4	7560	0	0
10044003	4	25200	0	0
10044004	4	60760	0	0
10048600	1	42000	0	0
10048700	10	756	0	0
10048701	10	2268	0	0
10048801	4	1500	0	0
10048802	4	10800	0	0
10048803	4	36000	0	0
10048804	1	60000	0	0
10048805	10	1080	0	0
10048810	4	86800	0	0
10048811	10	3240	0	0
10048850	4	121520	0	0
10048851	10	4536	0	0
10048852	4	173600	0	0
10048853	10	6480	0	0
10048854	1	84000	0	0
10048855	1	84000	0	0
10048856	1	84000	0	0
10048857	1	120000	0	0
10048858	1	120000	0	0
10048859	1	120000	0	0
10049000	1	7000	0	0
10049001	1	7000	0	0
10049002	1	7000	0	0
10049003	1	9800	0	0
