NUM	TEXT	TEXT	NUM	NUM	TEXT
索引(index)	名称	装备类型(部件)	消耗定蓝星数量	定蓝星对应属性类型(属性类型数量不能大于木炭的属性库)	属性名称（为了看）
11000909	力量点数符石	1|2|3|4|5|6|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46	1	0	力量点数
11000910	力量百分比符石	1|2|3|4|5|6|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46	1	1	力量百分比
11000911	敏捷点数符石	1|2|3|4|5|6|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46	1	2	敏捷点数
11000912	敏捷百分比符石	1|2|3|4|5|6|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46	1	3	敏捷百分比
11000913	智力点数符石	1|2|3|4|5|6|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46	1	4	智力点数
11000914	智力百分比符石	1|2|3|4|5|6|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46	1	5	智力百分比
11000915	体质点数符石	1|2|3|4|5|6|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46	1	6	体质点数
11000916	体质百分比符石	1|2|3|4|5|6|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46	1	7	体质百分比
11000917	所有属性符石	1|2|3|4|5|6|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46	1	8	所有属性
11000918	所有属性百分比符石	1|2|3|4|5|6|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46	1	9	所有属性百分比
11000919	魔攻伤害点数符石	1|2|3|4|5|6|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46	1	10	魔攻伤害点数
11000920	魔攻伤害百分比符石	1|2|3|4|5|6|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46	1	11	魔攻伤害百分比
11000921	近攻伤害点数符石	1|2|3|4|5|6|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46	1	12	近攻伤害点数
11000922	近攻伤害百分比符石	1|2|3|4|5|6|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46	1	13	近攻伤害百分比
11000923	远攻伤害点数符石	1|2|3|4|5|6|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46	1	14	远攻伤害点数
11000924	远攻伤害百分比符石	1|2|3|4|5|6|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46	1	15	远攻伤害百分比
11000925	魔攻防御点数符石	1|2|3|4|5|6|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46	1	16	魔攻防御点数
11000926	魔攻防御百分比符石	1|2|3|4|5|6|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46	1	17	魔攻防御百分比
11000927	近攻防御点数符石	1|2|3|4|5|6|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46	1	18	近攻防御点数
11000928	近攻防御百分比符石	1|2|3|4|5|6|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46	1	19	近攻防御百分比
11000929	远攻防御点数符石	1|2|3|4|5|6|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46	1	20	远攻防御点数
11000930	远攻防御百分比符石	1|2|3|4|5|6|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46	1	21	远攻防御百分比
11000931	生命值上限点数符石	1|2|3|4|5|6|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46	1	22	生命值上限点数
