NUM	NUM	TEXT	TEXT	NUM	NUM	NUM	NUM	TEXT	TEXT	
ID	配方ID	配方名称（只看）	显示名称(客户端界面)	装备系列	"对应装备点(0=主手,1=副手，2=帽子，5=衣服，6=项链，7=护手，8=腰带，9=靴子)"	对应装备类型	技能等级	预览图标	预览名称	
1	12227000	冥级战刀配方	冥级战刀	1	0	1	1	set:HAN2_Equip_mingyan_weapon_1 image:HAN2_Equip_mingyan_weapon_1_8	随机产生冥炎，冥魂，冥龙，冥王战刀	
2	12227001	冥级利剑配方	冥级利剑	1	0	2	1	set:HAN2_Equip_mingyan_weapon_1 image:HAN2_Equip_mingyan_weapon_1_5	随机产生冥炎，冥魂，冥龙，冥王利剑	
3	12227002	冥级战弓配方	冥级战弓	1	0	3	1	set:HAN2_Equip_mingyan_weapon_1 image:HAN2_Equip_mingyan_weapon_1_2	随机产生冥炎，冥魂，冥龙，冥王战弓	
4	12227003	冥级火枪配方	冥级火枪	1	0	4	1	set:HAN2_Equip_mingyan_weapon_1 image:HAN2_Equip_mingyan_weapon_1_12	随机产生冥炎，冥魂，冥龙，冥王火枪	
5	12227004	冥级法杖配方	冥级法杖	1	0	5	1	set:HAN2_Equip_mingyan_weapon_1 image:HAN2_Equip_mingyan_weapon_1_1	随机产生冥炎，冥魂，冥龙，冥王法杖	
6	12227005	冥级战槌配方	冥级战槌	1	0	6	1	set:HAN2_Equip_mingyan_weapon_1 image:HAN2_Equip_mingyan_weapon_1_11	随机产生冥炎，冥魂，冥龙，冥王战槌	
7	12227006	冥级战盾配方	冥级战盾	1	1	7	3	set:HAN2_Equip_mingyan_offhand_1 image:HAN2_Equip_mingyan_offhand_1_8	随机产生冥炎，冥魂，冥龙，冥王战盾	
8	12227007	冥级战锏配方	冥级战锏	1	1	8	3	set:HAN2_Equip_mingyan_offhand_1 image:HAN2_Equip_mingyan_offhand_1_5	随机产生冥炎，冥魂，冥龙，冥王战锏	
9	12227008	冥级羽箭配方	冥级羽箭	1	1	9	3	set:HAN2_Equip_mingyan_offhand_1 image:HAN2_Equip_mingyan_offhand_1_2	随机产生冥炎，冥魂，冥龙，冥王羽箭	
10	12227009	冥级飞弹配方	冥级飞弹	1	1	10	3	set:HAN2_Equip_mingyan_offhand_1 image:HAN2_Equip_mingyan_offhand_1_12	随机产生冥炎，冥魂，冥龙，冥王飞弹	
11	12227010	冥级战号配方	冥级战号	1	1	11	3	set:HAN2_Equip_mingyan_offhand_1 image:HAN2_Equip_mingyan_offhand_1_1	随机产生冥炎，冥魂，冥龙，冥王战号	
12	12227011	冥级战鼓配方	冥级战鼓	1	1	12	3	set:HAN2_Equip_mingyan_offhand_1 image:HAN2_Equip_mingyan_offhand_1_11	随机产生冥炎，冥魂，冥龙，冥王战鼓	
13	12227012	冥级长矛配方	冥级长矛	1	0	35	1	set:HAN2_Equip_mingyan_weapon_1 image:HAN2_Equip_mingyan_weapon_1_3	随机产生冥炎，冥魂，冥龙，冥王长矛	
14	12227013	冥级圣令配方	冥级圣令	1	0	36	1	set:HAN2_Equip_mingyan_weapon_1 image:HAN2_Equip_mingyan_weapon_1_10	随机产生冥炎，冥魂，冥龙，冥王圣令	
15	12227014	冥级重弩配方	冥级重弩	1	0	37	1	set:HAN2_Equip_mingyan_weapon_1 image:HAN2_Equip_mingyan_weapon_1_9	随机产生冥炎，冥魂，冥龙，冥王重弩	
16	12227015	冥级火铳配方	冥级火铳	1	0	38	1	set:HAN2_Equip_mingyan_weapon_1 image:HAN2_Equip_mingyan_weapon_1_6	随机产生冥炎，冥魂，冥龙，冥王火铳	
17	12227016	冥级十字配方	冥级十字	1	0	39	1	set:HAN2_Equip_mingyan_weapon_1 image:HAN2_Equip_mingyan_weapon_1_7	随机产生冥炎，冥魂，冥龙，冥王十字	
