NUM	NUM	TEXT	NUM
ID	图谱ID	图谱名称（只看）	"对应装备点(0=主手,1=副手，2=帽子，5=衣服，6=项链，7=护手，8=腰带，9=靴子)"
1	11000830	主手图谱	0
2	11000831	副手图谱	1
3	11000832	战甲图谱	5
4	11000833	头盔图谱	2
5	11000834	腰带图谱	8
6	11000835	护手图谱	7
7	11000836	战靴图谱	9
8	11000837	项链图谱	6
9	11000838	主手图谱·生命	0
10	11000839	副手图谱·生命	1
11	11000840	战甲图谱·生命	5
12	11000841	头盔图谱·生命	2
13	11000842	腰带图谱·生命	8
14	11000843	护手图谱·生命	7
15	11000844	战靴图谱·生命	9
16	11000845	项链图谱·生命	6
17	11000984	主手图谱·祝福	0
18	11000985	副手图谱·祝福	1
19	11000986	战甲图谱·祝福	5
20	11000987	头盔图谱·祝福	2
21	11000988	腰带图谱·祝福	8
22	11000989	护手图谱·祝福	7
23	11000990	战靴图谱·祝福	9
24	11000991	项链图谱·祝福	6
25	11000992	主手图谱·天伤	0
26	11000993	副手图谱·天伤	1
27	11000994	战甲图谱·天伤	5
28	11000995	头盔图谱·天伤	2
29	11000996	腰带图谱·天伤	8
30	11000997	护手图谱·天伤	7
31	11000998	战靴图谱·天伤	9
32	11000999	项链图谱·天伤	6
