NUM	NUM	TEXT	TEXT	NUM	TEXT	NUM	TEXT
ID	陨星石ID(ID不重复)	陨星石名称（只是为了看）	陨星石等级（只是为了看）	陨星石数量	影响属性偏向类型	影响偏向百分比	适用的装备Type类别
1	11000635	一级近攻陨星石	1	1	143	10	1|2|3|4|5|5|7|8|9|10|11|12|20|21|3|4|5|5|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
2	11000636	二级近攻陨星石	2	1	143	20	1|2|3|4|5|5|7|8|9|10|11|12|20|21|3|4|5|5|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
3	11000637	三级近攻陨星石	3	1	143	30	1|2|3|4|5|5|7|8|9|10|11|12|20|21|3|4|5|5|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
4	11000638	四级近攻陨星石	4	1	143	40	1|2|3|4|5|5|7|8|9|10|11|12|20|21|3|4|5|5|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
5	11000639	五级近攻陨星石	5	1	143	50	1|2|3|4|5|5|7|8|9|10|11|12|20|21|3|4|5|5|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
6	11000640	六级近攻陨星石	6	1	143	60	1|2|3|4|5|5|7|8|9|10|11|12|20|21|3|4|5|5|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
7	11000641	七级近攻陨星石	7	1	143	70	1|2|3|4|5|5|7|8|9|10|11|12|20|21|3|4|5|5|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
8	11000642	八级近攻陨星石	8	1	143	80	1|2|3|4|5|5|7|8|9|10|11|12|20|21|3|4|5|5|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
9	11000643	九级近攻陨星石	9	1	143	90	1|2|3|4|5|5|7|8|9|10|11|12|20|21|3|4|5|5|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
