NUM	NUM	NUM	NUM	TEXT	TEXT	TEXT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	TEXT	NUM	TEXT	TEXT	NUM	NUM	NUM	NUM
ID	扩展背包class=19	type	Medindex	图标	名称	说明	适应规则	基础价格	出售价格	有效期	背包格数	附加参数类型	参数值	消耗值	物品类型描述	掉落模型	掉落模型附加的特殊光效	掉落音效	物品名称颜色	动画帧	拾取等级	是否允许摆摊收购	物品排序	是否推荐使用（1显示，0不显示）
19010001	19	1	1	CJSH_item_packet_1_8	小线包	可以增加背包6个存放格子	7	1000	1	360000000	6	-1	0	0	拓展背包	包袱.lmodel	cj_yingguang_huang	0	FAEBD7	-1	1	1	-1	0
19010002	19	1	2	CJSH_item_packet_1_6	布袋包	可以增加背包12个存放格子	7	10000	1	360000000	12	-1	0	0	拓展背包	包袱.lmodel	cj_yingguang_huang	0	7FFFD4	-1	1	1	-1	0
19010003	19	1	3	CJSH_item_packet_1_14	羊皮包	可以增加背包18个存放格子	7	100000	1	360000000	18	-1	0	0	拓展背包	包袱.lmodel	cj_yingguang_huang	0	3C5AAA	-1	1	1	-1	0
19010004	19	1	4	CJSH_item_packet_1_4	镂刻兽革包	可以增加背包24个存放格子	7	100000	1	360000000	24	-1	0	0	拓展背包	包袱.lmodel	cj_yingguang_huang	0	00FF00	-1	1	1	-1	0
19010005	19	1	5	CJSH_item_packet_1_1	刺绣丝绸包	可以增加背包30个存放格子	7	100000	1	360000000	30	-1	0	0	拓展背包	包袱.lmodel	cj_yingguang_huang	0	E3CF57	-1	1	1	-1	0
19010006	19	1	6	CJSH_item_packet_1_9	雕翎锦线包	可以增加背包36个存放格子	7	100000	1	360000000	36	-1	0	0	拓展背包	包袱.lmodel	cj_yingguang_huang	0	FFFF00	-1	1	1	-1	0
####	绑定背包																							0
19010007	19	1	7	CJSH_item_packet_1_6	布袋包	可以增加背包12个存放格子#r #r#g金币商城（快捷键J）#O贵族专属区#N一等青铜类#cC8B88E出售，购买后绑定	2	10000	1	360000000	12	-1	0	0	拓展背包	包袱.lmodel	cj_yingguang_huang	0	7FFFD4	-1	1	1	-1	1
19010008	19	1	8	CJSH_item_packet_1_14	羊皮包	可以增加背包18个存放格子#r #r#g金币商城（快捷键J）#O贵族专属区#N二等青铜类#cC8B88E出售，购买后绑定	2	100000	1	360000000	18	-1	0	0	拓展背包	包袱.lmodel	cj_yingguang_huang	0	3C5AAA	-1	1	1	-1	0
19010009	19	1	9	CJSH_item_packet_1_4	镂刻兽革包	可以增加背包24个存放格子	2	100000	1	360000000	24	-1	0	0	拓展背包	包袱.lmodel	cj_yingguang_huang	0	00FF00	-1	1	1	-1	0
19010010	19	1	10	CJSH_item_packet_1_1	刺绣丝绸包	可以增加背包30个存放格子	2	100000	1	360000000	30	-1	0	0	拓展背包	包袱.lmodel	cj_yingguang_huang	0	E3CF57	-1	1	1	-1	0
19010011	19	1	11	CJSH_item_packet_1_9	雕翎锦线包	可以增加背包36个存放格子	2	100000	1	360000000	36	-1	0	0	拓展背包	包袱.lmodel	cj_yingguang_huang	0	FFFF00	-1	1	1	-1	0
####	新增合成背包																							0
