NUM	NUM	NUM
宝石ID	宝石分组ID	随机权重
14010045	1	1
14010046	1	1
14010047	1	1
14010048	1	1
14010049	1	1
14010050	1	1
14010051	1	1
14010052	1	1000
14010053	1	1
14010054	1	1
14010055	1	1
14010056	1	1
14010057	1	1
14010058	1	1
14010059	1	1
14010060	1	1000
14010061	1	1
14010062	1	1
14010063	1	1
14010064	1	1
14010065	1	1
14010066	1	1
14010067	1	1
14010068	1	1000
14010069	1	1
14010070	1	1
14010071	1	1
14010072	1	1
14010073	1	1
14010074	1	1
14010075	1	1
14010076	1	1000
14010077	1	1
14010078	1	1
14010079	1	1
14010080	1	1
14010081	1	1
14010082	1	1
14010083	1	1
14010084	1	1000
14010085	1	1
14010086	1	1
14010087	1	1
14010088	1	1
14010089	1	1
14010090	1	1
14010091	1	1
14010092	1	1000
14010093	1	1
14010094	1	1
14010095	1	1
14010096	1	1
14010097	1	1
14010098	1	1
14010099	1	1
14010100	1	1000
14010101	1	1
14010102	1	1
14010103	1	1
14010104	1	1
14010105	1	1
14010106	1	1
14010107	1	1
14010108	1	1000
14010109	1	1
14010110	1	1
14010111	1	1
14010112	1	1
14010113	1	1
14010114	1	1
14010115	1	1
14010116	1	1000
14010117	1	1
14010118	1	1
14010119	1	1
14010120	1	1
14010121	1	1
14010122	1	1
14010123	1	1
14010124	1	1000
14010125	1	1
14010126	1	1
14010127	1	1
14010128	1	1
14010129	1	1
14010130	1	1
14010131	1	1
14010132	1	1000
14010133	2	1
14010134	2	1
14010135	2	1
14010136	2	1
14010137	2	1
14010138	2	1
14010139	2	1
14010140	2	1000
14010141	2	1
14010142	2	1
14010143	2	1
14010144	2	1
14010145	2	1
14010146	2	1
14010147	2	1
14010148	2	1000
14010149	2	1
14010150	2	1
14010151	2	1
14010152	2	1
14010153	2	1
14010154	2	1
14010155	2	1
14010156	2	1000
14010157	2	1
14010158	2	1
14010159	2	1
14010160	2	1
14010161	2	1
14010162	2	1
14010163	2	1
14010164	2	1000
14010165	2	1
14010166	2	1
14010167	2	1
14010168	2	1
14010169	2	1
14010170	2	1
14010171	2	1
14010172	2	1000
14010173	2	1
14010174	2	1
14010175	2	1
14010176	2	1
14010177	2	1
14010178	2	1
14010179	2	1
14010180	2	1000
14010181	2	1
14010182	2	1
14010183	2	1
14010184	2	1
14010185	2	1
14010186	2	1
14010187	2	1
14010188	2	1000
14010189	2	1
14010190	2	1
14010191	2	1
14010192	2	1
14010193	2	1
14010194	2	1
14010195	2	1
14010196	2	1000
14010197	2	1
14010198	2	1
14010199	2	1
14010200	2	1
14010201	2	1
14010202	2	1
14010203	2	1
14010204	2	1000
14010205	2	1
14010206	2	1
14010207	2	1
14010208	2	1
14010209	2	1
14010210	2	1
14010211	2	1
14010212	2	1000
14010213	2	1
14010214	2	1
14010215	2	1
14010216	2	1
14010217	2	1
14010218	2	1
14010219	2	1
14010220	2	1000
14010221	3	1
14010222	3	1
14010223	3	1
14010224	3	1
14010225	3	1
14010226	3	1
14010227	3	1
14010228	3	1000
14010229	3	1
14010230	3	1
14010231	3	1
14010232	3	1
14010233	3	1
14010234	3	1
14010235	3	1
14010236	3	1000
14010237	3	1
14010238	3	1
14010239	3	1
14010240	3	1
14010241	3	1
14010242	3	1
14010243	3	1
14010244	3	1000
14010245	3	1
14010246	3	1
14010247	3	1
14010248	3	1
14010249	3	1
14010250	3	1
14010251	3	1
14010252	3	1000
14010253	3	1
14010254	3	1
14010255	3	1
14010256	3	1
14010257	3	1
14010258	3	1
14010259	3	1
14010260	3	1000
14010261	3	1
14010262	3	1
14010263	3	1
14010264	3	1
14010265	3	1
14010266	3	1
14010267	3	1
14010268	3	1000
14010269	3	1
14010270	3	1
14010271	3	1
14010272	3	1
14010273	3	1
14010274	3	1
14010275	3	1
14010276	3	1000
14010277	3	1
14010278	3	1
14010279	3	1
14010280	3	1
14010281	3	1
14010282	3	1
14010283	3	1
14010284	3	1000
14010285	3	1
14010286	3	1
14010287	3	1
14010288	3	1
