NUM	NUM	NUM	NUM	NUM
Index	分组ID	属性ID	属性值	权重	属性名称
0	1	0	4600	1	力量点数
1	1	0	4600	1	力量点数
2	1	0	4600	1	力量点数
3	1	0	4600	1	力量点数
4	1	0	4600	1	力量点数
5	1	2	4600	1	敏捷点数
6	1	2	4600	1	敏捷点数
7	1	2	4600	1	敏捷点数
8	1	2	4600	1	敏捷点数
9	1	2	4600	1	敏捷点数
10	1	4	4600	1	智力点数
11	1	4	4600	1	智力点数
12	1	4	4600	1	智力点数
13	1	4	4600	1	智力点数
14	1	4	4600	1	智力点数
15	1	6	2600	1	体质点数
16	1	6	2800	1	体质点数
17	1	6	3000	1	体质点数
18	1	6	3200	1	体质点数
19	1	6	3400	1	体质点数
20	1	6	3600	1	体质点数
21	1	6	3800	1	体质点数
22	1	6	4000	1	体质点数
23	1	6	4200	1	体质点数
24	1	6	4400	1	体质点数
25	1	6	4600	1	体质点数
26	1	6	4800	1	体质点数
27	1	6	5000	1	体质点数
28	1	6	5200	1	体质点数
29	1	6	5400	1	体质点数
30	1	6	5600	1	体质点数
31	1	6	5800	1	体质点数
32	1	6	6000	1	体质点数
33	1	6	6200	1	体质点数
34	1	8	5000	1000	所有属性
35	1	8	5000	1000	所有属性
36	1	8	5000	1000	所有属性
37	1	8	5000	1000	所有属性
38	1	8	5000	1000	所有属性
39	1	10	4600	1	魔攻伤害点数
40	1	10	4600	1	魔攻伤害点数
41	1	10	4600	1	魔攻伤害点数
42	1	10	4600	1	魔攻伤害点数
43	1	10	4600	1	魔攻伤害点数
44	1	12	4600	1	近攻伤害点数
45	1	12	4600	1	近攻伤害点数
46	1	12	4600	1	近攻伤害点数
47	1	12	4600	1	近攻伤害点数
48	1	12	4600	1	近攻伤害点数
49	1	14	4600	1	远攻伤害点数
50	1	14	4600	1	远攻伤害点数
51	1	14	4600	1	远攻伤害点数
52	1	14	4600	1	远攻伤害点数
53	1	14	4600	1	远攻伤害点数
54	1	16	400	1	魔攻防御点数
55	1	16	500	1	魔攻防御点数
56	1	16	600	1	魔攻防御点数
57	1	16	700	1	魔攻防御点数
58	1	16	800	1	魔攻防御点数
59	1	18	400	1	近攻防御点数
60	1	18	500	1	近攻防御点数
61	1	18	600	1	近攻防御点数
62	1	18	700	1	近攻防御点数
63	1	18	800	1	近攻防御点数
64	1	20	400	1	远攻防御点数
65	1	20	500	1	远攻防御点数
66	1	20	600	1	远攻防御点数
67	1	20	700	1	远攻防御点数
68	1	20	800	1	远攻防御点数
69	1	22	9000	1	生命值上限点数
70	1	22	12000	1	生命值上限点数
71	1	22	18000	1	生命值上限点数
72	1	22	27000	1	生命值上限点数
73	1	22	32000	1	生命值上限点数
74	1	50	20	1	命中
75	1	50	30	1	命中
76	1	50	40	1	命中
77	1	50	50	1	命中
78	1	50	70	1	命中
79	1	51	20	1	闪避
80	1	51	30	1	闪避
81	1	51	40	1	闪避
82	1	51	50	1	闪避
83	1	51	70	1	闪避
84	1	53	500	1000	暴击
85	1	53	500	1000	暴击
86	1	53	500	1000	暴击
87	1	53	500	1000	暴击
88	1	53	500	1000	暴击
89	1	54	200	1	韧性
90	1	54	200	1	韧性
91	1	54	200	1	韧性
92	1	54	200	1	韧性
93	1	54	200	1	韧性
94	1	218	10	1	吸血
95	1	218	20	1000	吸血
96	1	88	2000	1	加速
97	1	88	3000	1	加速
98	1	88	4000	1	加速
99	1	88	5000	1	加速
100	2	0	4600	1	力量点数
101	2	0	4600	1	力量点数
102	2	0	4600	1	力量点数
103	2	0	4600	1	力量点数
104	2	0	4600	1	力量点数
105	2	2	4600	1	敏捷点数
106	2	2	4600	1	敏捷点数
107	2	2	4600	1	敏捷点数
108	2	2	4600	1	敏捷点数
109	2	2	4600	1	敏捷点数
110	2	4	4600	1	智力点数
111	2	4	4600	1	智力点数
112	2	4	4600	1	智力点数
113	2	4	4600	1	智力点数
114	2	4	4600	1	智力点数
115	2	6	2600	1	体质点数
116	2	6	2800	1	体质点数
117	2	6	3000	1	体质点数
118	2	6	3200	1	体质点数
119	2	6	3400	1	体质点数
120	2	6	3600	1	体质点数
121	2	6	3800	1	体质点数
122	2	6	4000	1	体质点数
123	2	6	4200	1	体质点数
124	2	6	4400	1	体质点数
125	2	6	4600	1	体质点数
126	2	6	4800	1	体质点数
127	2	6	5000	1	体质点数
128	2	6	5200	1	体质点数
129	2	6	5400	1	体质点数
