NUM	TEXT	NUM	NUM	TEXT	NUM	TEXT	NUM	NUM	NUM
原装备ID	原装备名称	是否属于冥级打造装升级（1，表示是，需要做属性处理；0表示否，生成的装备属性直接读表	生成装备ID	生成装备名称	兑换需求物品ID	兑换需求物品名称	需求数量	兑换金钱消耗	0-冥装升级1-神器升级2-外装升级
10019850	冥传君主之刀	0	10019906	玄传君主之刀	11000630	幽冥之华	8	100000	0
10019852	冥传君主之刀	0	10019907	玄传君主之刀	11000630	幽冥之华	8	100000	0
10019860	天·斩月	0	10019861	冥·狂妖	11000304	残破的神兵之魂	20	200000	1
10019861	冥·狂妖	0	10019862	玄·龙雀	11000304	残破的神兵之魂	20	200000	1
10019862	玄·龙雀	0	10019877	圣·刹那	11000304	残破的神兵之魂	40	200000	1
10019863	天·斩月	0	10019864	冥·狂妖	11000304	残破的神兵之魂	20	200000	1
10019864	冥·狂妖	0	10019865	玄·龙雀	11000304	残破的神兵之魂	20	200000	1
10019865	玄·龙雀	0	10019878	圣·刹那	11000304	残破的神兵之魂	40	200000	1
10019916	冥龙战神之刀	1	10019923	玄龙战神之刀	11000630	幽冥之华	8	100000	0
10019917	冥炎洪荒之刀	1	10019924	玄炎洪荒之刀	11000630	幽冥之华	8	100000	0
10019918	冥魂可汗之刀	1	10019925	玄魂可汗之刀	11000630	幽冥之华	8	100000	0
10019919	冥王武威之刀	1	10019926	玄王武威之刀	11000630	幽冥之华	8	100000	0
10019920	冥通斗神之刀	1	10019927	冥通战神之刀	11000630	幽冥之华	8	100000	0
10019921	冥尊斗神之刀	1	10019928	冥尊战神之刀	11000630	幽冥之华	8	100000	0
10019922	冥君斗神之刀	1	10019929	冥君战神之刀	11000630	幽冥之华	8	100000	0
10019937	冥龙战神之刀	1	10019944	玄龙战神之刀	11000630	幽冥之华	8	100000	0
10019938	冥炎洪荒之刀	1	10019945	玄炎洪荒之刀	11000630	幽冥之华	8	100000	0
10019939	冥魂可汗之刀	1	10019946	玄魂可汗之刀	11000630	幽冥之华	8	100000	0
10019940	冥王武威之刀	1	10019947	玄王武威之刀	11000630	幽冥之华	8	100000	0
10019941	冥通斗神之刀	1	10019948	冥通战神之刀	11000630	幽冥之华	8	100000	0
10019942	冥尊斗神之刀	1	10019949	冥尊战神之刀	11000630	幽冥之华	8	100000	0
10019943	冥君斗神之刀	1	10019950	冥君战神之刀	11000630	幽冥之华	8	100000	0
10019958	冥龙战神之刀	1	10019965	玄龙战神之刀	11000630	幽冥之华	8	100000	0
10019959	冥炎洪荒之刀	1	10019966	玄炎洪荒之刀	11000630	幽冥之华	8	100000	0
10019960	冥魂可汗之刀	1	10019967	玄魂可汗之刀	11000630	幽冥之华	8	100000	0
10019961	冥王武威之刀	1	10019968	玄王武威之刀	11000630	幽冥之华	8	100000	0
10019962	冥通斗神之刀	1	10019969	冥通战神之刀	11000630	幽冥之华	8	100000	0
10019963	冥尊斗神之刀	1	10019970	冥尊战神之刀	11000630	幽冥之华	8	100000	0
10019964	冥君斗神之刀	1	10019971	冥君战神之刀	11000630	幽冥之华	8	100000	0
10019979	冥龙战神之刀	1	10019986	玄龙战神之刀	11000630	幽冥之华	8	100000	0
10019980	冥炎洪荒之刀	1	10019987	玄炎洪荒之刀	11000630	幽冥之华	8	100000	0
10019981	冥魂可汗之刀	1	10019988	玄魂可汗之刀	11000630	幽冥之华	8	100000	0
10019982	冥王武威之刀	1	10019989	玄王武威之刀	11000630	幽冥之华	8	100000	0
10019983	冥通斗神之刀	1	10019990	冥通战神之刀	11000630	幽冥之华	8	100000	0
10019984	冥尊斗神之刀	1	10019991	冥尊战神之刀	11000630	幽冥之华	8	100000	0
10019985	冥君斗神之刀	1	10019992	冥君战神之刀	11000630	幽冥之华	8	100000	0
10028850	冥传君主之剑	0	10029006	玄传君主之剑	11000630	幽冥之华	8	100000	0
10028852	冥传君主之剑	0	10029007	玄传君主之剑	11000630	幽冥之华	8	100000	0
10029860	天·血杀	0	10029861	冥·烈火	11000304	残破的神兵之魂	20	200000	1
10029861	冥·烈火	0	10029862	玄·龙渊	11000304	残破的神兵之魂	20	200000	1
10029862	玄·龙渊	0	10029877	圣·炎魔	11000304	残破的神兵之魂	40	200000	1
10029863	天·血杀	0	10029864	冥·烈火	11000304	残破的神兵之魂	20	200000	1
10029864	冥·烈火	0	10029865	玄·龙渊	11000304	残破的神兵之魂	20	200000	1
10029865	玄·龙渊	0	10029878	圣·炎魔	11000304	残破的神兵之魂	40	200000	1
10029916	冥龙战神之剑	1	10029923	玄龙战神之剑	11000630	幽冥之华	8	100000	0
10029917	冥炎洪荒之剑	1	10029924	玄炎洪荒之剑	11000630	幽冥之华	8	100000	0
10029918	冥魂可汗之剑	1	10029925	玄魂可汗之剑	11000630	幽冥之华	8	100000	0
10029919	冥王武威之剑	1	10029926	玄王武威之剑	11000630	幽冥之华	8	100000	0
10029920	冥通斗神之剑	1	10029927	冥通战神之剑	11000630	幽冥之华	8	100000	0
10029921	冥尊斗神之剑	1	10029928	冥尊战神之剑	11000630	幽冥之华	8	100000	0
10029922	冥君斗神之剑	1	10029929	冥君战神之剑	11000630	幽冥之华	8	100000	0
10029937	冥龙战神之剑	1	10029944	玄龙战神之剑	11000630	幽冥之华	8	100000	0
10029938	冥炎洪荒之剑	1	10029945	玄炎洪荒之剑	11000630	幽冥之华	8	100000	0
10029939	冥魂可汗之剑	1	10029946	玄魂可汗之剑	11000630	幽冥之华	8	100000	0
10029940	冥王武威之剑	1	10029947	玄王武威之剑	11000630	幽冥之华	8	100000	0
10029941	冥通斗神之剑	1	10029948	冥通战神之剑	11000630	幽冥之华	8	100000	0
10029942	冥尊斗神之剑	1	10029949	冥尊战神之剑	11000630	幽冥之华	8	100000	0
10029943	冥君斗神之剑	1	10029950	冥君战神之剑	11000630	幽冥之华	8	100000	0
10029958	冥龙战神之剑	1	10029965	玄龙战神之剑	11000630	幽冥之华	8	100000	0
10029959	冥炎洪荒之剑	1	10029966	玄炎洪荒之剑	11000630	幽冥之华	8	100000	0
10029960	冥魂可汗之剑	1	10029967	玄魂可汗之剑	11000630	幽冥之华	8	100000	0
10029961	冥王武威之剑	1	10029968	玄王武威之剑	11000630	幽冥之华	8	100000	0
10029962	冥通斗神之剑	1	10029969	冥通战神之剑	11000630	幽冥之华	8	100000	0
10029963	冥尊斗神之剑	1	10029970	冥尊战神之剑	11000630	幽冥之华	8	100000	0
10029964	冥君斗神之剑	1	10029971	冥君战神之剑	11000630	幽冥之华	8	100000	0
10029979	冥龙战神之剑	1	10029986	玄龙战神之剑	11000630	幽冥之华	8	100000	0
10029980	冥炎洪荒之剑	1	10029987	玄炎洪荒之剑	11000630	幽冥之华	8	100000	0
10029981	冥魂可汗之剑	1	10029988	玄魂可汗之剑	11000630	幽冥之华	8	100000	0
10029982	冥王武威之剑	1	10029989	玄王武威之剑	11000630	幽冥之华	8	100000	0
10029983	冥通斗神之剑	1	10029990	冥通战神之剑	11000630	幽冥之华	8	100000	0
10029984	冥尊斗神之剑	1	10029991	冥尊战神之剑	11000630	幽冥之华	8	100000	0
10029985	冥君斗神之剑	1	10029992	冥君战神之剑	11000630	幽冥之华	8	100000	0
10038850	冥传君主之弓	0	10039006	玄传君主之弓	11000630	幽冥之华	8	100000	0
10038852	冥传君主之弓	0	10039007	玄传君主之弓	11000630	幽冥之华	8	100000	0
10039860	天·穿云	0	10039861	冥·龙舌	11000304	残破的神兵之魂	20	200000	1
10039861	冥·龙舌	0	10039862	玄·落日	11000304	残破的神兵之魂	20	200000	1
10039862	玄·落日	0	10039877	圣·破灭	11000304	残破的神兵之魂	40	200000	1
10039863	天·穿云	0	10039864	冥·龙舌	11000304	残破的神兵之魂	20	200000	1
10039864	冥·龙舌	0	10039865	玄·落日	11000304	残破的神兵之魂	20	200000	1
10039865	玄·落日	0	10039878	圣·破灭	11000304	残破的神兵之魂	40	200000	1
10039916	冥龙战神之弓	1	10039923	玄龙战神之弓	11000630	幽冥之华	8	100000	0
10039917	冥炎洪荒之弓	1	10039924	玄炎洪荒之弓	11000630	幽冥之华	8	100000	0
10039918	冥魂可汗之弓	1	10039925	玄魂可汗之弓	11000630	幽冥之华	8	100000	0
10039919	冥王武威之弓	1	10039926	玄王武威之弓	11000630	幽冥之华	8	100000	0
10039920	冥通斗神之弓	1	10039927	冥通战神之弓	11000630	幽冥之华	8	100000	0
10039921	冥尊斗神之弓	1	10039928	冥尊战神之弓	11000630	幽冥之华	8	100000	0
10039922	冥君斗神之弓	1	10039929	冥君战神之弓	11000630	幽冥之华	8	100000	0
10039937	冥龙战神之弓	1	10039944	玄龙战神之弓	11000630	幽冥之华	8	100000	0
10039938	冥炎洪荒之弓	1	10039945	玄炎洪荒之弓	11000630	幽冥之华	8	100000	0
10039939	冥魂可汗之弓	1	10039946	玄魂可汗之弓	11000630	幽冥之华	8	100000	0
10039940	冥王武威之弓	1	10039947	玄王武威之弓	11000630	幽冥之华	8	100000	0
10039941	冥通斗神之弓	1	10039948	冥通战神之弓	11000630	幽冥之华	8	100000	0
10039942	冥尊斗神之弓	1	10039949	冥尊战神之弓	11000630	幽冥之华	8	100000	0
10039943	冥君斗神之弓	1	10039950	冥君战神之弓	11000630	幽冥之华	8	100000	0
10039958	冥龙战神之弓	1	10039965	玄龙战神之弓	11000630	幽冥之华	8	100000	0
10039959	冥炎洪荒之弓	1	10039966	玄炎洪荒之弓	11000630	幽冥之华	8	100000	0
10039960	冥魂可汗之弓	1	10039967	玄魂可汗之弓	11000630	幽冥之华	8	100000	0
10039961	冥王武威之弓	1	10039968	玄王武威之弓	11000630	幽冥之华	8	100000	0
10039962	冥通斗神之弓	1	10039969	冥通战神之弓	11000630	幽冥之华	8	100000	0
10039963	冥尊斗神之弓	1	10039970	冥尊战神之弓	11000630	幽冥之华	8	100000	0
10039964	冥君斗神之弓	1	10039971	冥君战神之弓	11000630	幽冥之华	8	100000	0
10039979	冥龙战神之弓	1	10039986	玄龙战神之弓	11000630	幽冥之华	8	100000	0
10039980	冥炎洪荒之弓	1	10039987	玄炎洪荒之弓	11000630	幽冥之华	8	100000	0
10039981	冥魂可汗之弓	1	10039988	玄魂可汗之弓	11000630	幽冥之华	8	100000	0
10039982	冥王武威之弓	1	10039989	玄王武威之弓	11000630	幽冥之华	8	100000	0
10039983	冥通斗神之弓	1	10039990	冥通战神之弓	11000630	幽冥之华	8	100000	0
10039984	冥尊斗神之弓	1	10039991	冥尊战神之弓	11000630	幽冥之华	8	100000	0
10039985	冥君斗神之弓	1	10039992	冥君战神之弓	11000630	幽冥之华	8	100000	0
10048850	冥传君主之枪	0	10049006	玄传君主之枪	11000630	幽冥之华	8	100000	0
10048852	冥传君主之枪	0	10049007	玄传君主之枪	11000630	幽冥之华	8	100000	0
10049860	天·火矢	0	10049861	冥·震天	11000304	残破的神兵之魂	20	200000	1
10049861	冥·震天	0	10049862	玄·霸王	11000304	残破的神兵之魂	20	200000	1
10049862	玄·霸王	0	10049877	圣·无尽	11000304	残破的神兵之魂	40	200000	1
10049863	天·火矢	0	10049864	冥·震天	11000304	残破的神兵之魂	20	200000	1
10049864	冥·震天	0	10049865	玄·霸王	11000304	残破的神兵之魂	20	200000	1
10049865	玄·霸王	0	10049878	圣·无尽	11000304	残破的神兵之魂	40	200000	1
10049916	冥龙战神之枪	1	10049923	玄龙战神之枪	11000630	幽冥之华	8	100000	0
10049917	冥炎洪荒之枪	1	10049924	玄炎洪荒之枪	11000630	幽冥之华	8	100000	0
10049918	冥魂可汗之枪	1	10049925	玄魂可汗之枪	11000630	幽冥之华	8	100000	0
10049919	冥王武威之枪	1	10049926	玄王武威之枪	11000630	幽冥之华	8	100000	0
10049920	冥通斗神之枪	1	10049927	冥通战神之枪	11000630	幽冥之华	8	100000	0
10049921	冥尊斗神之枪	1	10049928	冥尊战神之枪	11000630	幽冥之华	8	100000	0
10049922	冥君斗神之枪	1	10049929	冥君战神之枪	11000630	幽冥之华	8	100000	0
10049937	冥龙战神之枪	1	10049944	玄龙战神之枪	11000630	幽冥之华	8	100000	0
10049938	冥炎洪荒之枪	1	10049945	玄炎洪荒之枪	11000630	幽冥之华	8	100000	0
10049939	冥魂可汗之枪	1	10049946	玄魂可汗之枪	11000630	幽冥之华	8	100000	0
10049940	冥王武威之枪	1	10049947	玄王武威之枪	11000630	幽冥之华	8	100000	0
10049941	冥通斗神之枪	1	10049948	冥通战神之枪	11000630	幽冥之华	8	100000	0
10049942	冥尊斗神之枪	1	10049949	冥尊战神之枪	11000630	幽冥之华	8	100000	0
10049943	冥君斗神之枪	1	10049950	冥君战神之枪	11000630	幽冥之华	8	100000	0
10049958	冥龙战神之枪	1	10049965	玄龙战神之枪	11000630	幽冥之华	8	100000	0
10049959	冥炎洪荒之枪	1	10049966	玄炎洪荒之枪	11000630	幽冥之华	8	100000	0
10049960	冥魂可汗之枪	1	10049967	玄魂可汗之枪	11000630	幽冥之华	8	100000	0
10049961	冥王武威之枪	1	10049968	玄王武威之枪	11000630	幽冥之华	8	100000	0
10049962	冥通斗神之枪	1	10049969	冥通战神之枪	11000630	幽冥之华	8	100000	0
10049963	冥尊斗神之枪	1	10049970	冥尊战神之枪	11000630	幽冥之华	8	100000	0
10049964	冥君斗神之枪	1	10049971	冥君战神之枪	11000630	幽冥之华	8	100000	0
10049979	冥龙战神之枪	1	10049986	玄龙战神之枪	11000630	幽冥之华	8	100000	0
10049980	冥炎洪荒之枪	1	10049987	玄炎洪荒之枪	11000630	幽冥之华	8	100000	0
10049981	冥魂可汗之枪	1	10049988	玄魂可汗之枪	11000630	幽冥之华	8	100000	0
10049982	冥王武威之枪	1	10049989	玄王武威之枪	11000630	幽冥之华	8	100000	0
10049983	冥通斗神之枪	1	10049990	冥通战神之枪	11000630	幽冥之华	8	100000	0
10049984	冥尊斗神之枪	1	10049991	冥尊战神之枪	11000630	幽冥之华	8	100000	0
10049985	冥君斗神之枪	1	10049992	冥君战神之枪	11000630	幽冥之华	8	100000	0
10058850	冥传君主之杖	0	10059006	玄传君主之杖	11000630	幽冥之华	8	100000	0
10058852	冥传君主之杖	0	10059007	玄传君主之杖	11000630	幽冥之华	8	100000	0
10059860	天·破魔	0	10059861	冥·灵泉	11000304	残破的神兵之魂	20	200000	1
10059861	冥·灵泉	0	10059862	玄·轰雷	11000304	残破的神兵之魂	20	200000	1
10059862	玄·轰雷	0	10059877	圣·贵族	11000304	残破的神兵之魂	40	200000	1
10059863	天·破魔	0	10059864	冥·灵泉	11000304	残破的神兵之魂	20	200000	1
10059864	冥·灵泉	0	10059865	玄·轰雷	11000304	残破的神兵之魂	20	200000	1
10059865	玄·轰雷	0	10059878	圣·贵族	11000304	残破的神兵之魂	40	200000	1
10059916	冥龙战神之杖	1	10059923	玄龙战神之杖	11000630	幽冥之华	8	100000	0
10059917	冥炎洪荒之杖	1	10059924	玄炎洪荒之杖	11000630	幽冥之华	8	100000	0
