NUM	NUM	TEXT	NUM	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT
编号	属性类型	属性名称	增强方式（1表示按照填表值增强；2，表示按比例增强）	主武器0	副武器1	头盔2	徽章3	披风4	衣服5	项链6	护手7	腰带8	鞋子9	戒指10	手镯12	时装14	掌门牌15	玉佩16	护身符17
1	0	力量点数	2	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16
2	2	敏捷点数	2	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16
3	4	智力点数	2	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16
4	6	体质点数	2	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16
5	8	所有属性	2	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16
6	10	魔攻伤害点数	2	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16
7	12	近攻伤害点数	2	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16
8	14	远攻伤害点数	2	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16
9	16	魔攻防御点数	2	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16
10	18	近攻防御点数	2	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16
11	20	远攻防御点数	2	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16
12	22	生命值上限点数	2	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30
13	26	怒气上限点数	2	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40
14	27	能量上限点数	2	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40
15	28	箭支上限点数	2	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40
16	29	弹药上限点数	2	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40
17	30	魔法上限点数	2	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40
18	31	灵力上限点数	2	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40
19	50	命中	2	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25
20	51	闪避	2	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25
21	53	暴击	2	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25
22	54	韧性	2	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25
23	143	近攻	2	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
24	144	远攻	2	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
25	145	魔攻	2	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
26	146	近防	2	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
27	147	远防	2	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
28	148	魔防	2	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
29	248	增加三防点数          	2	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
30	163	抵消普通攻击	2	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16
31	222	神圣一击	2	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16
32	117	暴击减免	2	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16
33	118	暴伤减免	2	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16
34	190	几率触发近攻免疫	2	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16
35	191	几率触发远攻免疫	2	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16
36	192	几率触发魔攻免疫	2	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16
