NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
升阶前装备ID	升级后装备ID	升阶所需材料ID1	材料1数量	升阶所需材料ID2	材料2数量	升阶所需材料ID3	材料3数量	升阶所需材料ID4	材料4数量
30001002	30001003	12271410	6	11000356	8	11000357	2	-1	-1
30001003	30001004	12271410	12	11000356	16	11000357	4	-1	-1
30001004	30001005	12271410	21	11000356	28	11000357	7	-1	-1
30001005	30001006	12271410	32	11000356	56	11000357	12	-1	-1
30001007	30001008	12271410	6	11000356	8	11000357	2	-1	-1
30001008	30001009	12271410	12	11000356	16	11000357	4	-1	-1
30001009	30001010	12271410	21	11000356	28	11000357	7	-1	-1
30001010	30001011	12271410	32	11000356	56	11000357	12	-1	-1
30001012	30001013	12271410	6	11000356	8	11000357	2	-1	-1
30001013	30001014	12271410	12	11000356	16	11000357	4	-1	-1
30001014	30001015	12271410	21	11000356	28	11000357	7	-1	-1
30001015	30001016	12271410	32	11000356	56	11000357	12	-1	-1
30001022	30001023	12271410	6	11000356	8	11000357	2	-1	-1
30001023	30001024	12271410	12	11000356	16	11000357	4	-1	-1
30001024	30001025	12271410	21	11000356	28	11000357	7	-1	-1
30001025	30001026	12271410	32	11000356	56	11000357	12	-1	-1
30001027	30001028	12271410	6	11000356	8	11000357	2	-1	-1
30001028	30001029	12271410	12	11000356	16	11000357	4	-1	-1
30001029	30001030	12271410	21	11000356	28	11000357	7	-1	-1
30001030	30001031	12271410	32	11000356	56	11000357	12	-1	-1
30001032	30001033	12271410	6	11000356	8	11000357	2	-1	-1
30001033	30001034	12271410	12	11000356	16	11000357	4	-1	-1
30001034	30001035	12271410	21	11000356	28	11000357	7	-1	-1
30001035	30001036	12271410	32	11000356	56	11000357	12	-1	-1
30011002	30011003	12271410	6	11000356	8	11000357	2	-1	-1
30011003	30011004	12271410	12	11000356	16	11000357	4	-1	-1
30011004	30011005	12271410	21	11000356	28	11000357	7	-1	-1
30011005	30011006	12271410	32	11000356	56	11000357	12	-1	-1
30011007	30011008	12271410	6	11000356	8	11000357	2	-1	-1
30011008	30011009	12271410	12	11000356	16	11000357	4	-1	-1
30011009	30011010	12271410	21	11000356	28	11000357	7	-1	-1
30011010	30011011	12271410	32	11000356	56	11000357	12	-1	-1
30011012	30011013	12271410	6	11000356	8	11000357	2	-1	-1
30011013	30011014	12271410	12	11000356	16	11000357	4	-1	-1
30011014	30011015	12271410	21	11000356	28	11000357	7	-1	-1
30011015	30011016	12271410	32	11000356	56	11000357	12	-1	-1
30011022	30011023	12271410	6	11000356	8	11000357	2	-1	-1
30011023	30011024	12271410	12	11000356	16	11000357	4	-1	-1
