NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
索引	连续登录天数	等级	奖励物品1	数量	奖励物品2	数量	奖励物品3	数量	奖励物品4	数量
1	1	60	11000334	2	11000339	2
2	1	80	11000334	2	11000339	2
3	1	100	11000334	2	11000339	2
4	1	161	11000334	2	11000339	2
5	2	60	11000334	3	11000339	3	11000333	2
6	2	80	11000334	3	11000339	3	11000333	2
7	2	100	11000334	3	11000339	3	11000333	2
8	2	161	11000334	3	11000339	3	11000333	2
9	3	60	11000334	4	11000339	4	11000333	3	11000380	1
10	3	80	11000334	4	11000339	4	11000333	3	11000380	1
11	3	100	11000334	4	11000339	4	11000333	3	11000380	1
12	3	161	11000334	4	11000339	4	11000333	3	11000380	1
13	4	60	11000334	5	11000339	5	11000333	4	11000380	1
14	4	80	11000334	5	11000339	5	11000333	4	11000380	1
15	4	100	11000334	5	11000339	5	11000333	4	11000380	1
16	4	161	11000334	5	11000339	5	11000333	4	11000380	1
17	5	60	11000334	6	11000339	6	11000333	5	11000380	1
18	5	80	11000334	6	11000339	6	11000333	5	11000380	1
19	5	100	11000334	6	11000339	6	11000333	5	11000380	1
20	5	161	11000334	6	11000339	6	11000333	5	11000380	1
21	6	60	11000334	10	11000339	8	11000333	6	11000380	1
22	6	80	11000334	10	11000339	8	11000333	6	11000380	1
23	6	100	11000334	10	11000339	8	11000333	6	11000380	1
24	6	161	11000334	10	11000339	8	11000333	6	11000380	1
