NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	TEXT
夫妻关系ID	妻子力量加成	妻子体质加成	妻子智力加成	妻子敏捷加成	丈夫力量加成	丈夫体质加成	丈夫智力加成	丈夫敏捷加成	双方经验加成	结婚时间（天）	显示名称
0	200	200	200	200	200	200	200	200	0	0	新婚
1	300	300	300	300	300	300	300	300	0	1	纸婚
2	400	400	400	400	400	400	400	400	0	2	丝婚
3	500	500	500	500	500	500	500	500	0	3	珊瑚婚
4	600	600	600	600	600	600	600	600	0	4	水晶婚
5	700	700	700	700	700	700	700	700	0	5	宝石蓝婚
6	800	800	800	800	800	800	800	800	0	6	玫瑰婚
7	900	900	900	900	900	900	900	900	0	7	绿松石婚
8	1000	1000	1000	1000	1000	1000	1000	1000	0	8	青铜婚
9	1100	1100	1100	1100	1100	1100	1100	1100	0	9	绿玉婚
10	1200	1200	1200	1200	1200	1200	1200	1200	0	10	银婚
11	1300	1300	1300	1300	1300	1300	1300	1300	0	11	玉婚
12	1400	1400	1400	1400	1400	1400	1400	1400	0	12	绒婚
13	1500	1500	1500	1500	1500	1500	1500	1500	0	13	珍珠婚
14	1600	1600	1600	1600	1600	1600	1600	1600	0	14	紫铜婚
15	1700	1700	1700	1700	1700	1700	1700	1700	0	15	斑岩婚
16	1800	1800	1800	1800	1800	1800	1800	1800	0	16	琥珀婚
17	1900	1900	1900	1900	1900	1900	1900	1900	0	17	祖母绿婚
18	2000	2000	2000	2000	2000	2000	2000	2000	0	18	黄玉婚
19	2100	2100	2100	2100	2100	2100	2100	2100	0	19	紫晶婚
20	2200	2200	2200	2200	2200	2200	2200	2200	0	20	雪松婚
21	2300	2300	2300	2300	2300	2300	2300	2300	0	21	金婚
22	2400	2400	2400	2400	2400	2400	2400	2400	0	22	钻石婚
23	2500	2500	2500	2500	2500	2500	2500	2500	0	23	橡树婚
