NUB	NUB	NUB	NUB	NUB	NUB	NUB	NUB	NUB	NUB	NUB	NUB	NUB
矿山升级	升级需求房屋等级	升级需求马币	升级需求银卡	需求矿山经验经验	升级需求物品1ID	数量	升级需求物品2ID	数量	升级需求物品3ID	数量	升级需求物品4ID	数量
2	2	50	50	50	11000516	1	11000528	1	11000546	1	11000603	1
3	3	100	100	100	11000517	1	11000529	1	11000547	1	11000604	1
4	3	150	150	150	11000100	1	11000148	1	11000213	1	11000366	1
5	4	200	200	200	11000101	2	11000149	2	11000214	2	11000367	2
6	5	250	250	250	11000102	3	11000150	3	11000215	3	11000368	3
7	6	300	300	300	11000103	4	11000151	4	11000216	4	11000369	4
8	7	350	350	350	11000104	5	11000152	5	11000217	5	11000370	5
9	8	400	400	400	11000105	6	11000153	6	11000218	6	11000371	6
